new,old
Vitvi00g00339,VIT_00s0266g00010
Vitvi00g00340,VIT_00s0266g00030
Vitvi00g00342,VIT_00s0266g00090
Vitvi00g00443,VIT_00s0319g00060
Vitvi00g00444,VIT_00s0327g00020
Vitvi00g00449,VIT_00s0327g00070
Vitvi00g00491,VIT_00s0342g00030
Vitvi00g00496,VIT_00s0342g00040
Vitvi00g00582,VIT_00s0384g00020
Vitvi00g00610,VIT_00s0396g00020
Vitvi00g00610,VIT_00s0396g00010
Vitvi00g00612,VIT_00s0396g00030
Vitvi00g00615,VIT_00s0396g00050
Vitvi00g00616,VIT_00s0396g00060
Vitvi00g00663,VIT_00s0437g00010
Vitvi00g00664,VIT_00s0437g00020
Vitvi00g00667,VIT_00s0437g00060
Vitvi00g00667,VIT_00s0437g00050
Vitvi00g00668,VIT_00s0437g00070
Vitvi00g00671,VIT_00s0438g00010
Vitvi00g00675,VIT_00s0441g00010
Vitvi00g00676,VIT_00s0441g00020
Vitvi00g00710,VIT_00s0487g00030
Vitvi00g00711,VIT_00s0487g00050
Vitvi00g00757,VIT_00s0526g00010
Vitvi00g00786,VIT_00s0556g00010
Vitvi00g00788,VIT_00s0557g00010
Vitvi00g00789,VIT_00s0558g00010
Vitvi00g00790,VIT_00s0558g00020
Vitvi00g00792,VIT_00s0558g00030
Vitvi00g00794,VIT_00s0561g00020
Vitvi00g00795,VIT_00s0561g00030
Vitvi00g00811,VIT_00s0587g00010
Vitvi00g00813,VIT_00s0587g00030
Vitvi00g00814,VIT_00s0587g00040
Vitvi00g00816,VIT_00s0590g00010
Vitvi00g00822,VIT_00s0595g00020
Vitvi00g00822,VIT_00s0595g00010
Vitvi00g00859,VIT_00s0632g00010
Vitvi00g00864,VIT_00s0646g00010
Vitvi00g00869,VIT_00s0657g00010
Vitvi00g00870,VIT_00s0659g00010
Vitvi00g00885,VIT_00s0679g00010
Vitvi00g00889,VIT_00s0695g00010
Vitvi00g00894,VIT_00s0705g00010
Vitvi00g00897,VIT_00s0710g00020
Vitvi00g00903,VIT_00s0733g00010
Vitvi00g00908,VIT_00s0740g00010
Vitvi00g00909,VIT_00s0743g00010
Vitvi00g00910,VIT_00s0743g00020
Vitvi00g00911,VIT_00s0743g00030
Vitvi00g00918,VIT_00s0760g00010
Vitvi00g00921,VIT_00s0762g00040
Vitvi00g00922,VIT_00s0769g00010
Vitvi00g00935,VIT_00s0804g00010
Vitvi00g00936,VIT_00s0804g00020
Vitvi00g00937,VIT_00s0809g00030
Vitvi00g00943,VIT_00s0824g00010
Vitvi00g00944,VIT_00s0824g00020
Vitvi00g00948,VIT_00s0835g00020
Vitvi00g00950,VIT_00s0841g00010
Vitvi00g00951,VIT_00s0841g00030
Vitvi00g00956,VIT_00s0848g00010
Vitvi00g00959,VIT_00s0854g00030
Vitvi00g00960,VIT_00s0854g00040
Vitvi00g00973,VIT_00s0873g00010
Vitvi00g00974,VIT_00s0873g00020
Vitvi00g00983,VIT_00s0897g00010
Vitvi00g00989,VIT_00s0908g00010
Vitvi00g00994,VIT_00s0918g00010
Vitvi00g00997,VIT_00s0920g00010
Vitvi00g01001,VIT_00s0927g00010
Vitvi00g01010,VIT_00s0958g00010
Vitvi00g01011,VIT_00s0958g00020
Vitvi00g01013,VIT_00s0961g00020
Vitvi00g01018,VIT_00s0983g00010
Vitvi00g01020,VIT_00s0988g00010
Vitvi00g01022,VIT_00s1003g00010
Vitvi00g01047,VIT_00s1211g00010
Vitvi00g01048,VIT_00s1211g00020
Vitvi00g01060,VIT_00s1247g00010
Vitvi00g01061,VIT_00s1247g00020
Vitvi00g01062,VIT_00s1251g00010
Vitvi00g01092,VIT_00s1331g00020
Vitvi00g01096,VIT_00s1348g00020
Vitvi00g01098,VIT_00s1353g00010
Vitvi00g01101,VIT_00s1361g00010
Vitvi00g01102,VIT_00s1365g00010
Vitvi00g01105,VIT_00s1373g00010
Vitvi00g01106,VIT_00s1373g00020
Vitvi00g01109,VIT_00s1395g00010
Vitvi00g01110,VIT_00s1397g00020
Vitvi00g01110,VIT_00s1397g00010
Vitvi00g01118,VIT_00s1427g00010
Vitvi00g01122,VIT_00s1448g00010
Vitvi00g01123,VIT_00s1450g00010
Vitvi00g01144,VIT_00s1546g00010
Vitvi00g01145,VIT_00s1547g00010
Vitvi00g01146,VIT_00s1553g00010
Vitvi00g01148,VIT_00s1557g00010
Vitvi00g01149,VIT_00s1557g00020
Vitvi00g01151,VIT_00s1566g00010
Vitvi00g01161,VIT_00s1596g00010
Vitvi00g01163,VIT_00s1603g00010
Vitvi00g01168,VIT_00s1623g00010
Vitvi00g01174,VIT_00s1658g00010
Vitvi00g01175,VIT_00s1664g00010
Vitvi00g01184,VIT_00s1682g00020
Vitvi00g01186,VIT_00s1683g00010
Vitvi00g01188,VIT_00s1693g00010
Vitvi00g01191,VIT_00s1707g00010
Vitvi00g01196,VIT_00s1739g00010
Vitvi00g01217,VIT_00s1850g00010
Vitvi00g01219,VIT_00s1869g00010
Vitvi00g01222,VIT_00s1877g00010
Vitvi00g01223,VIT_00s1881g00010
Vitvi00g01224,VIT_00s1889g00010
Vitvi00g01227,VIT_00s1918g00010
Vitvi00g01231,VIT_00s1944g00010
Vitvi00g01238,VIT_00s1959g00010
Vitvi00g01239,VIT_00s1963g00010
Vitvi00g01242,VIT_00s1987g00010
Vitvi00g01243,VIT_00s1995g00010
Vitvi00g01258,VIT_00s2077g00010
Vitvi00g01259,VIT_00s2077g00020
Vitvi00g01276,VIT_00s2182g00010
Vitvi00g01279,VIT_00s2191g00010
Vitvi00g01285,VIT_00s2207g00010
Vitvi00g01287,VIT_00s2215g00010
Vitvi00g01289,VIT_00s2226g00010
Vitvi00g01289,VIT_00s2226g00020
Vitvi00g01306,VIT_00s2287g00010
Vitvi00g01309,VIT_00s2304g00010
Vitvi00g01312,VIT_00s2313g00010
Vitvi00g01319,VIT_00s2349g00010
Vitvi00g01320,VIT_00s2364g00010
Vitvi00g01326,VIT_00s2376g00010
Vitvi00g01327,VIT_00s2377g00010
Vitvi00g01329,VIT_00s2380g00010
Vitvi00g01333,VIT_00s2397g00010
Vitvi00g01338,VIT_00s2430g00010
Vitvi00g01342,VIT_00s2438g00010
Vitvi00g01343,VIT_00s2438g00020
Vitvi00g01354,VIT_00s2478g00010
Vitvi00g01355,VIT_00s2478g00020
Vitvi00g01357,VIT_00s2483g00010
Vitvi00g01364,VIT_00s2499g00010
Vitvi00g01366,VIT_00s2505g00010
Vitvi00g01367,VIT_00s2508g00010
Vitvi00g01369,VIT_00s2520g00010
Vitvi00g01374,VIT_00s2531g00010
Vitvi00g01378,VIT_00s2549g00010
Vitvi00g01382,VIT_00s2576g00010
Vitvi00g01383,VIT_00s2579g00010
Vitvi00g01384,VIT_00s2580g00010
Vitvi00g01385,VIT_00s2582g00010
Vitvi00g01390,VIT_00s2608g00010
Vitvi00g01392,VIT_00s2620g00010
Vitvi00g01397,VIT_00s2648g00010
Vitvi00g01399,VIT_00s2651g00010
Vitvi00g01406,VIT_00s2705g00010
Vitvi00g01409,VIT_00s2715g00010
Vitvi00g01412,VIT_00s2745g00010
Vitvi00g01413,VIT_00s2752g00010
Vitvi00g01417,VIT_00s2783g00010
Vitvi00g01421,VIT_00s2795g00010
Vitvi00g01425,VIT_00s2829g00010
Vitvi00g01428,VIT_00s2844g00010
Vitvi00g01429,VIT_00s2847g00010
Vitvi00g01431,VIT_00s2849g00010
Vitvi00g01433,VIT_00s2855g00010
Vitvi00g01452,VIT_00s1319g00010
Vitvi00g01453,VIT_00s0266g00040
Vitvi00g01457,VIT_00s0522g00020
Vitvi00g01462,VIT_00s0266g00070
Vitvi00g01467,VIT_00s0266g00020
Vitvi00g01685,VIT_00s0266g00080
Vitvi00g01764,VIT_00s0319g00010
Vitvi00g01765,VIT_00s0319g00040
Vitvi00g01766,VIT_00s0319g00050
Vitvi00g01767,VIT_00s0319g00070
Vitvi00g01768,VIT_00s0327g00010
Vitvi00g01769,VIT_00s0327g00030
Vitvi00g01786,VIT_00s0342g00010
Vitvi00g01787,VIT_00s0342g00020
Vitvi00g01805,VIT_00s0366g00020
Vitvi00g01806,VIT_00s0367g00010
Vitvi00g01834,VIT_00s0396g00040
Vitvi00g01835,VIT_00s0396g00070
Vitvi00g01892,VIT_00s0438g00020
Vitvi00g01893,VIT_00s0438g00030
Vitvi00g01928,VIT_00s0487g00010
Vitvi00g01929,VIT_00s0487g00020
Vitvi00g01932,VIT_00s0490g00010
Vitvi00g01940,VIT_00s0517g00010
Vitvi00g01941,VIT_00s0517g00020
Vitvi00g01963,VIT_00s0556g00020
Vitvi00g01964,VIT_00s0557g00020
Vitvi00g01966,VIT_00s0560g00010
Vitvi00g01967,VIT_00s0560g00020
Vitvi00g01968,VIT_00s0561g00010
Vitvi00g01969,VIT_00s0566g00010
Vitvi00g01970,VIT_00s0566g00020
Vitvi00g01978,VIT_00s0590g00020
Vitvi00g01996,VIT_00s0641g00010
Vitvi00g01997,VIT_00s0641g00030
Vitvi00g01998,VIT_00s0646g00020
Vitvi00g01999,VIT_00s0646g00030
Vitvi00g02009,VIT_00s0671g00010
Vitvi00g02013,VIT_00s0685g00020
