"","CabFra_acclim_r1","CabFra_accfreeze_r1","CabFra_freeze_r1","CabFra_warm_r1","Chard_acclim_r1","Chard_accfreeze_r1","Chard_freeze_r1","Chard_warm_r1","Riesl_acclim_r1","Riesl_accfreeze_r1","Riesl_freeze_r1","Riesl_warm_r1","Sangio_acclim_r1","Sangio_accfreeze_r1","Sangio_freeze_r1","Sangio_warm_r1","Tocai_acclim_r1","Tocai_accfreeze_r1","Tocai_freeze_r1","Tocai_warm_r1","CabFra_acclim_r2","CabFra_accfreeze_r2","CabFra_freeze_r2","CabFra_warm_r2","Chard_acclim_r2","Chard_accfreeze_r2","Chard_freeze_r2","Chard_warm_r2","Riesl_acclim_r2","Riesl_accfreeze_r2","Riesl_freeze_r2","Riesl_warm_r2","Sangio_acclim_r2","Sangio_accfreeze_r2","Sangio_freeze_r2","Sangio_warm_r2","Tocai_acclim_r2","Tocai_accfreeze_r2","Tocai_freeze_r2","Tocai_warm_r2","CabFra_acclim_r3","CabFra_accfreeze_r3","CabFra_freeze_r3","CabFra_warm_r3","Chard_acclim_r3","Chard_accfreeze_r3","Chard_freeze_r3","Chard_warm_r3","Riesl_acclim_r3","Riesl_accfreeze_r3","Riesl_freeze_r3","Sangio_acclim_r3","Sangio_accfreeze_r3","Sangio_freeze_r3","Sangio_warm_r3","Tocai_acclim_r3","Tocai_accfreeze_r3","Tocai_freeze_r3","Tocai_warm_r3"
"ABC transporters",-1.91941429919257,-1.31027736654116,-0.201029385479759,0.116331151897321,0.0520563282858922,-1.5211431029118,1.1109664131928,4.14517155468846,-0.750967738166814,-1.93841944167794,1.94741687330869,1.56850849701321,-1.03660475922662,-4.06085316801886,-0.860002240239079,2.6485138989479,0.121554321874724,0.164702898234344,0.476931263529102,0.420841852449463,-2.24991844485365,-2.3546033423682,-0.150691904312458,-0.425155518739191,-1.04055709290376,0.822041781347505,-0.123326344787369,2.14072495051237,-0.501564565613105,-0.812215453631119,2.24658948482399,1.55605976593832,-1.99259500460024,-1.70333017888469,-0.533431706460522,4.26227134366474,0.549067405273674,-0.979297948718193,-0.0746329040812683,-0.595500756460403,-1.93869174358827,-3.40916800921614,-0.0780201122802168,-0.307333192338904,-0.087590398845754,-0.0725831578241616,0.719149033551667,2.6443025888269,-1.00369245905654,0.0997293959494915,1.29255957670297,-0.387080417929304,-0.576258198967468,0.00859423101979837,2.00629982399127,-0.0777532925686276,-1.22233544257607,1.61552990625757,1.90557981863615
"Alanine aspartate and glutamate metabolism",-1.58832190706389,-0.95863988542136,1.24175033499918,-1.98256272204216,-2.14335608259118,-0.453320846232343,0.612241598442191,-0.138518571567979,-0.424642573488901,-3.03190886486067,1.47062554377989,-1.53213168050117,-2.46458604664962,0.912383265153345,1.47496922842495,-1.60489929907843,-1.07450789542927,-1.91994650087932,-0.918604006185159,0.725830039410476,-1.01131968927509,3.37011121706449,0.849110526150182,-0.22641532632314,0.355557508164172,-1.85488247311665,1.31806666939035,-0.469371454454747,-0.355304280282538,-2.4324685521011,1.01958626895487,-1.82572418286939,-0.329797419115681,0.960979539353581,1.65891849634603,0.441154156874718,-2.01577046011054,1.50916243580635,2.23556518402222,-0.216970098354895,-0.489955338835891,1.78842495703396,1.89872285787195,-0.862003610078529,-1.79824745314486,-1.08149331692654,2.35490868923546,0.730451456777469,0.0504229442697075,-0.714257339141996,2.44068916841614,-2.98331950292252,-0.389162345111408,1.38073997028939,-2.11931031107889,-1.35023222396886,2.33027375310522,0.308414560118873,-1.57339056257841
"alpha-Linolenic acid metabolism",-1.204481069044,-1.42301055387083,0.575168232840071,-2.06826143707657,-1.13452967947729,-2.23189973742941,-0.0289953841941925,-0.254757508027232,-1.36392892925335,0.901418279625363,0.560473986205273,0.199612558598192,-0.748751761847083,-1.79888038144411,3.38750980364204,0.998316875507257,-0.0979928437044206,-0.427686497308065,-0.0395467051331989,2.22220695408371,-1.61415648869267,0.529583956084542,1.06755076090894,-1.80225608753027,-0.133597507654777,-2.1733902937641,-0.916754074748606,-0.2224639023909,-0.871787574031615,0.326522377491482,-0.331160305852924,0.650762758422015,-3.16150627392995,0.000324317601138643,2.61845873805979,2.59272690681485,1.49556411992566,0.393411718601921,2.62742858676849,0.806690163801673,-1.29809553538666,-1.89938888582169,2.84360313105825,-1.93247721188764,-2.81653281540876,-2.02399588561365,-1.74255287503177,-2.19049396692345,-0.61465651937344,-1.20533105154977,2.54078602660026,-1.01240182500607,0.944199855016059,3.46255526281873,2.80751637738074,-0.694623823845245,0.585679569482789,-1.12960292030981,-2.14366650644286
"Amino sugar and nucleotide sugar metabolism",0.640982767355542,-1.51595666493162,-2.53306293329843,0.982769294978942,-0.328119740322515,-0.160736112463242,-1.83528191089465,-0.59039824452229,-0.263167987530037,-0.0840142441313961,-0.826996501453203,-0.795307526340417,1.77131009063982,-1.807272036332,1.96843927236204,1.43984935094336,-1.05641768997152,1.05169131743106,2.65482270327048,2.78755515843804,0.460530966391309,0.670392292578098,-0.90991942221687,0.689219961075766,-3.00833140848297,-1.00427446567635,-4.1748440559077,-0.240862596417721,-0.450286195354655,0.658371881178084,-0.803364560444494,0.787940968785668,-1.21551574000042,-0.240544802721247,-1.07965257436767,2.59106698084485,1.142757175139,-1.11533508176556,-2.40360184486052,1.90531328393555,-0.35398849873778,-1.59364727407908,1.3107105050651,0.763175696734372,0.947952391905678,-3.20267141510768,-1.52424566681986,-0.150033783674646,1.32791765676839,-0.0790368517164897,-0.652641888698184,1.90180784417058,3.18618920084165,2.2717153070276,1.44601465702952,0.649578676543832,-0.106987442705612,-0.942946622406891,0.114075763797653
"Aminoacyl-tRNA biosynthesis",0.912780028654059,-1.47461034952429,-2.57543663222961,1.88972748917937,1.29770760795568,0.0416453347207946,-0.890153902131556,-0.902166460275918,1.51078695074035,-1.95302853029938,-0.789527161010639,0.442168619198573,1.33495724807106,0.877024262204525,-1.77451001130742,-0.891812017665663,1.54437596369047,0.754084238772916,-0.942713642033883,-0.280076781805009,1.2405219878305,-3.06641568747763,0.640688738657258,1.82796324994927,1.27218380279061,0.577803433986844,1.17512262642684,1.59806415674992,1.55410117683879,0.781377539596126,-0.555348011682357,-1.89419515971917,1.65927635013344,-1.06042856554876,-2.02196590673856,-1.49634744749256,1.38738053876677,-0.688831768015946,-1.81095374671155,0.824961862789197,1.27285958428962,-1.33531204148316,-2.46758939763568,1.78188768774031,1.47539555012957,1.13193889453278,0.282547606710478,-0.956256623514843,2.14458614381578,0.51295025721106,-2.11129149538943,1.77343917349181,-0.551080147543419,-1.34242439618798,1.00475964433888,1.94827410457199,-0.549643715417429,-0.68327154968814,1.73832095685329
"Arginine and proline metabolism",-1.98418744760966,-1.58952810574608,2.21640204577033,-1.69594406759377,-1.48950543346375,-0.529853967336863,0.326280660983271,-1.1339535700382,-0.993411820415851,-3.2945324223514,2.65496909717383,-1.29981163711568,-2.42865102695142,1.07946219184342,2.59566343170519,-1.53645982817754,-1.78019305721894,-0.943447289149047,-0.224725323477715,0.11385389273552,-1.1420442586135,0.690611103027144,1.66209358061709,-1.20327129301222,-1.4481085226786,-1.48430892219161,2.09688995490811,-1.4544413622465,-0.614184779365762,-1.68674702845495,2.41902019994607,-0.978192753683325,-0.679007652988777,-1.23268614893811,2.44232805540577,0.00517957379067063,-1.28806483841831,0.00922196132879274,1.79714831414783,-0.681035921237054,-0.910633252056315,0.139364036329784,2.42520635985327,-1.37271613508687,-1.73724257251065,0.222709076307863,3.25986665748562,-0.640306654641422,-0.0314533687932419,0.312361018547442,2.03583700292333,-2.10996114505982,-2.04592857412598,2.71545198269971,-2.73943740587553,0.492102292238636,-0.337632832363505,1.2560322402019,-0.405220620345035
"Arginine biosynthesis",0.519683154937421,-0.348367673482366,-2.13857609304182,-0.455378617841776,0.263273904645995,-0.940801433068588,-1.20214444238618,-0.95627458779522,1.18514813290188,-0.887906519349188,0.150278201158418,-1.03917914150746,-0.668666748378894,-0.931975879198612,0.372585431976862,-0.53799962008163,0.706828876397283,0.868460525119114,-0.319166594781249,0.265592015938996,0.637076987990022,1.32141575291453,-0.161895925412597,-0.0214983134072366,0.0422369561191567,0.253113764084306,0.448074800473659,0.263580246290893,1.70177187090392,0.983107011928232,0.0353754951141113,-0.900923058736284,-0.532757712644603,-0.684430483316,-0.688482583499439,-0.0411479692220007,0.474262405180211,0.0609069231086276,-0.470690401640573,0.125041381991743,0.778103716683092,0.0650215169382908,-0.52215884558426,-0.00567547772080881,-1.13456602389206,-0.460690631492771,1.22977114734369,-0.573259071574042,2.48164261125968,0.906184910507143,0.0169313712604963,-0.175820556823864,0.234771013627504,0.337176445306248,-0.573286819556038,1.19001177924239,0.933082523493022,-0.00621951912027912,-0.425462525102916
"Ascorbate and aldarate metabolism",-2.2222733879026,-1.14850071743234,0.641719916226391,-0.433326497376253,-1.12205261087767,0.770634668191667,2.33285027497264,0.690135201184943,-1.12656684312634,0.362331134141438,2.02742264102592,1.67826862836151,-1.97406256974406,-3.10578886971877,1.2968969955216,1.20322101390534,-1.84939475445873,1.08161516691554,2.00919067034763,1.17652903760943,-2.42600109073547,0.06400139877659,-0.00430495465720679,-0.237757230217931,-3.52962427949702,-0.388775503291983,1.3728176634891,-0.0322655518347641,-0.786653513920203,-0.840734565819032,2.10816753829405,0.967905481208758,-1.10294974189852,-1.65084925131989,1.13033310233969,1.95003474823901,-1.26977646469541,-2.79502018347782,1.05693488893809,1.19978481019276,-2.48219615430272,-1.88379479183692,0.976842451965289,0.118488640268451,0.0923170921988638,-0.742346725086784,1.04923571902907,0.433221850136906,-1.02772917530172,-0.451147699630922,1.34276788224173,-1.03398186344822,-0.424366140640144,1.21855952028343,0.98408262529731,-0.248908856117433,-2.02250990523539,2.19476802756695,-1.25940747047065
"Autophagy - other",0.0460682387546305,0.182291836463658,0.198163803337522,-3.49288400832576,-0.400515636347502,0.823978896817724,-1.06183079965386,-1.80188813171607,-0.316149953499292,-0.419381469304461,0.631083508711032,-1.20710121734221,1.72488319894529,2.16472236428156,1.26273690140926,-1.02117944820641,0.524841863803456,0.673392775582389,-2.6982458271479,-2.45724559770202,0.247065828547126,0.622574684990059,0.377051843884479,-2.89803251699277,2.02224746676899,0.433093110670044,0.30163805817222,-2.77129969936001,0.472139363010362,0.0644457031950448,0.509638878238453,-1.79968561566209,2.74511259912564,0.404696294954518,1.75120910216812,-0.881327065104496,1.12941125226645,2.643329437313,0.728538887917726,-2.22842955627166,0.119070615483087,1.66254397422768,1.38890000613853,-3.42030311421766,0.582891638669539,1.57160838798887,0.0524033921174475,-1.51148279828619,-0.578652959252038,-0.954722850883569,2.58160390536151,2.06447405161681,0.627772729020339,1.21811162452862,-0.623956143159422,-0.635548348449095,2.96994443654946,-0.899986819155584,-2.6825652784621
"Basal transcription factors",1.04259950269818,0.941858601789391,0.755608881913231,-1.84072750594207,-0.295664958113247,0.786500345209524,-0.375282689806287,-1.97882719455517,1.47956551649794,-0.147612823614493,-0.0606849905116097,-1.42397033503421,1.06889614258749,1.99444887830915,0.0255446436223624,-1.97004560175884,1.14304184180509,0.106138590181667,-1.90620295217134,-2.61985010486144,0.967497811107614,0.173905836189874,-0.187127914914127,-1.53314877290559,2.00387638918684,0.851127831950199,0.128528358521611,-1.66365244054061,1.12649408790032,0.220704922031612,0.472692417367873,-1.60642786775146,1.78339049182109,0.936886383285972,0.345664828654505,-2.35326612906936,1.01893457730921,1.61757302545468,0.386951136336165,-2.21103307278782,1.36593981682557,1.42893287154746,0.387774101396738,-1.36509784090262,1.58339027377114,1.30917789849675,-0.404859079184857,-1.92072762780237,0.927079128108353,1.0810531509901,0.647742281946796,1.2535607035409,0.397529235535016,0.247943422425318,-2.0081231384119,0.178086768603102,1.13533807548482,-0.783430462946567,-0.923416493439558
