"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi12g02565",1,"Vitvi12g02565","Vitvi12g02565",0.743906969925791,1.22557217086331,4.82805513063765,-0.743906969925791,0.360685243580005,2.91964198809839,"0.00250542452404656      .","36 x 1","12 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g02008",2,"Vitvi09g02008","Vitvi09g02008",0.81495154816525,1.11923241495275,4.52840503879078,-0.81495154816525,0.451899641369358,3.82455651131878,"0.000163534611434812      .","31 x 1","9 ","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi04g01863",3,"Vitvi04g01863","",1.07844091807628,1.69840513856804,4.464644889375,-1.07844091807628,0.574360979228905,5.29723791465353,"9.84373562995522e-07      .","33 x 1"," ",""
"Vitvi11g01446",4,"Vitvi11g01446","Vitvi11g01446",1.22818690241004,1.60955388044933,4.15346993346013,-1.22818690241004,0.673424570552059,6.87751524672504,"2.54455889692196e-09      .","33 x 1","11 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi11g01457",5,"Vitvi11g01457","Vitvi11g01457",2.45090141038921,1.44019572417773,4.0928255515598,-2.45090141038921,0.501440028244658,4.37566160956101,"2.60942002574538e-05      .","31 x 1","11 ","Binding to a protein."
"Vitvi10g01863",6,"Vitvi10g01863","",0.888810081398928,1.35060133696077,3.94347052339393,-0.888810081398928,0.663680443407518,6.69862138722988,"5.04809771761927e-09      .","33 x 1"," ",""
"Vitvi10g01433",7,"Vitvi10g01433","",2.28164532663774,1.61299950739326,3.75929830155491,-2.10392439320343,0.660792895682941,6.64679958433621,"6.15463524589188e-09      .","33 x 1"," ",""
"Vitvi17g00339",8,"Vitvi17g00339","Vitvi17g00339",1.55605835384293,1.35250189734143,3.72297969927693,-1.55605835384293,0.623558670260369,6.02188013987827,"6.62206904866736e-08      .","34 x 1","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g01434",9,"Vitvi08g01434","Vitvi08g01434",0.973385190756864,0.939938378043733,3.40246106668455,-0.973385190756864,0.654269180878656,6.53163269537762,"9.55596879403942e-09      .","33 x 1","8 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi10g00378",10,"Vitvi10g00378","",1.41116734181212,1.57259470496417,3.33516241875407,-1.41116734181212,0.550851570692767,4.98301231167873,"3.08212830446575e-06      .","34 x 1"," ",""
"Vitvi19g01989",11,"Vitvi19g01989","",1.60989635802614,1.95738236738336,3.17449545356579,-1.60989635802614,0.849672868282292,12.1653057860518,"0      .","33 x 1"," ",""
"Vitvi19g01990",12,"Vitvi19g01990","",1.65408171877706,2.0021119519029,3.03629964781595,-1.65408171877706,0.842486096525937,11.8069741807075,"0      .","33 x 1"," ",""
"Vitvi01g00319",13,"Vitvi01g00319","Vitvi01g00319",1.81224561482153,1.42449378265718,2.90879839679636,-1.81224561482153,0.765918792189925,8.99397164824843,"7.89701637415874e-13      .","33 x 1","1 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g01624",14,"Vitvi07g01624","Vitvi07g01624",1.00054216267563,0.767341217834457,2.89309964962902,-1.00054216267563,0.537570994061897,4.81319140621151,"5.65777442362858e-06      .","36 x 1","7 ","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi19g01988",15,"Vitvi19g01988","",1.65935809520782,1.96666121613649,2.87923682625097,-1.65935809520782,0.853511832736161,12.3665346875184,"0      .","33 x 1"," ",""
"Vitvi12g02324",16,"Vitvi12g02324","Vitvi12g02324",1.95908770605855,1.30172069798475,2.80542524191203,-1.69667323603659,0.649714831601089,6.45275082133394,"1.29107264879025e-08      .","33 x 1","12 ","Binding to a protein."
"Vitvi18g02715",17,"Vitvi18g02715","Vitvi18g02715",2.85730624369533,1.70244083397902,2.78836852160428,-2.85730624369533,0.414085518840518,3.4345711479851,"0.000556504529684476      .","31 x 1","18 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi12g00462",18,"Vitvi12g00462","Vitvi12g00462",2.52823502395359,1.0716836052034,2.75250723156215,-2.20124905167009,0.276038888957643,2.16829378250531,"0.0171623774084255      .","35 x 1","12 ",""
"Vitvi19g01058",19,"Vitvi19g01058","Vitvi19g01058",1.90410676905097,0.924775457172235,2.7446567593693,-1.63412225192677,0.439415429376965,3.69316816523161,"0.000248912756980579      .","31 x 1","19 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi02g01110",20,"Vitvi02g01110","",2.84372224220676,1.01816120262252,2.70731191016051,-1.95442217678792,0.505848793306692,4.42728554502983,"2.18529172126836e-05      .","36 x 2"," ",""
"Vitvi19g00427",21,"Vitvi19g00427","",1.01210228870017,1.29950487139824,2.67581802704986,-1.01210228870017,0.78099871747114,9.44131779138139,"1.48103751484996e-13      .","32 x 1"," ",""
"Vitvi15g00874",22,"Vitvi15g00874","Vitvi15g00874",1.3200778561298,1.09374327492518,2.66174855235334,-1.3200778561298,0.577426540808785,5.33959711298015,"8.42679789725409e-07      .","32 x 1","15 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi18g02617",23,"Vitvi18g02617","Vitvi18g02617",1.21482063961135,1.21517837699346,2.6325409504086,-1.21482063961135,0.367505252662566,2.98337616281689,"0.00209558148058453      .","36 x 3","18 ","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi18g00290",24,"Vitvi18g00290","Vitvi18g00290",0.633001428701585,0.866850573718339,2.61379840247812,-0.633001428701585,0.537030894512882,4.80639428445908,"5.79613310791594e-06      .","36 x 2","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00596",25,"Vitvi12g00596","",1.03886611101558,1.2489482059256,2.53507411036644,-1.03886611101558,0.624721880880148,6.04029304434396,"6.17740700814551e-08      .","33 x 1"," ",""
"Vitvi10g01876",26,"Vitvi10g01876","",0.978917095095916,1.15859447164213,2.5166085013838,-0.978917095095916,0.563770562149922,5.15342335622303,"1.66405316170959e-06      .","35 x 1"," ",""
"Vitvi12g02588",27,"Vitvi12g02588","",0.694636785162462,0.937146524936497,2.50234264881219,-0.694636785162462,0.769468480130626,9.09581649617484,"5.38680211548126e-13      .","32 x 1"," ",""
"Vitvi18g02222",28,"Vitvi18g02222","Vitvi18g02222",1.76966133613187,1.53208971561114,2.50063315322023,-1.76966133613187,0.695589929608712,7.30972084369801,"4.846222312338e-10      .","32 x 1","18 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi12g02329",29,"Vitvi12g02329","",0.536290071101333,0.965621454081681,2.49889271829754,-0.536290071101333,0.746629394530481,8.47352304231387,"5.65036906152727e-12      .","33 x 1"," ",""
"Vitvi12g00598",30,"Vitvi12g00598","",3.04239387233967,1.36929223959052,2.46246573634793,-3.00323301623577,0.525771208763239,4.66654611528971,"9.50237546637478e-06      .","34 x 1"," ",""
"Vitvi16g01949",31,"Vitvi16g01949","",2.4913136482407,1.61478185454404,2.45468138148501,-2.4913136482407,0.863800607554905,12.9438545276013,"0      .","32 x 1"," ",""
"Vitvi06g01097",32,"Vitvi06g01097","Vitvi06g01097",1.15343878731761,1.02411896681809,2.45072582643218,-1.15343878731761,0.469530781828758,4.01496773371125,"8.78563951914879e-05      .","32 x 1","6 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi07g01586",33,"Vitvi07g01586","",3.05951335116523,1.71261482921448,2.44534625752238,-3.04685903815022,0.754501983116517,8.67954356990076,"2.58681964737661e-12      .","33 x 1"," ",""
"Vitvi10g01671",34,"Vitvi10g01671","",1.42688880958741,1.49149154576673,2.40062200620026,-1.42464086177778,0.546715332126824,4.92955789164042,"3.73437605527549e-06      .","34 x 1"," ",""
"Vitvi01g00350",35,"Vitvi01g00350","",1.69977796547441,1.40486775130416,2.36738335232995,-1.69977796547441,0.815548932814168,10.6400308259218,"1.77635683940025e-15      .","33 x 1"," ",""
"Vitvi13g02129",36,"Vitvi13g02129","",3.41334001614491,1.58877930660316,2.35799474757471,-3.2328353566175,0.720569478816701,7.84585473309563,"6.1983862487125e-11      .","33 x 1"," ",""
"Vitvi14g02502",37,"Vitvi14g02502","Vitvi14g02502",0.581540144977781,0.648586531696059,2.35440132371846,-0.581540144977781,0.504692702948409,4.41370378184076,"2.28987832523453e-05      .","31 x 2","14 ","Binding to a protein."
"Vitvi12g01699",38,"Vitvi12g01699","",1.00670048240404,0.929597688498128,2.31709456967063,-1.00670048240404,0.63471478179882,6.20124652299076,"3.35956398256343e-08      .","32 x 1"," ",""
"Vitvi04g02319",39,"Vitvi04g02319","",1.05633683898889,0.922147340716713,2.28757950499482,-1.05167971295998,0.747605549176848,8.49861852267655,"5.13655784573075e-12      .","32 x 1"," ",""
"Vitvi00g01422",40,"Vitvi00g01422","",1.0567792581774,0.92207606259127,2.28725026613112,-1.05212213214849,0.747551934312073,8.49723693444631,"5.1636472875316e-12      .","32 x 1"," ",""
"Vitvi16g01158",41,"Vitvi16g01158","",3.61797374652408,1.9400954047442,2.27140214394402,-3.61797374652408,0.768869932672028,9.07850072902092,"5.74762459848444e-13      .","32 x 1"," ",""
"Vitvi19g02282",42,"Vitvi19g02282","Vitvi19g02282",1.43672873602113,1.04575905298263,2.26855881837975,-1.43672873602113,0.339008509731778,2.72056073078448,"0.00431295341574067      .","36 x 1","19 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi12g02454",43,"Vitvi12g02454","Vitvi12g02454",1.72432387476334,1.22206777522336,2.21998497849967,-1.72432387476334,0.622713304713503,6.00853961630374,"6.96394109045428e-08      .","34 x 1","12 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
