"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi08g00957",1,"Vitvi08g00957","Vitvi08g00957",1.69160026002402,1.59837844179749,5.08396688264095,-1.6812404391202,0.618265692828991,5.93891441015901,"9.05335586498524e-08      .","1 x 6","8 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g01469",2,"Vitvi16g01469","",1.22330312371128,1.08950409647496,3.47384099518461,-1.22330312371128,0.846160674348222,11.9873126791404,"0      .","1 x 8"," ",""
"Vitvi08g01744",3,"Vitvi08g01744","Vitvi08g01744",1.19909401878721,1.10427132112348,3.18614214105887,-1.19909401878721,0.856939462734257,12.5524578581612,"0      .","1 x 7","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01213",4,"Vitvi16g01213","Vitvi16g01213",1.3035192888376,1.09865864030226,3.18109061098797,-1.3035192888376,0.80884104271638,10.3849181982609,"4.66293670342566e-15      .","1 x 6","16 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi16g01986",5,"Vitvi16g01986","",1.34400362606472,1.19943951725429,3.0113991854284,-1.34400362606472,0.725908945847306,7.96825466881701,"3.87987419969704e-11      .","1 x 7"," ",""
"Vitvi05g01760",6,"Vitvi05g01760","Vitvi05g01760",1.58822256448696,1.05708526078886,2.99312274626465,-1.54291613714594,0.666602763523625,6.75161222649332,"4.12151079931533e-09      .","1 x 8","5 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01461",7,"Vitvi16g01461","",1.23326331496588,1.05743201371514,2.9379242509709,-1.23326331496588,0.86308374929479,12.9016922867337,"0      .","1 x 7"," ",""
"Vitvi08g01264",8,"Vitvi08g01264","Vitvi08g01264",1.63104991838703,1.36519142759682,2.90872031974654,-1.63104991838703,0.935986752769217,20.073403295174,"0      .","1 x 6","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01182",9,"Vitvi02g01182","Vitvi02g01182",2.70311623651528,1.27731529426898,2.90609716734748,-2.06065868507488,0.810309512513011,10.4397277233033,"3.77475828372553e-15      .","1 x 6","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00395",10,"Vitvi17g00395","Vitvi17g00395",3.28668907595718,1.33886001533345,2.88968529458306,-2.60497858862803,0.83343422404974,11.3863152810943,"1.11022302462516e-16      .","1 x 6","17 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00734",11,"Vitvi05g00734","Vitvi05g00734",2.66258079052216,1.06888056091171,2.87838568255492,-1.91773829138232,0.805616516947657,10.2665221908042,"7.105427357601e-15      .","1 x 8","5 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g02300",12,"Vitvi00g02300","",2.45776008462604,1.09238449660216,2.8703367926219,-1.63151551646662,0.870653928722907,13.3631746868619,"0      .","1 x 8"," ",""
"Vitvi16g02105",13,"Vitvi16g02105","",2.23767002211573,1.37261347928522,2.69767660102948,-2.23767002211573,0.679962693549393,7.00119850473362,"1.58362589708361e-09      .","1 x 8"," ",""
"Vitvi00g01746",14,"Vitvi00g01746","",2.23798433267024,1.37247098790733,2.69762853833999,-2.23798433267024,0.680028623601433,7.00246127632811,"1.57597379590868e-09      .","1 x 8"," ",""
"Vitvi08g02220",15,"Vitvi08g02220","Vitvi08g02220",0.897804027719074,0.73632252143836,2.65828366903584,-0.848207292434384,0.61159371968522,5.83619158393735,"1.331909016411e-07      .","1 x 10","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01791",16,"Vitvi07g01791","Vitvi07g01791",1.46979641766302,0.983319211953299,2.65532596803998,-1.44029126224218,0.824439150584328,10.9980960121742,"4.44089209850063e-16      .","1 x 7","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g01599",17,"Vitvi06g01599","Vitvi06g01599",2.26319912942388,1.24487459780162,2.64447413203195,-2.26319912942388,0.717994654586539,7.78787665415117,"7.73983099833231e-11      .","1 x 9","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00882",18,"Vitvi18g00882","Vitvi18g00882",1.01937856169773,0.75203702228488,2.63552490038984,-1.01937856169773,0.623610769453176,6.02270343420602,"6.60152507103717e-08      .","1 x 9","18 ","Binding to a protein."
"Vitvi01g01990",19,"Vitvi01g01990","Vitvi01g01990",1.36360769333895,1.153859863316,2.61135913661253,-1.34207662771645,0.652580126042377,6.50223526693893,"1.06904159968835e-08      .","1 x 10","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01392",20,"Vitvi10g01392","",0.815865886191666,0.854708149628895,2.57671033037689,-0.815865886191666,0.765728631453764,8.98857252896008,"8.05799871272939e-13      .","1 x 8"," ",""
"Vitvi14g02913",21,"Vitvi14g02913","",0.812542993563114,0.879518078241183,2.57290814713267,-0.812542993563114,0.812950063001003,10.5397326045316,"2.66453525910038e-15      .","1 x 6"," ",""
"Vitvi16g02000",22,"Vitvi16g02000","",2.06961503814324,1.11826587844759,2.54917524668649,-2.06961503814324,0.635355738846528,6.21174435146335,"3.22843719535726e-08      .","1 x 8"," ",""
"Vitvi17g00292",23,"Vitvi17g00292","Vitvi17g00292",1.86251492825164,0.982328777207708,2.49493110979852,-1.86251492825164,0.75674084299895,8.73969253632738,"2.06035188909937e-12      .","1 x 7","17 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00988",24,"Vitvi16g00988","",0.96754476396222,0.881906562898998,2.49293585105585,-0.96754476396222,0.802288712491094,10.1470592529146,"1.0991207943789e-14      .","1 x 9"," ",""
