"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi04g01368",1,"Vitvi04g01368","Vitvi04g01368",4.00802085460891,2.07996992007007,4.32803183524543,-3.90491619242393,0.69042334904571,7.20561506490376,"7.22719661894189e-10      .","1 x 38","4 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00087",2,"Vitvi18g00087","Vitvi18g00087",1.67652619244902,1.66882532595238,4.10786323031331,-1.67652619244902,0.730644941340614,8.079365450519,"2.53712606479439e-11      .","1 x 40","18 ",""
"Vitvi16g00733",3,"Vitvi16g00733","Vitvi16g00733",1.73170520350797,1.88133825268981,3.92166438689437,-1.73170520350797,0.834555225566683,11.4366962430037,"1.11022302462516e-16      .","1 x 40","16 ","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi12g02353",4,"Vitvi12g02353","Vitvi12g02353",5.42795194123181,2.50945750273979,3.43162943311711,-5.18341111224704,0.78084713460914,9.43662183046201,"1.50657264441634e-13      .","1 x 40","12 ",""
"Vitvi19g00255",5,"Vitvi19g00255","Vitvi19g00255",3.64453912370692,1.29442837571499,3.41576548703831,-3.3845819428916,0.580386864954449,5.38082366545428,"7.24150348130337e-07      .","1 x 37","19 ",""
"Vitvi10g00647",6,"Vitvi10g00647","Vitvi10g00647",2.83876825932256,1.1157289608101,3.29205294231553,-2.39559918125147,0.768584615864702,9.07026718266984,"5.92859095149834e-13      .","1 x 38","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01469",7,"Vitvi14g01469","Vitvi14g01469",2.48699771267313,1.47054523136078,3.12889246411579,-2.41131206977182,0.42073472333822,3.50147103635728,"0.000453261052954401      .","1 x 40","14 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi18g00122",8,"Vitvi18g00122","Vitvi18g00122",0.658505381592314,0.858657249850071,3.08661663828498,-0.658505381592314,0.694964067046938,7.29699467211975,"5.08886710548495e-10      .","1 x 38","18 ","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi05g00071",9,"Vitvi05g00071","Vitvi05g00071",4.73530027416049,1.52698954267322,3.0112770011935,-3.56681739738797,0.701914850601109,7.44016856186532,"2.93715274324313e-10      .","1 x 39","5 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi10g00649",10,"Vitvi10g00649","",1.93208578082737,0.9493795533294,2.87562122364499,-1.88248904554268,0.651908944645999,6.49060056914438,"1.1175582126377e-08      .","1 x 36"," ",""
