"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi18g00353",1,"Vitvi18g00353","Vitvi18g00353",1.86578141856098,1.4963421792925,5.24471293724328,-1.86578141856098,0.599663374954107,5.65741437890402,"2.59912813715957e-07      .","5 x 6","18 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi08g00957",2,"Vitvi08g00957","Vitvi08g00957",1.69160026002402,1.59837844179749,5.08396688264095,-1.6812404391202,0.569809316063009,5.23495582941841,"1.23631023618564e-06      .","1 x 6","8 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g01405",3,"Vitvi02g01405","Vitvi02g01405",1.78681312714648,1.24491934482954,5.05005601082726,-1.63286635773904,0.777338060818707,9.32909136336541,"2.24931184789057e-13      .","4 x 6","2 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi05g00483",4,"Vitvi05g00483","Vitvi05g00483",1.40749677755405,1.39600230246285,4.32402640464543,-1.40524882974442,0.796849450618804,9.95746662039499,"2.19824158875781e-14      .","4 x 6","5 ","Binding to a copper (Cu) ion."
"Vitvi09g00500",5,"Vitvi09g00500","Vitvi09g00500",1.70228723816093,1.42672167701634,4.2011064412701,-1.70228723816093,0.791404662021753,9.77432742476514,"4.30766533554561e-14      .","3 x 6","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00485",6,"Vitvi14g00485","",1.16027163548994,1.01756298734116,3.90310489788155,-1.16027163548994,0.547958390529625,4.94556781800077,"3.52598361774703e-06      .","6 x 6"," ",""
"Vitvi18g02840",7,"Vitvi18g02840","",0.668843278963218,1.03450095327943,3.80924135834288,-0.668843278963218,0.547318409473095,4.9373193782966,"3.63188248830859e-06      .","3 x 8"," ",""
"Vitvi07g02558",8,"Vitvi07g02558","Vitvi07g02558",1.4214928728737,1.15497754688517,3.70639794042908,-1.34764789317809,0.882970879625296,14.2008727684158,"0      .","2 x 6","7 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi04g01941",9,"Vitvi04g01941","Vitvi04g01941",1.79746006622876,1.20281884809862,3.69237866516824,-1.63597402505698,0.813099340613337,10.5454427899747,"2.66453525910038e-15      .","3 x 6","4 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi11g00486",10,"Vitvi11g00486","Vitvi11g00486",0.897387652462986,1.06434180090211,3.57666438689104,-0.897387652462986,0.677989338679661,6.96354791955131,"1.82964621231463e-09      .","5 x 6","11 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
