"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi16g01469",1,"Vitvi16g01469","",1.22330312371128,1.08950409647496,3.47384099518461,-1.22330312371128,0.864504860422732,12.9855769133461,"0      .","1 x 8"," ",""
"Vitvi08g01744",2,"Vitvi08g01744","Vitvi08g01744",1.19909401878721,1.10427132112348,3.18614214105887,-1.19909401878721,0.845106431093688,11.9349726994916,"0      .","1 x 7","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01463",3,"Vitvi16g01463","",1.09451231150522,0.987939243698573,3.04209906096206,-1.09451231150522,0.838548426874555,11.6200206302585,"0      .","2 x 7"," ",""
"Vitvi16g01986",4,"Vitvi16g01986","",1.34400362606472,1.19943951725429,3.0113991854284,-1.34400362606472,0.734402242779395,8.16928988937205,"1.7997714429896e-11      .","1 x 7"," ",""
"Vitvi05g01760",5,"Vitvi05g01760","Vitvi05g01760",1.58822256448696,1.05708526078886,2.99312274626465,-1.54291613714594,0.660941619276756,6.64945578170062,"6.09244787952434e-09      .","1 x 8","5 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00680",6,"Vitvi13g00680","Vitvi13g00680",1.00040779627354,0.879077626755169,2.9809509861021,-0.995750670244622,0.736964524971385,8.23154532669613,"1.4193091146808e-11      .","2 x 7","13 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi16g01461",7,"Vitvi16g01461","",1.23326331496588,1.05743201371514,2.9379242509709,-1.23326331496588,0.860860622445831,12.7728649267407,"0      .","1 x 7"," ",""
"Vitvi05g00734",8,"Vitvi05g00734","Vitvi05g00734",2.66258079052216,1.06888056091171,2.87838568255492,-1.91773829138232,0.839209804747434,11.6509827435392,"0      .","1 x 8","5 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g02300",9,"Vitvi00g02300","",2.45776008462604,1.09238449660216,2.8703367926219,-1.63151551646662,0.894662238372089,15.1195404929943,"0      .","1 x 8"," ",""
"Vitvi16g01475",10,"Vitvi16g01475","",0.866299284214291,0.866069338138151,2.86356408824243,-0.866299284214291,0.705811015084981,7.52224022293168,"2.14353645944243e-10      .","2 x 8"," ",""
"Vitvi16g02105",11,"Vitvi16g02105","",2.23767002211573,1.37261347928522,2.69767660102948,-2.23767002211573,0.699063895346151,7.38095057614559,"3.68678421125423e-10      .","1 x 8"," ",""
"Vitvi00g01746",12,"Vitvi00g01746","",2.23798433267024,1.37247098790733,2.69762853833999,-2.23798433267024,0.699130205833356,7.38232004671459,"3.66745300794946e-10      .","1 x 8"," ",""
"Vitvi08g02220",13,"Vitvi08g02220","Vitvi08g02220",0.897804027719074,0.73632252143836,2.65828366903584,-0.848207292434384,0.629224148103239,6.11218751339639,"4.70747361092094e-08      .","1 x 10","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01791",14,"Vitvi07g01791","Vitvi07g01791",1.46979641766302,0.983319211953299,2.65532596803998,-1.44029126224218,0.806494740216715,10.2985060703453,"6.32827124036339e-15      .","1 x 7","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g01599",15,"Vitvi06g01599","Vitvi06g01599",2.26319912942388,1.24487459780162,2.64447413203195,-2.26319912942388,0.724722646013653,7.94080231882813,"4.30953051022698e-11      .","1 x 9","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00882",16,"Vitvi18g00882","Vitvi18g00882",1.01937856169773,0.75203702228488,2.63552490038984,-1.01937856169773,0.608720084366536,5.79256664408103,"1.56856589050847e-07      .","1 x 9","18 ","Binding to a protein."
"Vitvi18g01608",17,"Vitvi18g01608","Vitvi18g01608",3.74700935509912,1.05876989303801,2.61695570055612,-1.72989998778454,0.655002930144935,6.54445647752376,"9.09944597449197e-09      .","2 x 8","18 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g00760",18,"Vitvi04g00760","Vitvi04g00760",0.922330221087047,0.863545469018464,2.61428408662656,-0.911970400183229,0.758761390329122,8.79459372356354,"1.67421632113474e-12      .","2 x 8","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01990",19,"Vitvi01g01990","Vitvi01g01990",1.36360769333895,1.153859863316,2.61135913661253,-1.34207662771645,0.6569141157903,6.57801103979307,"8.00510724374703e-09      .","1 x 10","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01392",20,"Vitvi10g01392","",0.815865886191666,0.854708149628895,2.57671033037689,-0.815865886191666,0.737959650622375,8.25593214390919,"1.29329880138584e-11      .","1 x 8"," ",""
"Vitvi16g02000",21,"Vitvi16g02000","",2.06961503814324,1.11826587844759,2.54917524668649,-2.06961503814324,0.652520760778456,6.50120511780414,"1.07325133225089e-08      .","1 x 8"," ",""
"Vitvi16g01485",22,"Vitvi16g01485","Vitvi16g01485",0.821818720753705,1.00500081103501,2.54719206977592,-0.821818720753705,0.78136329399401,9.45262972064195,"1.41886502547095e-13      .","2 x 8","16 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi00g01412",23,"Vitvi00g01412","",1.25240014305397,0.796135482695387,2.52153717640876,-1.11614600380899,0.886411899834844,14.4573376477196,"0      .","2 x 8"," ",""
"Vitvi17g00292",24,"Vitvi17g00292","Vitvi17g00292",1.86251492825164,0.982328777207708,2.49493110979852,-1.86251492825164,0.745269639295873,8.43877164658043,"6.44795328241798e-12      .","1 x 7","17 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00988",25,"Vitvi16g00988","",0.96754476396222,0.881906562898998,2.49293585105585,-0.96754476396222,0.805319184548158,10.2557374903628,"7.32747196252603e-15      .","1 x 9"," ",""
"Vitvi06g00310",26,"Vitvi06g00310","Vitvi06g00310",1.5447553047337,0.777645452923478,2.45683425748742,-1.20277092557334,0.846069977886109,11.9827905131315,"0      .","1 x 9","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01999",27,"Vitvi16g01999","",3.27380637313365,1.34374149875201,2.4543263682568,-2.75368665816888,0.619151755210476,5.95271074243923,"8.59505489003709e-08      .","1 x 9"," ",""
"Vitvi02g01183",28,"Vitvi02g01183","Vitvi02g01183",1.95852739455423,0.949923892272001,2.45178161426489,-1.55763894004474,0.707525461162789,7.55878294301871,"1.86309190297607e-10      .","1 x 8","2 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00854",29,"Vitvi17g00854","Vitvi17g00854",2.14264333275189,1.01595592418559,2.45101572533952,-1.92927256384474,0.815191705305265,10.6261318621158,"1.99840144432528e-15      .","1 x 8","17 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01604",30,"Vitvi06g01604","",1.0596291061753,0.927247019273153,2.42820817986635,-1.0596291061753,0.743460586194028,8.39290411762373,"7.67674812607311e-12      .","2 x 8"," ",""
"Vitvi16g01459",31,"Vitvi16g01459","",0.902596872385929,0.92175538084251,2.42463237887878,-0.902596872385929,0.845617251662158,11.9602720380409,"0      .","1 x 8"," ",""
"Vitvi15g00017",32,"Vitvi15g00017","Vitvi15g00017",1.54924640009897,1.0823483860024,2.38738340027736,-1.54924640009897,0.604362248083374,5.72709880935621,"2.00393989291392e-07      .","1 x 7","15 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi09g01664",33,"Vitvi09g01664","Vitvi09g01664",2.91018550090113,0.85923146040821,2.3606784252171,-2.14370625195473,0.794449018570748,9.87593268778331,"2.96429547574917e-14      .","1 x 8","9 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi10g02242",34,"Vitvi10g02242","",1.70818519356798,0.95532061103975,2.34146604217194,-1.56214632861588,0.843374624431923,11.8500475364304,"0      .","1 x 8"," ",""
"Vitvi00g01679",35,"Vitvi00g01679","",1.70848960736226,0.95530551799712,2.3414180178353,-1.56245074241017,0.843364392683937,11.8495496225908,"0      .","1 x 8"," ",""
"Vitvi16g01458",36,"Vitvi16g01458","",0.960273192130715,0.887740015224403,2.32607307796292,-0.960273192130715,0.793081272917494,9.83003889867684,"3.50830475781549e-14      .","1 x 8"," ",""
"Vitvi19g01824",37,"Vitvi19g01824","Vitvi19g01824",3.48318644027524,1.08662910385454,2.31513918746172,-2.82174562858773,0.489348819931436,4.23638664656603,"4.19249301807367e-05      .","1 x 10","19 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00130",38,"Vitvi07g00130","Vitvi07g00130",0.946448681029079,0.887609280933494,2.31470964930788,-0.946448681029079,0.6398704002047,6.28630250183014,"2.43259112853167e-08      .","1 x 10","7 ","Binding to a magnesium (Mg) ion."
"Vitvi16g02119",39,"Vitvi16g02119","",2.308031261074,1.09895988839938,2.31385463524437,-2.14654521990223,0.713143411894578,7.68042102487636,"1.1684431200365e-10      .","1 x 9"," ",""
"Vitvi00g01732",40,"Vitvi00g01732","",2.30835305723125,1.09889293687437,2.31381248062315,-2.14686701605948,0.713097049842737,7.67940508401594,"1.17300391622166e-10      .","1 x 9"," ",""
"Vitvi16g01484",41,"Vitvi16g01484","",1.00809826174541,0.943125541444799,2.31316101605913,-1.00809826174541,0.757764338541869,8.76742836968214,"1.85518267414864e-12      .","1 x 8"," ",""
"Vitvi16g01465",42,"Vitvi16g01465","",0.764823844527606,0.860191089742301,2.30526886571073,-0.764823844527606,0.816267559147757,10.6681012594242,"1.66533453693773e-15      .","1 x 9"," ",""
"Vitvi19g01964",43,"Vitvi19g01964","",1.25699146522212,0.903476621225646,2.28379965379988,-1.25699146522212,0.809468581643912,10.4082712332483,"4.21884749357559e-15      .","1 x 9"," ",""
"Vitvi16g02002",44,"Vitvi16g02002","",3.21014843595572,0.970579753545971,2.28197602079684,-1.50436321074701,0.792977236815736,9.82656452116376,"3.5527136788005e-14      .","1 x 9"," ",""
"Vitvi10g01391",45,"Vitvi10g01391","",0.647194370052075,0.779826498076563,2.27380896451338,-0.647194370052075,0.776288169966377,9.29735060882652,"2.53241871916998e-13      .","1 x 8"," ",""
