"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00726","Vitvi02g00726","35 x 36","Sangio_warm_r1","Vitvi02g00726","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00409","Vitvi06g00409","13 x 29","Tocai_accfreeze_r3","Vitvi06g00409","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00831","Vitvi06g00831","29 x 6","Chard_freeze_r3","Vitvi06g00831","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00534","Vitvi07g00534","8 x 9","CabFra_freeze_r2","Vitvi07g00534","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01627","Vitvi08g01627","36 x 40","Tocai_acclim_r3","Vitvi08g01627","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00702","Vitvi10g00702","10 x 1","CabFra_freeze_r3","Vitvi10g00702","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00269","Vitvi11g00269","36 x 32","Riesl_acclim_r3","Vitvi11g00269","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00252","Vitvi13g00252","6 x 32","Tocai_accfreeze_r3","Vitvi13g00252","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01865","Vitvi14g01865","35 x 30","Sangio_warm_r3","Vitvi14g01865","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01928","Vitvi14g01928","37 x 38","Tocai_warm_r3","Vitvi14g01928","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00936","Vitvi16g00936","7 x 7","Sangio_freeze_r3","Vitvi16g00936","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01148","Vitvi18g01148","38 x 38","CabFra_warm_r1","Vitvi18g01148","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
