"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00534","Vitvi02g00534","13 x 13","Sangio_freeze_r1","Vitvi02g00534","The hydrolysis of an incorrectly aminoacylated tRNA."
"Vitvi03g00609","Vitvi03g00609","20 x 5","Sangio_freeze_r1","Vitvi03g00609","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi03g00782","Vitvi03g00782","25 x 23","Riesl_acclim_r3","Vitvi03g00782","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00783","Vitvi03g00783","1 x 1","Riesl_freeze_r2","Vitvi03g00783","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00328","Vitvi04g00328","3 x 12","CabFra_freeze_r3","Vitvi04g00328","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00367","Vitvi04g00367","40 x 37","CabFra_warm_r2","Vitvi04g00367","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00537","Vitvi04g00537","37 x 17","CabFra_warm_r2","Vitvi04g00537","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g02185","Vitvi04g02185","11 x 30","Chard_accfreeze_r1","Vitvi04g02185","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi05g00383","Vitvi05g00383","29 x 17","Sangio_accfreeze_r1","Vitvi05g00383","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi05g01360","Vitvi05g01360","15 x 22","Chard_acclim_r2","Vitvi05g01360","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi07g00383","Vitvi07g00383","33 x 1","Riesl_acclim_r1","Vitvi07g00383","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00529","Vitvi07g00529","15 x 32","Sangio_accfreeze_r1","Vitvi07g00529","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01624","Vitvi07g01624","36 x 1","Chard_freeze_r3","Vitvi07g01624","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi07g01783","Vitvi07g01783","33 x 23","CabFra_warm_r2","Vitvi07g01783","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi08g00824","Vitvi08g00824","14 x 40","Riesl_acclim_r1","Vitvi08g00824","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi08g01672","Vitvi08g01672","25 x 25","Tocai_accfreeze_r1","Vitvi08g01672","The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins."
"Vitvi09g00019","Vitvi09g00019","1 x 24","Sangio_accfreeze_r1","Vitvi09g00019","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi09g00444","Vitvi09g00444","5 x 9","CabFra_freeze_r3","Vitvi09g00444","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi10g00835","Vitvi10g00835","3 x 12","Sangio_freeze_r3","Vitvi10g00835","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g00252","Vitvi11g00252","34 x 13","Sangio_warm_r3","Vitvi11g00252","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g00318","Vitvi11g00318","27 x 1","Riesl_freeze_r2","Vitvi11g00318","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi12g00158","Vitvi12g00158","9 x 7","Sangio_freeze_r1","Vitvi12g00158","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi14g03047","Vitvi14g03047","23 x 3","Chard_freeze_r3","Vitvi14g03047","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi14g01283","Vitvi14g01283","2 x 5","CabFra_freeze_r2","Vitvi14g01283","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi15g00694","Vitvi15g00694","11 x 9","CabFra_freeze_r3","Vitvi15g00694","Binding to a metal ion."
"Vitvi15g01088","Vitvi15g01088","24 x 40","Chard_acclim_r2","Vitvi15g01088","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi16g00652","Vitvi16g00652","28 x 23","Riesl_acclim_r3","Vitvi16g00652","Binding to GTP, guanosine triphosphate."
"Vitvi16g01056","Vitvi16g01056","24 x 10","Chard_freeze_r2","Vitvi16g01056","Binding to an iron (Fe) ion."
"Vitvi16g01087","Vitvi16g01087","34 x 19","CabFra_warm_r3","Vitvi16g01087","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g01127","Vitvi16g01127","4 x 8","Sangio_freeze_r1","Vitvi16g01127","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g01561","Vitvi16g01561","7 x 6","CabFra_freeze_r3","Vitvi16g01561","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi17g00138","Vitvi17g00138","36 x 21","CabFra_warm_r2","Vitvi17g00138","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00555","Vitvi17g00555","4 x 25","Chard_freeze_r2","Vitvi17g00555","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi18g00172","Vitvi18g00172","12 x 33","Tocai_accfreeze_r1","Vitvi18g00172","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi18g00362","Vitvi18g00362","6 x 9","Sangio_freeze_r3","Vitvi18g00362","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g00523","Vitvi18g00523","22 x 38","Sangio_accfreeze_r2","Vitvi18g00523","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g00986","Vitvi18g00986","33 x 27","CabFra_warm_r2","Vitvi18g00986","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi19g00003","Vitvi19g00003","18 x 26","Chard_warm_r1","Vitvi19g00003","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
