"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00187","Vitvi02g00187","23 x 4","Tocai_warm_r1","Vitvi02g00187","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00845","Vitvi03g00845","15 x 7","Riesl_freeze_r2","Vitvi03g00845","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01524","Vitvi07g01524","27 x 15","CabFra_warm_r2","Vitvi07g01524","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00486","Vitvi05g00486","13 x 6","CabFra_freeze_r1","Vitvi05g00486","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00443","Vitvi06g00443","2 x 1","Riesl_freeze_r1","Vitvi06g00443","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g01693","Vitvi06g01693","40 x 1","Riesl_freeze_r1","Vitvi06g01693","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g02189","Vitvi08g02189","38 x 1","Riesl_freeze_r1","Vitvi08g02189","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00392","Vitvi09g00392","29 x 15","Riesl_freeze_r1","Vitvi09g00392","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00724","Vitvi11g00724","1 x 1","Riesl_freeze_r2","Vitvi11g00724","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00300","Vitvi13g00300","8 x 7","Sangio_freeze_r1","Vitvi13g00300","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00185","Vitvi14g00185","10 x 5","Chard_freeze_r2","Vitvi14g00185","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi16g01391","Vitvi16g01391","22 x 2","Sangio_freeze_r3","Vitvi16g01391","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi17g00287","Vitvi17g00287","31 x 27","CabFra_warm_r2","Vitvi17g00287","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g02066","Vitvi18g02066","1 x 26","Riesl_freeze_r2","Vitvi18g02066","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi19g00490","Vitvi19g00490","24 x 25","Riesl_acclim_r3","Vitvi19g00490","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
