"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01640","Vitvi01g01640","37 x 38","Chard_warm_r3","Vitvi01g01640",""
"Vitvi02g00160","Vitvi02g00160","12 x 1","Tocai_freeze_r3","Vitvi02g00160","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi02g00241","Vitvi02g00241","37 x 25","Tocai_warm_r3","Vitvi02g00241",""
"Vitvi06g00690","Vitvi06g00690","33 x 27","Tocai_warm_r3","Vitvi06g00690","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi08g00068","Vitvi08g00068","14 x 33","Chard_acclim_r3","Vitvi08g00068",""
"Vitvi08g00261","Vitvi08g00261","37 x 29","Tocai_freeze_r1","Vitvi08g00261",""
"Vitvi08g01451","Vitvi08g01451","39 x 25","Tocai_warm_r3","Vitvi08g01451","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi08g01668","Vitvi08g01668","33 x 36","Chard_warm_r1","Vitvi08g01668","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi12g00473","Vitvi12g00473","29 x 39","Tocai_acclim_r3","Vitvi12g00473",""
"Vitvi13g00097","Vitvi13g00097","8 x 9","CabFra_freeze_r3","Vitvi13g00097",""
"Vitvi13g01048","Vitvi13g01048","39 x 25","Tocai_warm_r3","Vitvi13g01048","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi13g01462","Vitvi13g01462","1 x 16","CabFra_freeze_r1","Vitvi13g01462","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi15g00542","Vitvi15g00542","32 x 31","Riesl_warm_r2","Vitvi15g00542",""
"Vitvi15g00544","Vitvi15g00544","17 x 9","Chard_freeze_r2","Vitvi15g00544",""
