"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01559","Vitvi01g01559","40 x 23","CabFra_warm_r3","Vitvi01g01559","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01799","Vitvi01g01799","40 x 40","Tocai_warm_r3","Vitvi01g01799","Binding to a metal ion."
"Vitvi01g01876","Vitvi01g01876","35 x 22","CabFra_warm_r3","Vitvi01g01876","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"Vitvi02g00120","Vitvi02g00120","38 x 26","CabFra_warm_r3","Vitvi02g00120","The synthesis of a short RNA polymer, usually 4-15 nucleotides long, using one strand of unwound DNA as a template; the RNA then serves as a primer from which DNA polymerases extend synthesis."
"Vitvi02g00383","Vitvi02g00383","31 x 21","Tocai_warm_r3","Vitvi02g00383","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00711","Vitvi02g00711","20 x 11","CabFra_acclim_r2","Vitvi02g00711","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g01098","Vitvi02g01098","28 x 26","CabFra_warm_r3","Vitvi02g01098","The region of a mitochondrion to which the DNA is confined."
"Vitvi02g01153","Vitvi02g01153","24 x 16","CabFra_warm_r3","Vitvi02g01153","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00023","Vitvi03g00023","40 x 27","CabFra_warm_r2","Vitvi03g00023","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00223","Vitvi04g00223","40 x 26","Tocai_warm_r3","Vitvi04g00223","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00280","Vitvi04g00280","30 x 9","Sangio_warm_r3","Vitvi04g00280","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"Vitvi07g01061","Vitvi07g01061","40 x 26","CabFra_warm_r2","Vitvi07g01061","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g02109","Vitvi04g02109","34 x 9","Sangio_warm_r3","Vitvi04g02109","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi05g00990","Vitvi05g00990","37 x 26","CabFra_warm_r2","Vitvi05g00990","The synthesis of a short RNA polymer, usually 4-15 nucleotides long, using one strand of unwound DNA as a template; the RNA then serves as a primer from which DNA polymerases extend synthesis."
"Vitvi06g00576","Vitvi06g00576","40 x 25","Tocai_warm_r3","Vitvi06g00576","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01147","Vitvi06g01147","12 x 31","Tocai_accfreeze_r2","Vitvi06g01147","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01341","Vitvi06g01341","7 x 37","Tocai_accfreeze_r3","Vitvi06g01341","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01435","Vitvi06g01435","26 x 40","CabFra_warm_r2","Vitvi06g01435","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01492","Vitvi06g01492","5 x 38","Chard_acclim_r3","Vitvi06g01492","Binding to a nonidentical protein to form a heterodimer."
"Vitvi07g00411","Vitvi07g00411","40 x 27","CabFra_warm_r2","Vitvi07g00411","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01731","Vitvi07g01731","40 x 27","Tocai_warm_r3","Vitvi07g01731","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g00160","Vitvi08g00160","28 x 25","Tocai_warm_r3","Vitvi08g00160","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01737","Vitvi08g01737","32 x 24","CabFra_warm_r3","Vitvi08g01737","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi10g00754","Vitvi10g00754","40 x 27","CabFra_warm_r2","Vitvi10g00754","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00104","Vitvi11g00104","6 x 24","Riesl_freeze_r3","Vitvi11g00104","Binding to a metal ion."
"Vitvi11g00619","Vitvi11g00619","40 x 27","CabFra_warm_r3","Vitvi11g00619","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g01232","Vitvi11g01232","14 x 31","Sangio_accfreeze_r1","Vitvi11g01232","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00917","Vitvi13g00917","40 x 25","Tocai_warm_r3","Vitvi13g00917","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00975","Vitvi13g00975","4 x 40","Sangio_accfreeze_r2","Vitvi13g00975","Binding to a nucleic acid."
"Vitvi15g00419","Vitvi15g00419","30 x 26","Tocai_warm_r3","Vitvi15g00419","Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
"Vitvi16g00035","Vitvi16g00035","36 x 22","Tocai_warm_r3","Vitvi16g00035","The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."
"Vitvi17g00445","Vitvi17g00445","40 x 27","CabFra_warm_r2","Vitvi17g00445","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi18g00240","Vitvi18g00240","25 x 22","Riesl_accfreeze_r3","Vitvi18g00240","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00252","Vitvi18g00252","23 x 19","Sangio_accfreeze_r1","Vitvi18g00252","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00069","Vitvi19g00069","28 x 37","CabFra_warm_r2","Vitvi19g00069","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi19g00074","Vitvi19g00074","22 x 15","Tocai_warm_r3","Vitvi19g00074","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
