"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi06g00443","Vitvi06g00443","2 x 1","Riesl_freeze_r1","Vitvi06g00443","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g01562","Vitvi06g01562","1 x 18","Riesl_freeze_r2","Vitvi06g01562","Binding to a metal ion."
"Vitvi06g01693","Vitvi06g01693","40 x 1","Riesl_freeze_r1","Vitvi06g01693","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00173","Vitvi07g00173","16 x 35","Chard_acclim_r2","Vitvi07g00173","Binding to a calcium ion (Ca2+)."
"Vitvi08g02189","Vitvi08g02189","38 x 1","Riesl_freeze_r1","Vitvi08g02189","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g00724","Vitvi11g00724","1 x 1","Riesl_freeze_r2","Vitvi11g00724","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00300","Vitvi13g00300","8 x 7","Sangio_freeze_r1","Vitvi13g00300","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g01052","Vitvi13g01052","15 x 24","Riesl_freeze_r1","Vitvi13g01052","Binding to a metal ion."
"Vitvi14g00251","Vitvi14g00251","25 x 27","CabFra_warm_r2","Vitvi14g00251","Binding to a calcium ion (Ca2+)."
"Vitvi15g00600","Vitvi15g00600","8 x 31","CabFra_accfreeze_r2","Vitvi15g00600","Binding to a metal ion."
"Vitvi17g00287","Vitvi17g00287","31 x 27","CabFra_warm_r2","Vitvi17g00287","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g02066","Vitvi18g02066","1 x 26","Riesl_freeze_r2","Vitvi18g02066","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
