"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00214","Vitvi01g00214","12 x 1","Chard_freeze_r2","Vitvi01g00214","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00360","Vitvi01g00360","24 x 2","CabFra_freeze_r2","Vitvi01g00360","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00385","Vitvi01g00385","26 x 1","Riesl_freeze_r1","Vitvi01g00385","The branch of the pentose-phosphate shunt which does not involve oxidation reactions. It comprises a series of sugar phosphate interconversions, starting with ribulose 5-P and producing fructose 6-P and glyceraldehyde 3-P."
"Vitvi01g00662","Vitvi01g00662","16 x 40","Sangio_acclim_r3","Vitvi01g00662","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi02g00684","Vitvi02g00684","15 x 38","Chard_accfreeze_r3","Vitvi02g00684","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00915","Vitvi02g00915","36 x 6","Chard_freeze_r2","Vitvi02g00915","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00048","Vitvi03g00048","36 x 7","Tocai_freeze_r3","Vitvi03g00048","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00097","Vitvi03g00097","29 x 34","Sangio_warm_r1","Vitvi03g00097","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00723","Vitvi03g00723","40 x 24","CabFra_warm_r3","Vitvi03g00723","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00785","Vitvi03g00785","39 x 7","Chard_freeze_r2","Vitvi03g00785","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00009","Vitvi04g00009","32 x 33","Tocai_acclim_r3","Vitvi04g00009","Binding to a metal ion."
"Vitvi04g00328","Vitvi04g00328","3 x 12","CabFra_freeze_r3","Vitvi04g00328","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00367","Vitvi04g00367","40 x 37","CabFra_warm_r2","Vitvi04g00367","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00537","Vitvi04g00537","37 x 17","CabFra_warm_r2","Vitvi04g00537","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi07g00062","Vitvi07g00062","36 x 24","CabFra_warm_r2","Vitvi07g00062","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00962","Vitvi04g00962","13 x 7","Chard_freeze_r2","Vitvi04g00962","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01421","Vitvi04g01421","17 x 40","Chard_freeze_r3","Vitvi04g01421","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g02037","Vitvi04g02037","38 x 16","CabFra_warm_r3","Vitvi04g02037","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00612","Vitvi05g00612","31 x 20","CabFra_warm_r3","Vitvi05g00612","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00736","Vitvi05g00736","10 x 1","Riesl_freeze_r3","Vitvi05g00736","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00021","Vitvi06g00021","12 x 9","CabFra_freeze_r2","Vitvi06g00021","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00337","Vitvi06g00337","27 x 40","CabFra_warm_r2","Vitvi06g00337","The branch of the pentose-phosphate shunt which does not involve oxidation reactions. It comprises a series of sugar phosphate interconversions, starting with ribulose 5-P and producing fructose 6-P and glyceraldehyde 3-P."
