"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00067","Vitvi01g00067","7 x 1","CabFra_freeze_r3","Vitvi01g00067","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00280","Vitvi01g00280","40 x 39","CabFra_warm_r2","Vitvi01g00280","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00468","Vitvi01g00468","36 x 23","CabFra_warm_r2","Vitvi01g00468","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00932","Vitvi01g00932","1 x 40","Tocai_accfreeze_r2","Vitvi01g00932","Binding to a calcium ion (Ca2+)."
"Vitvi01g01169","Vitvi01g01169","40 x 38","Chard_warm_r3","Vitvi01g01169","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g01378","Vitvi01g01378","32 x 23","CabFra_warm_r2","Vitvi01g01378","In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."
"Vitvi01g01618","Vitvi01g01618","20 x 25","Tocai_acclim_r2","Vitvi01g01618","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00052","Vitvi02g00052","13 x 1","Riesl_freeze_r3","Vitvi02g00052","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi02g00125","Vitvi02g00125","40 x 35","Riesl_warm_r2","Vitvi02g00125","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi02g00184","Vitvi02g00184","37 x 1","Chard_warm_r3","Vitvi02g00184","Catalysis of the reaction: (1,4-alpha-D-glucosyl)(n+1) + H2O = (1,4-alpha-D-glucosyl)(n-1) + alpha-maltose. This reaction is the hydrolysis of 1,4-alpha-glucosidic linkages in polysaccharides so as to remove successive maltose units from the non-reducing ends of the chains."
"Vitvi02g00191","Vitvi02g00191","19 x 10","CabFra_freeze_r3","Vitvi02g00191","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi02g00512","Vitvi02g00512","6 x 9","Sangio_freeze_r1","Vitvi02g00512","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi02g00605","Vitvi02g00605","1 x 2","CabFra_freeze_r2","Vitvi02g00605","Catalysis of the reaction: n H2O + an exposed unphosphorylated, unbranched malto-oligosaccharide tail on amylopectin <=> amylopectin + maltose."
"Vitvi02g01232","Vitvi02g01232","20 x 21","CabFra_freeze_r3","Vitvi02g01232","Catalysis of the reaction: (1,4-alpha-D-glucosyl)(n+1) + H2O = (1,4-alpha-D-glucosyl)(n-1) + alpha-maltose. This reaction is the hydrolysis of 1,4-alpha-glucosidic linkages in polysaccharides so as to remove successive maltose units from the non-reducing ends of the chains."
"Vitvi03g00044","Vitvi03g00044","25 x 32","Tocai_acclim_r3","Vitvi03g00044","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g00085","Vitvi03g00085","7 x 17","Tocai_accfreeze_r2","Vitvi03g00085","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi03g00206","Vitvi03g00206","8 x 7","Tocai_freeze_r2","Vitvi03g00206","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g00208","Vitvi03g00208","40 x 24","Tocai_warm_r3","Vitvi03g00208","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
