"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00183","Vitvi01g00183","23 x 35","Riesl_acclim_r1","Vitvi01g00183","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00800","Vitvi01g00800","19 x 30","Tocai_accfreeze_r3","Vitvi01g00800","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g01774","Vitvi01g01774","9 x 40","Sangio_accfreeze_r1","Vitvi01g01774","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00210","Vitvi03g00210","32 x 7","Chard_freeze_r2","Vitvi03g00210","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00529","Vitvi07g00529","15 x 32","Sangio_accfreeze_r1","Vitvi07g00529","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi12g00647","Vitvi12g00647","36 x 11","Chard_freeze_r1","Vitvi12g00647","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00255","Vitvi14g00255","26 x 26","Sangio_acclim_r2","Vitvi14g00255","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g00069","Vitvi16g00069","10 x 20","Sangio_acclim_r3","Vitvi16g00069","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g01087","Vitvi16g01087","34 x 19","CabFra_warm_r3","Vitvi16g01087","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi17g00022","Vitvi17g00022","1 x 40","Chard_accfreeze_r3","Vitvi17g00022","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi19g00676","Vitvi19g00676","29 x 1","Riesl_freeze_r1","Vitvi19g00676","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
