"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00024","Vitvi01g00024","37 x 12","Sangio_warm_r1","Vitvi01g00024","Binding to a metal ion."
"Vitvi01g01031","Vitvi01g01031","17 x 7","Tocai_freeze_r2","Vitvi01g01031","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00900","Vitvi03g00900","28 x 3","Tocai_freeze_r3","Vitvi03g00900","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01092","Vitvi03g01092","1 x 19","Sangio_accfreeze_r1","Vitvi03g01092","The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"Vitvi04g00325","Vitvi04g00325","10 x 9","Sangio_freeze_r2","Vitvi04g00325","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi17g00005","Vitvi17g00005","25 x 11","Sangio_freeze_r1","Vitvi17g00005","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi05g01623","Vitvi05g01623","10 x 4","Sangio_freeze_r3","Vitvi05g01623","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00407","Vitvi06g00407","1 x 17","Chard_freeze_r2","Vitvi06g00407","Binding to a metal ion."
"Vitvi06g01004","Vitvi06g01004","26 x 21","Tocai_acclim_r1","Vitvi06g01004","Binding to a metal ion."
"Vitvi06g01850","Vitvi06g01850","18 x 11","CabFra_freeze_r1","Vitvi06g01850","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g01852","Vitvi06g01852","9 x 14","Sangio_accfreeze_r1","Vitvi06g01852","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01482","Vitvi07g01482","34 x 8","Sangio_warm_r1","Vitvi07g01482","The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"Vitvi10g00726","Vitvi10g00726","1 x 21","Sangio_accfreeze_r1","Vitvi10g00726","The chemical reactions and pathways resulting in the formation of tetrahydrobiopterin, the reduced form of biopterin (2-amino-4-hydroxy-6-(1,2-dihydroxypropyl)-pteridine). It functions as a hydroxylation coenzyme, e.g. in the conversion of phenylalanine to tyrosine."
"Vitvi13g00359","Vitvi13g00359","24 x 30","Sangio_acclim_r2","Vitvi13g00359","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi13g00594","Vitvi13g00594","10 x 22","Tocai_acclim_r1","Vitvi13g00594","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi13g01833","Vitvi13g01833","8 x 19","Sangio_freeze_r3","Vitvi13g01833","Binding to a metal ion."
"Vitvi15g00951","Vitvi15g00951","4 x 22","Sangio_accfreeze_r1","Vitvi15g00951","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi16g00278","Vitvi16g00278","30 x 30","CabFra_warm_r3","Vitvi16g00278","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01211","Vitvi16g01211","40 x 13","Riesl_warm_r1","Vitvi16g01211","Binding to a metal ion."
"Vitvi18g00996","Vitvi18g00996","23 x 11","Sangio_freeze_r2","Vitvi18g00996","The chemical reactions and pathways involving the transfer of one-carbon units in various oxidation states."
"Vitvi18g02470","Vitvi18g02470","2 x 28","Riesl_warm_r1","Vitvi18g02470","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g00073","Vitvi19g00073","24 x 8","Sangio_freeze_r2","Vitvi19g00073","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi19g00185","Vitvi19g00185","1 x 37","Tocai_accfreeze_r3","Vitvi19g00185","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi19g01585","Vitvi19g01585","15 x 6","CabFra_freeze_r1","Vitvi19g01585","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
