"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00665","Vitvi03g00665","35 x 16","CabFra_warm_r1","Vitvi03g00665","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi04g00669","Vitvi04g00669","24 x 40","CabFra_acclim_r1","Vitvi04g00669","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi07g01234","Vitvi07g01234","12 x 14","CabFra_freeze_r1","Vitvi07g01234","Binding to GTP, guanosine triphosphate."
"Vitvi07g01577","Vitvi07g01577","26 x 29","Tocai_warm_r1","Vitvi07g01577","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi04g01297","Vitvi04g01297","10 x 35","Riesl_accfreeze_r3","Vitvi04g01297","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00097","Vitvi05g00097","30 x 16","Tocai_warm_r1","Vitvi05g00097","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi05g00611","Vitvi05g00611","9 x 37","Chard_acclim_r2","Vitvi05g00611","Binding to GTP, guanosine triphosphate."
"Vitvi07g00402","Vitvi07g00402","16 x 18","CabFra_freeze_r3","Vitvi07g00402","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi07g00464","Vitvi07g00464","32 x 29","Tocai_warm_r1","Vitvi07g00464","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi07g01682","Vitvi07g01682","10 x 1","Sangio_freeze_r3","Vitvi07g01682","Binding to GTP, guanosine triphosphate."
"Vitvi11g01301","Vitvi11g01301","25 x 10","Sangio_freeze_r3","Vitvi11g01301","Binding to GTP, guanosine triphosphate."
"Vitvi14g00901","Vitvi14g00901","21 x 27","CabFra_freeze_r3","Vitvi14g00901","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi14g01748","Vitvi14g01748","1 x 13","CabFra_freeze_r2","Vitvi14g01748","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi16g01539","Vitvi16g01539","25 x 6","CabFra_freeze_r3","Vitvi16g01539","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
