"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g01492","Vitvi02g01492","27 x 16","Sangio_freeze_r3","Vitvi02g01492","Binding to GTP, guanosine triphosphate."
"Vitvi03g00348","Vitvi03g00348","21 x 23","Tocai_warm_r2","Vitvi03g00348","Binding to GTP, guanosine triphosphate."
"Vitvi05g01318","Vitvi05g01318","28 x 38","Riesl_acclim_r3","Vitvi05g01318","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi06g00420","Vitvi06g00420","19 x 7","Sangio_freeze_r2","Vitvi06g00420","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi06g00542","Vitvi06g00542","26 x 5","CabFra_freeze_r1","Vitvi06g00542","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi07g01504","Vitvi07g01504","36 x 15","Chard_warm_r2","Vitvi07g01504","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi07g01848","Vitvi07g01848","14 x 1","Sangio_freeze_r1","Vitvi07g01848","Binding to GTP, guanosine triphosphate."
"Vitvi08g01082","Vitvi08g01082","27 x 30","Tocai_warm_r2","Vitvi08g01082","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi08g01596","Vitvi08g01596","36 x 13","Tocai_freeze_r1","Vitvi08g01596","Binding to GTP, guanosine triphosphate."
"Vitvi08g01597","Vitvi08g01597","1 x 34","Tocai_accfreeze_r2","Vitvi08g01597","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi09g00348","Vitvi09g00348","17 x 19","Riesl_accfreeze_r1","Vitvi09g00348","Binding to GTP, guanosine triphosphate."
"Vitvi09g00387","Vitvi09g00387","4 x 33","CabFra_accfreeze_r3","Vitvi09g00387","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi10g00619","Vitvi10g00619","31 x 21","CabFra_warm_r2","Vitvi10g00619","Binding to GTP, guanosine triphosphate."
"Vitvi10g01781","Vitvi10g01781","8 x 37","Tocai_accfreeze_r1","Vitvi10g01781","Binding to GTP, guanosine triphosphate."
"Vitvi12g00233","Vitvi12g00233","40 x 30","Tocai_warm_r2","Vitvi12g00233","Binding to GTP, guanosine triphosphate."
"Vitvi12g00519","Vitvi12g00519","14 x 1","Chard_freeze_r3","Vitvi12g00519","Binding to GTP, guanosine triphosphate."
"Vitvi12g00769","Vitvi12g00769","4 x 32","Chard_acclim_r3","Vitvi12g00769","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi12g02056","Vitvi12g02056","24 x 6","Riesl_freeze_r2","Vitvi12g02056","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi12g02057","Vitvi12g02057","40 x 5","Tocai_freeze_r1","Vitvi12g02057","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi13g00266","Vitvi13g00266","11 x 33","Riesl_acclim_r3","Vitvi13g00266","Binding to GTP, guanosine triphosphate."
"Vitvi13g01765","Vitvi13g01765","1 x 19","Tocai_accfreeze_r2","Vitvi13g01765","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi13g02070","Vitvi13g02070","1 x 23","Sangio_accfreeze_r2","Vitvi13g02070","Binding to GTP, guanosine triphosphate."
"Vitvi14g01658","Vitvi14g01658","19 x 7","Tocai_freeze_r2","Vitvi14g01658","Binding to GTP, guanosine triphosphate."
"Vitvi15g00477","Vitvi15g00477","25 x 18","CabFra_warm_r2","Vitvi15g00477","Binding to GTP, guanosine triphosphate."
