"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00635","Vitvi01g00635","37 x 36","Riesl_acclim_r3","Vitvi01g00635","Catalysis of the hydrolysis of any ester bond."
"Vitvi03g00009","Vitvi03g00009","40 x 38","CabFra_warm_r3","Vitvi03g00009","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi04g01389","Vitvi04g01389","39 x 40","Sangio_warm_r3","Vitvi04g01389","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi05g01135","Vitvi05g01135","6 x 21","CabFra_freeze_r2","Vitvi05g01135","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi06g00300","Vitvi06g00300","40 x 7","Chard_warm_r1","Vitvi06g00300","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi06g01323","Vitvi06g01323","4 x 36","CabFra_accfreeze_r3","Vitvi06g01323","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g00468","Vitvi07g00468","10 x 20","Sangio_accfreeze_r1","Vitvi07g00468","Catalysis of the hydrolysis of any ester bond."
"Vitvi07g01916","Vitvi07g01916","40 x 39","Tocai_acclim_r3","Vitvi07g01916","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi09g00177","Vitvi09g00177","15 x 26","Tocai_accfreeze_r2","Vitvi09g00177","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi09g00190","Vitvi09g00190","24 x 37","Sangio_acclim_r1","Vitvi09g00190","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01693","Vitvi09g01693","6 x 8","Sangio_freeze_r3","Vitvi09g01693",""
"Vitvi11g00178","Vitvi11g00178","8 x 11","Riesl_freeze_r3","Vitvi11g00178","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi11g01055","Vitvi11g01055","40 x 19","CabFra_warm_r2","Vitvi11g01055","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00245","Vitvi13g00245","25 x 9","Sangio_accfreeze_r1","Vitvi13g00245","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi13g01417","Vitvi13g01417","27 x 2","CabFra_freeze_r3","Vitvi13g01417","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi13g01670","Vitvi13g01670","20 x 40","Sangio_accfreeze_r2","Vitvi13g01670","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi14g00996","Vitvi14g00996","34 x 40","Sangio_acclim_r3","Vitvi14g00996","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g01465","Vitvi14g01465","20 x 33","Tocai_accfreeze_r2","Vitvi14g01465","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g01664","Vitvi14g01664","6 x 40","Tocai_acclim_r3","Vitvi14g01664","Catalysis of the hydrolysis of any ester bond."
"Vitvi14g01675","Vitvi14g01675","20 x 17","CabFra_accfreeze_r2","Vitvi14g01675","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g02557","Vitvi14g02557","21 x 1","CabFra_freeze_r3","Vitvi14g02557","Catalysis of the hydrolysis of any ester bond."
"Vitvi14g02897","Vitvi14g02897","11 x 20","Sangio_accfreeze_r3","Vitvi14g02897","The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
"Vitvi15g01028","Vitvi15g01028","40 x 34","CabFra_warm_r1","Vitvi15g01028","Catalysis of the hydrolysis of any ester bond."
"Vitvi16g00875","Vitvi16g00875","40 x 38","Riesl_warm_r2","Vitvi16g00875","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi16g01698","Vitvi16g01698","18 x 15","Sangio_freeze_r3","Vitvi16g01698","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
