"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00822","Vitvi01g00822","40 x 3","Riesl_warm_r2","Vitvi01g00822","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00533","Vitvi03g00533","10 x 1","Sangio_freeze_r1","Vitvi03g00533","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00557","Vitvi03g00557","23 x 1","Tocai_warm_r1","Vitvi03g00557","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00566","Vitvi03g00566","9 x 7","Sangio_freeze_r3","Vitvi03g00566","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00568","Vitvi03g00568","38 x 22","Tocai_warm_r1","Vitvi03g00568","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00569","Vitvi03g00569","40 x 36","Tocai_warm_r1","Vitvi03g00569","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi04g01113","Vitvi04g01113","16 x 1","Sangio_freeze_r1","Vitvi04g01113","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi04g01233","Vitvi04g01233","9 x 1","Chard_freeze_r2","Vitvi04g01233","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi05g01642","Vitvi05g01642","40 x 21","Tocai_warm_r3","Vitvi05g01642","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi06g01097","Vitvi06g01097","32 x 1","Chard_acclim_r2","Vitvi06g01097","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi06g01100","Vitvi06g01100","1 x 29","Chard_acclim_r1","Vitvi06g01100","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi07g00792","Vitvi07g00792","21 x 37","Tocai_acclim_r1","Vitvi07g00792","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g02447","Vitvi07g02447","30 x 4","Chard_warm_r3","Vitvi07g02447","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi08g01006","Vitvi08g01006","3 x 4","Sangio_freeze_r1","Vitvi08g01006","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi08g01581","Vitvi08g01581","12 x 40","CabFra_accfreeze_r3","Vitvi08g01581","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi08g01582","Vitvi08g01582","3 x 37","Chard_acclim_r1","Vitvi08g01582","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi11g01287","Vitvi11g01287","7 x 2","Sangio_freeze_r1","Vitvi11g01287","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi11g01290","Vitvi11g01290","38 x 32","CabFra_warm_r3","Vitvi11g01290","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi11g01294","Vitvi11g01294","10 x 1","Chard_freeze_r3","Vitvi11g01294","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi14g00608","Vitvi14g00608","20 x 23","CabFra_freeze_r3","Vitvi14g00608","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01008","Vitvi15g01008","35 x 33","Chard_warm_r1","Vitvi15g01008","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi15g01623","Vitvi15g01623","4 x 18","Chard_accfreeze_r2","Vitvi15g01623","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi16g00156","Vitvi16g00156","40 x 22","CabFra_freeze_r2","Vitvi16g00156","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi16g00849","Vitvi16g00849","40 x 40","Tocai_acclim_r3","Vitvi16g00849","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi17g00753","Vitvi17g00753","1 x 4","Chard_freeze_r2","Vitvi17g00753","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi18g01632","Vitvi18g01632","31 x 9","CabFra_freeze_r1","Vitvi18g01632","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
