"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00478","Vitvi01g00478","4 x 29","Tocai_accfreeze_r1","Vitvi01g00478","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00562","Vitvi01g00562","5 x 40","Tocai_acclim_r2","Vitvi01g00562","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00979","Vitvi01g00979","26 x 1","CabFra_freeze_r1","Vitvi01g00979","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01499","Vitvi01g01499","5 x 23","Tocai_accfreeze_r2","Vitvi01g01499","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00048","Vitvi02g00048","17 x 3","CabFra_freeze_r2","Vitvi02g00048","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00119","Vitvi02g00119","19 x 39","Riesl_warm_r2","Vitvi02g00119","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00695","Vitvi02g00695","33 x 25","CabFra_warm_r2","Vitvi02g00695","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g01182","Vitvi02g01182","1 x 6","Sangio_freeze_r3","Vitvi02g01182","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01269","Vitvi02g01269","1 x 2","CabFra_freeze_r1","Vitvi02g01269","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi02g01286","Vitvi02g01286","3 x 17","Riesl_freeze_r3","Vitvi02g01286","Binding to a metal ion."
"Vitvi02g01288","Vitvi02g01288","2 x 1","CabFra_freeze_r3","Vitvi02g01288","Binding to a metal ion."
"Vitvi03g00079","Vitvi03g00079","4 x 11","Sangio_freeze_r3","Vitvi03g00079","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00167","Vitvi03g00167","18 x 20","Tocai_accfreeze_r2","Vitvi03g00167","Binding to a cation, a charged atom or group of atoms with a net positive charge."
"Vitvi03g00249","Vitvi03g00249","22 x 5","Chard_accfreeze_r1","Vitvi03g00249","Binding to a calcium ion (Ca2+)."
"Vitvi03g00452","Vitvi03g00452","4 x 37","Tocai_accfreeze_r2","Vitvi03g00452","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00508","Vitvi03g00508","6 x 12","Tocai_accfreeze_r2","Vitvi03g00508","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi03g01512","Vitvi03g01512","1 x 23","CabFra_accfreeze_r3","Vitvi03g01512","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01574","Vitvi03g01574","13 x 2","Riesl_warm_r1","Vitvi03g01574","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g01704","Vitvi03g01704","10 x 4","Sangio_freeze_r3","Vitvi03g01704","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01723","Vitvi03g01723","28 x 1","Riesl_freeze_r2","Vitvi03g01723","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01727","Vitvi03g01727","38 x 1","Tocai_freeze_r1","Vitvi03g01727","Binding to a zinc ion (Zn)."
"Vitvi04g00075","Vitvi04g00075","15 x 1","Sangio_freeze_r1","Vitvi04g00075","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi04g00127","Vitvi04g00127","16 x 38","Chard_acclim_r1","Vitvi04g00127","Binding to a metal ion."
"Vitvi04g00176","Vitvi04g00176","22 x 24","Riesl_warm_r1","Vitvi04g00176","Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate."
