"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01701","Vitvi01g01701","10 x 1","Sangio_freeze_r2","Vitvi01g01701","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g01703","Vitvi01g01703","3 x 5","Tocai_accfreeze_r2","Vitvi01g01703","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00750","Vitvi02g00750","16 x 1","CabFra_freeze_r3","Vitvi02g00750","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g00601","Vitvi03g00601","12 x 17","Chard_warm_r3","Vitvi03g00601",""
"Vitvi08g01216","Vitvi08g01216","26 x 35","Chard_acclim_r3","Vitvi08g01216","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi10g00755","Vitvi10g00755","40 x 4","Chard_freeze_r2","Vitvi10g00755","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g00066","Vitvi14g00066","38 x 8","Chard_freeze_r2","Vitvi14g00066","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi15g01191","Vitvi15g01191","31 x 29","CabFra_warm_r2","Vitvi15g01191","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi17g00084","Vitvi17g00084","9 x 1","Riesl_freeze_r3","Vitvi17g00084","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00048","Vitvi18g00048","39 x 18","Sangio_warm_r2","Vitvi18g00048","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00688","Vitvi18g00688","11 x 10","Sangio_freeze_r1","Vitvi18g00688","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
