"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00340","Vitvi01g00340","39 x 8","Chard_warm_r3","Vitvi01g00340","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01346","Vitvi01g01346","23 x 25","CabFra_freeze_r3","Vitvi01g01346","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01956","Vitvi01g01956","31 x 34","Tocai_warm_r2","Vitvi01g01956","The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
"Vitvi02g00424","Vitvi02g00424","21 x 13","CabFra_freeze_r3","Vitvi02g00424","Binding to a calcium ion (Ca2+)."
"Vitvi02g00527","Vitvi02g00527","15 x 13","Sangio_freeze_r1","Vitvi02g00527","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00200","Vitvi03g00200","6 x 37","CabFra_accfreeze_r3","Vitvi03g00200","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi03g01396","Vitvi03g01396","37 x 11","Tocai_freeze_r2","Vitvi03g01396","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi04g00480","Vitvi04g00480","40 x 11","Chard_warm_r1","Vitvi04g00480","Binding to a calcium ion (Ca2+)."
"Vitvi04g00598","Vitvi04g00598","4 x 33","Tocai_acclim_r2","Vitvi04g00598","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g01530","Vitvi04g01530","19 x 40","Sangio_acclim_r1","Vitvi04g01530","Binding to a calcium ion (Ca2+)."
"Vitvi04g01336","Vitvi04g01336","31 x 5","Chard_freeze_r3","Vitvi04g01336","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00054","Vitvi05g00054","6 x 21","Sangio_freeze_r3","Vitvi05g00054","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00564","Vitvi06g00564","6 x 1","CabFra_freeze_r3","Vitvi06g00564","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01226","Vitvi06g01226","40 x 38","Sangio_warm_r1","Vitvi06g01226","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi07g01804","Vitvi07g01804","26 x 2","Tocai_freeze_r1","Vitvi07g01804","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi08g00642","Vitvi08g00642","2 x 40","Tocai_accfreeze_r2","Vitvi08g00642","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi08g01063","Vitvi08g01063","26 x 3","Riesl_freeze_r1","Vitvi08g01063","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi08g01295","Vitvi08g01295","21 x 6","CabFra_freeze_r3","Vitvi08g01295","Catalysis of the transfer of a substituted phosphate group, other than diphosphate or nucleotidyl residues, from one compound (donor) to a another (acceptor)."
"Vitvi08g01872","Vitvi08g01872","21 x 29","Chard_warm_r3","Vitvi08g01872","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00200","Vitvi09g00200","34 x 30","Riesl_acclim_r1","Vitvi09g00200","Binding to a calcium ion (Ca2+)."
"Vitvi09g00595","Vitvi09g00595","23 x 33","Riesl_freeze_r3","Vitvi09g00595","Binding to a calcium ion (Ca2+)."
"Vitvi09g00618","Vitvi09g00618","33 x 36","Riesl_accfreeze_r1","Vitvi09g00618","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi11g00469","Vitvi11g00469","29 x 34","Riesl_accfreeze_r1","Vitvi11g00469","Binding to a calcium ion (Ca2+)."
"Vitvi11g00704","Vitvi11g00704","1 x 33","Sangio_accfreeze_r1","Vitvi11g00704","Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor)."
"Vitvi11g01098","Vitvi11g01098","40 x 40","Tocai_freeze_r1","Vitvi11g01098","Binding to a calcium ion (Ca2+)."
"Vitvi11g01379","Vitvi11g01379","26 x 1","Sangio_freeze_r3","Vitvi11g01379","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00001","Vitvi13g00001","25 x 8","Sangio_freeze_r3","Vitvi13g00001","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi13g00327","Vitvi13g00327","33 x 10","Sangio_freeze_r2","Vitvi13g00327","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00172","Vitvi14g00172","2 x 40","CabFra_accfreeze_r3","Vitvi14g00172","The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
"Vitvi14g01119","Vitvi14g01119","29 x 32","CabFra_acclim_r2","Vitvi14g01119","The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
"Vitvi15g00766","Vitvi15g00766","1 x 34","Tocai_accfreeze_r3","Vitvi15g00766","Binding to a metal ion."
"Vitvi15g00773","Vitvi15g00773","30 x 8","Sangio_freeze_r2","Vitvi15g00773","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00956","Vitvi15g00956","40 x 1","Chard_freeze_r3","Vitvi15g00956","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00095","Vitvi17g00095","36 x 36","Sangio_warm_r3","Vitvi17g00095","Catalysis of the hydrolysis of any ester bond."
"Vitvi18g00159","Vitvi18g00159","15 x 30","Tocai_acclim_r3","Vitvi18g00159","Binding to a calcium ion (Ca2+)."
"Vitvi18g00915","Vitvi18g00915","7 x 7","Sangio_freeze_r1","Vitvi18g00915","Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor)."
"Vitvi18g00927","Vitvi18g00927","18 x 26","Riesl_freeze_r3","Vitvi18g00927","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi19g02011","Vitvi19g02011","6 x 1","Sangio_freeze_r3","Vitvi19g02011","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
