"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00108","Vitvi01g00108","8 x 12","CabFra_freeze_r3","Vitvi01g00108","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01803","Vitvi01g01803","40 x 19","Riesl_warm_r2","Vitvi01g01803","Binding to a calcium ion (Ca2+)."
"Vitvi02g00032","Vitvi02g00032","14 x 2","Riesl_freeze_r2","Vitvi02g00032","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi02g00048","Vitvi02g00048","17 x 3","CabFra_freeze_r2","Vitvi02g00048","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00119","Vitvi02g00119","19 x 39","Riesl_warm_r2","Vitvi02g00119","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00137","Vitvi02g00137","29 x 29","Riesl_acclim_r3","Vitvi02g00137","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00308","Vitvi02g00308","19 x 29","Riesl_warm_r1","Vitvi02g00308","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00337","Vitvi02g00337","7 x 30","Chard_warm_r3","Vitvi02g00337","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00695","Vitvi02g00695","33 x 25","CabFra_warm_r2","Vitvi02g00695","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi02g00698","Vitvi02g00698","12 x 3","Riesl_warm_r1","Vitvi02g00698","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g00206","Vitvi03g00206","8 x 7","Tocai_freeze_r2","Vitvi03g00206","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g00452","Vitvi03g00452","4 x 37","Tocai_accfreeze_r2","Vitvi03g00452","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00743","Vitvi03g00743","21 x 1","Tocai_warm_r1","Vitvi03g00743","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00752","Vitvi03g00752","40 x 24","Tocai_warm_r1","Vitvi03g00752","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00757","Vitvi03g00757","21 x 1","Sangio_freeze_r3","Vitvi03g00757","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00860","Vitvi03g00860","35 x 40","Tocai_accfreeze_r2","Vitvi03g00860","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g01651","Vitvi03g01651","21 x 1","Sangio_freeze_r3","Vitvi03g01651","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g00075","Vitvi04g00075","15 x 1","Sangio_freeze_r1","Vitvi04g00075","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi04g00115","Vitvi04g00115","5 x 14","Tocai_freeze_r2","Vitvi04g00115","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00127","Vitvi04g00127","16 x 38","Chard_acclim_r1","Vitvi04g00127","Binding to a metal ion."
"Vitvi04g00167","Vitvi04g00167","38 x 13","Sangio_warm_r1","Vitvi04g00167","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00168","Vitvi04g00168","40 x 40","Tocai_warm_r3","Vitvi04g00168","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00482","Vitvi04g00482","32 x 33","Chard_warm_r2","Vitvi04g00482","A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1)."
"Vitvi04g01362","Vitvi04g01362","7 x 12","Tocai_accfreeze_r3","Vitvi04g01362","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01391","Vitvi04g01391","29 x 6","Chard_freeze_r3","Vitvi04g01391","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00684","Vitvi05g00684","12 x 10","Tocai_warm_r1","Vitvi05g00684","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01634","Vitvi05g01634","24 x 28","Chard_acclim_r3","Vitvi05g01634","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01776","Vitvi05g01776","12 x 1","Sangio_accfreeze_r3","Vitvi05g01776","Binding to a calcium ion (Ca2+)."
"Vitvi06g00166","Vitvi06g00166","6 x 22","Sangio_freeze_r2","Vitvi06g00166","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00199","Vitvi06g00199","30 x 28","Tocai_warm_r3","Vitvi06g00199","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00356","Vitvi06g00356","1 x 3","Sangio_accfreeze_r1","Vitvi06g00356","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
