"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00097","Vitvi01g00097","10 x 30","Sangio_accfreeze_r1","Vitvi01g00097","Binding to an RNA molecule or a portion thereof."
"Vitvi01g01312","Vitvi01g01312","4 x 40","Tocai_acclim_r3","Vitvi01g01312","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01449","Vitvi01g01449","14 x 29","Tocai_accfreeze_r3","Vitvi01g01449","Binding to a protein."
"Vitvi01g01663","Vitvi01g01663","25 x 23","Chard_acclim_r3","Vitvi01g01663","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi01g01774","Vitvi01g01774","9 x 40","Sangio_accfreeze_r1","Vitvi01g01774","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00175","Vitvi02g00175","36 x 32","CabFra_warm_r3","Vitvi02g00175","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00214","Vitvi02g00214","32 x 18","Tocai_warm_r2","Vitvi02g00214","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00318","Vitvi02g00318","31 x 22","CabFra_warm_r3","Vitvi02g00318","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00502","Vitvi02g00502","37 x 9","Tocai_freeze_r3","Vitvi02g00502","Functions in chain elongation during polypeptide synthesis at the ribosome."
"Vitvi03g00269","Vitvi03g00269","30 x 36","Riesl_acclim_r3","Vitvi03g00269","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00329","Vitvi03g00329","36 x 12","Sangio_warm_r3","Vitvi03g00329","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00728","Vitvi03g00728","26 x 36","Tocai_acclim_r3","Vitvi03g00728","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01497","Vitvi03g01497","35 x 33","Riesl_acclim_r3","Vitvi03g01497","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00093","Vitvi04g00093","25 x 11","Sangio_freeze_r1","Vitvi04g00093","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00336","Vitvi04g00336","32 x 9","Chard_freeze_r2","Vitvi04g00336","Binding to a protein."
"Vitvi04g01777","Vitvi04g01777","25 x 29","Tocai_accfreeze_r1","Vitvi04g01777","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01332","Vitvi04g01332","40 x 21","CabFra_warm_r3","Vitvi04g01332","Binding to an RNA molecule or a portion thereof."
"Vitvi05g00534","Vitvi05g00534","19 x 25","Riesl_acclim_r1","Vitvi05g00534","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01850","Vitvi05g01850","23 x 15","Sangio_accfreeze_r1","Vitvi05g01850","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g01990","Vitvi05g01990","26 x 10","CabFra_warm_r1","Vitvi05g01990","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00201","Vitvi06g00201","33 x 28","Tocai_warm_r1","Vitvi06g00201","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00384","Vitvi06g00384","13 x 13","Sangio_accfreeze_r1","Vitvi06g00384","The process whose specific outcome is the progression of a pollen tube over time, from its initial formation to a mature structure."
"Vitvi06g00720","Vitvi06g00720","27 x 14","Sangio_freeze_r3","Vitvi06g00720","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00722","Vitvi06g00722","17 x 16","Tocai_freeze_r2","Vitvi06g00722",""
"Vitvi07g00182","Vitvi07g00182","9 x 36","Tocai_accfreeze_r1","Vitvi07g00182","Binding to GTP, guanosine triphosphate."
"Vitvi07g00197","Vitvi07g00197","26 x 35","Tocai_acclim_r3","Vitvi07g00197","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01822","Vitvi07g01822","21 x 20","CabFra_freeze_r2","Vitvi07g01822","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01988","Vitvi07g01988","33 x 9","CabFra_acclim_r2","Vitvi07g01988","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"Vitvi07g02166","Vitvi07g02166","26 x 20","CabFra_warm_r3","Vitvi07g02166","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02174","Vitvi07g02174","30 x 30","Tocai_warm_r3","Vitvi07g02174","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02278","Vitvi07g02278","25 x 14","Tocai_warm_r3","Vitvi07g02278","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02280","Vitvi07g02280","29 x 28","CabFra_warm_r3","Vitvi07g02280","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g02286","Vitvi07g02286","21 x 18","CabFra_accfreeze_r3","Vitvi07g02286","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g00766","Vitvi08g00766","1 x 3","Riesl_freeze_r3","Vitvi08g00766","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01387","Vitvi08g01387","37 x 9","Chard_freeze_r1","Vitvi08g01387","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g01933","Vitvi08g01933","1 x 22","Sangio_acclim_r2","Vitvi08g01933","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi08g02164","Vitvi08g02164","12 x 29","Tocai_accfreeze_r2","Vitvi08g02164","Binding to an RNA molecule or a portion thereof."
"Vitvi09g01408","Vitvi09g01408","7 x 40","Sangio_accfreeze_r1","Vitvi09g01408","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00054","Vitvi10g00054","33 x 34","Riesl_warm_r1","Vitvi10g00054","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00849","Vitvi10g00849","35 x 35","Sangio_warm_r1","Vitvi10g00849","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00162","Vitvi11g00162","27 x 22","Riesl_acclim_r1","Vitvi11g00162","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi11g00182","Vitvi11g00182","39 x 16","CabFra_warm_r2","Vitvi11g00182","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00252","Vitvi11g00252","34 x 13","Sangio_warm_r3","Vitvi11g00252","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
