"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00061","Vitvi01g00061","16 x 1","Riesl_freeze_r1","Vitvi01g00061","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00593","Vitvi01g00593","40 x 38","Riesl_warm_r2","Vitvi01g00593","Binding to a metal ion."
"Vitvi01g01440","Vitvi01g01440","11 x 10","Sangio_freeze_r1","Vitvi01g01440","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00029","Vitvi03g00029","36 x 33","Tocai_acclim_r3","Vitvi03g00029","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi13g00232","Vitvi13g00232","16 x 23","Chard_warm_r1","Vitvi13g00232","Binding to a metal ion."
"Vitvi04g01419","Vitvi04g01419","38 x 27","CabFra_warm_r3","Vitvi04g01419","Catalysis of the hydrolysis of a carboxylic ester bond."
"Vitvi04g01633","Vitvi04g01633","32 x 8","Chard_freeze_r2","Vitvi04g01633","Catalysis of the reaction: alpha-D-glucose 1-phosphate + UTP = diphosphate + UDP-D-glucose."
"Vitvi05g00953","Vitvi05g00953","40 x 38","Riesl_warm_r2","Vitvi05g00953","Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends."
"Vitvi07g00351","Vitvi07g00351","40 x 40","CabFra_warm_r2","Vitvi07g00351","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi07g00454","Vitvi07g00454","40 x 18","Sangio_warm_r3","Vitvi07g00454","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g00787","Vitvi07g00787","40 x 22","CabFra_freeze_r3","Vitvi07g00787","Binding to a metal ion."
"Vitvi07g02226","Vitvi07g02226","37 x 1","Chard_warm_r2","Vitvi07g02226","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi08g01102","Vitvi08g01102","4 x 40","Tocai_accfreeze_r3","Vitvi08g01102","Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends."
"Vitvi08g01259","Vitvi08g01259","16 x 3","Sangio_freeze_r3","Vitvi08g01259","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi08g01260","Vitvi08g01260","7 x 20","Sangio_freeze_r3","Vitvi08g01260","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi08g01606","Vitvi08g01606","40 x 27","Tocai_warm_r3","Vitvi08g01606","Binding to a metal ion."
"Vitvi08g02209","Vitvi08g02209","32 x 12","Sangio_warm_r3","Vitvi08g02209","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi09g00017","Vitvi09g00017","40 x 3","Sangio_freeze_r2","Vitvi09g00017","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi10g00031","Vitvi10g00031","40 x 16","CabFra_warm_r3","Vitvi10g00031","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00013","Vitvi11g00013","39 x 40","Tocai_warm_r3","Vitvi11g00013","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00016","Vitvi11g00016","35 x 40","Sangio_acclim_r3","Vitvi11g00016","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi11g00256","Vitvi11g00256","34 x 40","Riesl_accfreeze_r1","Vitvi11g00256","Catalysis of the hydrolysis of a carboxylic ester bond."
"Vitvi11g01300","Vitvi11g01300","2 x 24","Sangio_freeze_r2","Vitvi11g01300","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi12g02137","Vitvi12g02137","25 x 2","Riesl_freeze_r3","Vitvi12g02137","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g00667","Vitvi13g00667","17 x 40","Chard_accfreeze_r3","Vitvi13g00667","Binding to a metal ion."
"Vitvi13g00669","Vitvi13g00669","38 x 40","Chard_acclim_r1","Vitvi13g00669","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01675","Vitvi14g01675","20 x 17","CabFra_accfreeze_r2","Vitvi14g01675","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01571","Vitvi14g01571","9 x 30","Tocai_accfreeze_r1","Vitvi14g01571","Binding to a metal ion."
"Vitvi14g01635","Vitvi14g01635","40 x 22","Sangio_warm_r2","Vitvi14g01635","Binding to a metal ion."
"Vitvi14g01995","Vitvi14g01995","5 x 29","Tocai_freeze_r2","Vitvi14g01995","Catalysis of the hydrolysis of a carboxylic ester bond."
"Vitvi14g03099","Vitvi14g03099","16 x 18","Tocai_freeze_r1","Vitvi14g03099","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi15g00704","Vitvi15g00704","7 x 7","Tocai_accfreeze_r2","Vitvi15g00704","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi16g00929","Vitvi16g00929","12 x 3","Riesl_freeze_r3","Vitvi16g00929","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi17g00629","Vitvi17g00629","37 x 8","Riesl_warm_r1","Vitvi17g00629","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00682","Vitvi17g00682","1 x 34","CabFra_freeze_r3","Vitvi17g00682","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi17g00977","Vitvi17g00977","40 x 36","Riesl_warm_r2","Vitvi17g00977","Binding to a metal ion."
"Vitvi18g00215","Vitvi18g00215","6 x 2","Sangio_freeze_r3","Vitvi18g00215","Catalysis of the transfer of an uridylyl group to an acceptor."
"Vitvi18g00591","Vitvi18g00591","26 x 32","CabFra_acclim_r3","Vitvi18g00591","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi19g00680","Vitvi19g00680","40 x 39","Chard_warm_r2","Vitvi19g00680","Binding to a metal ion."
