"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00288","Vitvi01g00288","32 x 33","Riesl_warm_r2","Vitvi01g00288","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00499","Vitvi01g00499","1 x 40","Chard_acclim_r2","Vitvi01g00499","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01729","Vitvi01g01729","25 x 40","CabFra_acclim_r2","Vitvi01g01729","Binding to a zinc ion (Zn)."
"Vitvi02g00098","Vitvi02g00098","6 x 27","Chard_acclim_r2","Vitvi02g00098","The control of plant growth, development, and differentiation by the duration and nature of light, independent of photosynthesis."
"Vitvi02g00597","Vitvi02g00597","11 x 32","Sangio_accfreeze_r1","Vitvi02g00597","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01251","Vitvi03g01251","9 x 40","Sangio_acclim_r3","Vitvi03g01251","Binding to a protein."
"Vitvi04g00052","Vitvi04g00052","9 x 12","Sangio_freeze_r2","Vitvi04g00052","Any process that modulates the frequency, rate or extent of photoperiodism, flowering."
"Vitvi04g00214","Vitvi04g00214","18 x 20","Sangio_freeze_r2","Vitvi04g00214","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00232","Vitvi04g00232","37 x 9","Sangio_freeze_r2","Vitvi04g00232","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g00665","Vitvi04g00665","5 x 32","Chard_acclim_r2","Vitvi04g00665","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
