"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00098","Vitvi01g00098","21 x 36","Tocai_acclim_r1","Vitvi01g00098","Binding to a metal ion."
"Vitvi01g00168","Vitvi01g00168","8 x 26","Chard_accfreeze_r2","Vitvi01g00168","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi01g00252","Vitvi01g00252","16 x 29","Sangio_accfreeze_r1","Vitvi01g00252","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00288","Vitvi01g00288","32 x 33","Riesl_warm_r2","Vitvi01g00288","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00446","Vitvi01g00446","36 x 13","Tocai_acclim_r3","Vitvi01g00446","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00530","Vitvi01g00530","18 x 8","CabFra_freeze_r1","Vitvi01g00530","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00779","Vitvi01g00779","7 x 40","Tocai_accfreeze_r2","Vitvi01g00779","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01729","Vitvi01g01729","25 x 40","CabFra_acclim_r2","Vitvi01g01729","Binding to a zinc ion (Zn)."
"Vitvi02g00399","Vitvi02g00399","1 x 40","Riesl_acclim_r1","Vitvi02g00399","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00318","Vitvi03g00318","40 x 10","Riesl_warm_r2","Vitvi03g00318","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00325","Vitvi03g00325","40 x 3","Riesl_warm_r2","Vitvi03g00325","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi03g01059","Vitvi03g01059","36 x 15","Sangio_acclim_r1","Vitvi03g01059","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g01287","Vitvi03g01287","18 x 29","Sangio_warm_r1","Vitvi03g01287","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g01495","Vitvi03g01495","37 x 5","Chard_warm_r1","Vitvi03g01495","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00076","Vitvi04g00076","31 x 40","Tocai_acclim_r1","Vitvi04g00076","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00286","Vitvi04g00286","33 x 6","Tocai_freeze_r3","Vitvi04g00286","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00381","Vitvi04g00381","32 x 10","CabFra_freeze_r1","Vitvi04g00381","The process of thermal induction in plants in which flowering is promoted by exposure to low temperatures."
"Vitvi04g00431","Vitvi04g00431","20 x 37","Sangio_accfreeze_r1","Vitvi04g00431","A transcription coregulator activity that represses or decreases the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Corepressors often act by altering chromatin structure and modifications. For example, one class of transcription corepressors modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators."
"Vitvi04g00665","Vitvi04g00665","5 x 32","Chard_acclim_r2","Vitvi04g00665","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01441","Vitvi07g01441","20 x 38","Chard_acclim_r3","Vitvi07g01441","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi10g00219","Vitvi10g00219","2 x 37","Tocai_accfreeze_r3","Vitvi10g00219","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01404","Vitvi04g01404","5 x 29","Chard_acclim_r3","Vitvi04g01404","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00147","Vitvi05g00147","14 x 35","CabFra_accfreeze_r3","Vitvi05g00147","Binding to a nucleic acid."
