"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00039","Vitvi01g00039","32 x 11","Riesl_warm_r1","Vitvi01g00039","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00889","Vitvi01g00889","31 x 7","CabFra_freeze_r2","Vitvi01g00889","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00335","Vitvi02g00335","5 x 40","Tocai_accfreeze_r2","Vitvi02g00335","Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group."
"Vitvi02g00936","Vitvi02g00936","21 x 32","Riesl_freeze_r3","Vitvi02g00936","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00191","Vitvi03g00191","8 x 2","CabFra_freeze_r1","Vitvi03g00191","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00766","Vitvi03g00766","1 x 24","Sangio_freeze_r2","Vitvi03g00766","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00147","Vitvi04g00147","29 x 24","Tocai_warm_r3","Vitvi04g00147","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00440","Vitvi04g00440","4 x 21","CabFra_freeze_r2","Vitvi04g00440","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00241","Vitvi13g00241","40 x 8","Chard_warm_r1","Vitvi13g00241","Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide."
"Vitvi04g00880","Vitvi04g00880","40 x 25","CabFra_warm_r2","Vitvi04g00880","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00908","Vitvi04g00908","30 x 1","Chard_freeze_r3","Vitvi04g00908","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01225","Vitvi04g01225","3 x 1","CabFra_accfreeze_r2","Vitvi04g01225","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00420","Vitvi05g00420","23 x 22","CabFra_accfreeze_r2","Vitvi05g00420","Any process involved in the maintenance of an internal steady state of magnesium ions within an organism or cell."
