"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00155","Vitvi01g00155","22 x 18","Tocai_warm_r3","Vitvi01g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01577","Vitvi01g01577","21 x 18","CabFra_accfreeze_r2","Vitvi01g01577","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g02023","Vitvi01g02023","31 x 17","Chard_acclim_r1","Vitvi01g02023","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00135","Vitvi03g00135","22 x 19","Chard_acclim_r3","Vitvi03g00135","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00251","Vitvi04g00251","8 x 33","CabFra_accfreeze_r2","Vitvi04g00251","A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
"Vitvi04g01484","Vitvi04g01484","26 x 26","Tocai_warm_r1","Vitvi04g01484","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00316","Vitvi06g00316","22 x 20","Tocai_warm_r2","Vitvi06g00316","A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
"Vitvi07g00109","Vitvi07g00109","26 x 28","Tocai_warm_r3","Vitvi07g00109","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00905","Vitvi08g00905","33 x 17","Tocai_warm_r1","Vitvi08g00905","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00020","Vitvi09g00020","22 x 18","Riesl_accfreeze_r1","Vitvi09g00020","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00073","Vitvi09g00073","22 x 19","Tocai_warm_r2","Vitvi09g00073","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01479","Vitvi10g01479","32 x 17","Tocai_warm_r3","Vitvi10g01479","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00921","Vitvi11g00921","32 x 18","Tocai_warm_r1","Vitvi11g00921","A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
"Vitvi15g00742","Vitvi15g00742","25 x 28","Tocai_warm_r2","Vitvi15g00742","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00247","Vitvi18g00247","32 x 17","Tocai_warm_r1","Vitvi18g00247","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00982","Vitvi18g00982","26 x 26","Tocai_warm_r3","Vitvi18g00982","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
