"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00699","Vitvi02g00699","26 x 5","CabFra_freeze_r1","Vitvi02g00699","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi02g00737","Vitvi02g00737","12 x 31","Chard_acclim_r3","Vitvi02g00737","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00261","Vitvi03g00261","17 x 34","Tocai_accfreeze_r3","Vitvi03g00261","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00669","Vitvi04g00669","24 x 40","CabFra_acclim_r1","Vitvi04g00669","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi07g01234","Vitvi07g01234","12 x 14","CabFra_freeze_r1","Vitvi07g01234","Binding to GTP, guanosine triphosphate."
"Vitvi10g00391","Vitvi10g00391","7 x 8","CabFra_freeze_r3","Vitvi10g00391","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi07g00464","Vitvi07g00464","32 x 29","Tocai_warm_r1","Vitvi07g00464","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi07g01682","Vitvi07g01682","10 x 1","Sangio_freeze_r3","Vitvi07g01682","Binding to GTP, guanosine triphosphate."
"Vitvi08g01171","Vitvi08g01171","15 x 19","CabFra_accfreeze_r3","Vitvi08g01171","A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
"Vitvi10g00937","Vitvi10g00937","19 x 19","Sangio_accfreeze_r1","Vitvi10g00937","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi11g01301","Vitvi11g01301","25 x 10","Sangio_freeze_r3","Vitvi11g01301","Binding to GTP, guanosine triphosphate."
"Vitvi13g01463","Vitvi13g01463","5 x 30","Riesl_warm_r2","Vitvi13g01463","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi14g01748","Vitvi14g01748","1 x 13","CabFra_freeze_r2","Vitvi14g01748","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi15g00733","Vitvi15g00733","18 x 20","CabFra_accfreeze_r3","Vitvi15g00733","Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions."
"Vitvi16g01539","Vitvi16g01539","25 x 6","CabFra_freeze_r3","Vitvi16g01539","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi17g01190","Vitvi17g01190","1 x 29","Sangio_freeze_r1","Vitvi17g01190","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi19g00290","Vitvi19g00290","11 x 11","Sangio_freeze_r3","Vitvi19g00290","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
