"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00712","Vitvi01g00712","17 x 25","Riesl_freeze_r3","Vitvi01g00712","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"Vitvi02g00535","Vitvi02g00535","5 x 32","CabFra_accfreeze_r2","Vitvi02g00535","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00798","Vitvi02g00798","4 x 20","Riesl_freeze_r3","Vitvi02g00798","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00492","Vitvi03g00492","2 x 12","Sangio_freeze_r3","Vitvi03g00492","The process in which peroxisomes are delivered to a type of vacuole and degraded in response to changing nutrient conditions."
"Vitvi07g01236","Vitvi07g01236","12 x 13","CabFra_freeze_r3","Vitvi07g01236","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi07g01302","Vitvi07g01302","6 x 24","Tocai_accfreeze_r2","Vitvi07g01302","The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."
"Vitvi04g01617","Vitvi04g01617","3 x 16","Sangio_freeze_r3","Vitvi04g01617","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g00485","Vitvi07g00485","8 x 8","Sangio_freeze_r3","Vitvi07g00485","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00580","Vitvi07g00580","5 x 19","Riesl_freeze_r3","Vitvi07g00580","The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."
"Vitvi08g01267","Vitvi08g01267","8 x 14","Tocai_accfreeze_r3","Vitvi08g01267","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00111","Vitvi09g00111","16 x 32","Sangio_accfreeze_r1","Vitvi09g00111","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00571","Vitvi10g00571","11 x 25","Sangio_accfreeze_r1","Vitvi10g00571","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g00254","Vitvi11g00254","6 x 14","CabFra_freeze_r3","Vitvi11g00254","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00813","Vitvi11g00813","6 x 17","Riesl_freeze_r3","Vitvi11g00813","Binding to a protein."
"Vitvi12g00370","Vitvi12g00370","9 x 15","Sangio_freeze_r1","Vitvi12g00370","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00718","Vitvi15g00718","7 x 17","Tocai_freeze_r2","Vitvi15g00718","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00986","Vitvi15g00986","6 x 31","Tocai_accfreeze_r3","Vitvi15g00986","The physiological and developmental changes that occur in a heterosporous plant pollen grain, beginning with hydration and terminating with the emergence of the pollen tube through the aperture."
"Vitvi16g01309","Vitvi16g01309","4 x 37","CabFra_accfreeze_r3","Vitvi16g01309","The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."
"Vitvi17g00971","Vitvi17g00971","27 x 10","Sangio_freeze_r2","Vitvi17g00971","The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."
"Vitvi19g02021","Vitvi19g02021","11 x 22","Chard_acclim_r2","Vitvi19g02021","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
