"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00143","Vitvi03g00143","22 x 37","Sangio_accfreeze_r1","Vitvi03g00143","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi04g01498","Vitvi04g01498","29 x 29","Tocai_accfreeze_r1","Vitvi04g01498","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi07g00464","Vitvi07g00464","32 x 29","Tocai_warm_r1","Vitvi07g00464","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi07g01682","Vitvi07g01682","10 x 1","Sangio_freeze_r3","Vitvi07g01682","Binding to GTP, guanosine triphosphate."
"Vitvi11g00309","Vitvi11g00309","40 x 27","Tocai_warm_r3","Vitvi11g00309","Binding to GTP, guanosine triphosphate."
"Vitvi12g00231","Vitvi12g00231","40 x 35","CabFra_warm_r2","Vitvi12g00231","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi12g02111","Vitvi12g02111","22 x 28","Chard_acclim_r3","Vitvi12g02111","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01748","Vitvi14g01748","1 x 13","CabFra_freeze_r2","Vitvi14g01748","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi15g00526","Vitvi15g00526","37 x 32","Chard_warm_r2","Vitvi15g00526","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi16g01539","Vitvi16g01539","25 x 6","CabFra_freeze_r3","Vitvi16g01539","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi17g00762","Vitvi17g00762","22 x 40","Tocai_accfreeze_r2","Vitvi17g00762","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi18g01149","Vitvi18g01149","27 x 32","Sangio_acclim_r1","Vitvi18g01149","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi18g02359","Vitvi18g02359","16 x 25","Riesl_freeze_r3","Vitvi18g02359","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
