"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi06g00973","Vitvi06g00973","31 x 8","Chard_freeze_r3","Vitvi06g00973","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi06g01272","Vitvi06g01272","26 x 1","Riesl_freeze_r2","Vitvi06g01272","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00710","Vitvi07g00710","15 x 31","Sangio_accfreeze_r1","Vitvi07g00710","Binding to a protein."
"Vitvi07g01865","Vitvi07g01865","3 x 34","CabFra_accfreeze_r3","Vitvi07g01865","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi08g00271","Vitvi08g00271","1 x 33","Tocai_accfreeze_r2","Vitvi08g00271","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi08g01379","Vitvi08g01379","5 x 38","Tocai_accfreeze_r3","Vitvi08g01379","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g00260","Vitvi11g00260","5 x 13","Chard_acclim_r2","Vitvi11g00260","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00777","Vitvi11g00777","2 x 20","CabFra_freeze_r3","Vitvi11g00777","A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell."
"Vitvi11g01163","Vitvi11g01163","9 x 24","Riesl_freeze_r3","Vitvi11g01163","The process involved in the specification of cell identity. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment."
"Vitvi17g00916","Vitvi17g00916","1 x 34","Chard_acclim_r2","Vitvi17g00916","Binding to a zinc ion (Zn)."
"Vitvi18g01114","Vitvi18g01114","37 x 30","CabFra_warm_r2","Vitvi18g01114","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
