"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi07g01469","Vitvi07g01469","11 x 33","Chard_acclim_r3","Vitvi07g01469","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g00991","Vitvi05g00991","36 x 15","CabFra_warm_r1","Vitvi05g00991","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g01631","Vitvi05g01631","17 x 19","Sangio_freeze_r1","Vitvi05g01631","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00567","Vitvi07g00567","30 x 11","Chard_warm_r1","Vitvi07g00567","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi08g01053","Vitvi08g01053","25 x 26","Tocai_accfreeze_r3","Vitvi08g01053","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02308","Vitvi08g02308","7 x 14","Tocai_accfreeze_r3","Vitvi08g02308","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g01644","Vitvi11g01644","23 x 6","Sangio_freeze_r3","Vitvi11g01644","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01063","Vitvi15g01063","7 x 22","Tocai_accfreeze_r3","Vitvi15g01063","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00488","Vitvi18g00488","1 x 18","Chard_accfreeze_r3","Vitvi18g00488","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi18g03157","Vitvi18g03157","1 x 22","Tocai_accfreeze_r2","Vitvi18g03157","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g02035","Vitvi19g02035","9 x 30","Sangio_freeze_r3","Vitvi19g02035","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
