"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00311","Vitvi03g00311","38 x 25","CabFra_warm_r1","Vitvi03g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00242","Vitvi04g00242","40 x 26","Tocai_warm_r3","Vitvi04g00242","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00378","Vitvi04g00378","29 x 32","Tocai_freeze_r3","Vitvi04g00378","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00373","Vitvi07g00373","1 x 33","Tocai_accfreeze_r3","Vitvi07g00373","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00187","Vitvi08g00187","12 x 30","Sangio_accfreeze_r1","Vitvi08g00187","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00283","Vitvi08g00283","1 x 1","Sangio_freeze_r2","Vitvi08g00283","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00381","Vitvi11g00381","11 x 23","Riesl_freeze_r2","Vitvi11g00381","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00524","Vitvi12g00524","13 x 40","Riesl_acclim_r1","Vitvi12g00524","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00018","Vitvi13g00018","18 x 24","CabFra_freeze_r3","Vitvi13g00018","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00125","Vitvi14g00125","10 x 25","Sangio_acclim_r2","Vitvi14g00125","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
