"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00136","Vitvi01g00136","39 x 12","Tocai_freeze_r1","Vitvi01g00136","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00503","Vitvi04g00503","31 x 15","Tocai_warm_r3","Vitvi04g00503","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00311","Vitvi05g00311","9 x 7","Sangio_freeze_r2","Vitvi05g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01046","Vitvi05g01046","24 x 26","Tocai_accfreeze_r3","Vitvi05g01046","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01517","Vitvi06g01517","1 x 22","CabFra_freeze_r3","Vitvi06g01517","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00825","Vitvi07g00825","19 x 19","CabFra_accfreeze_r3","Vitvi07g00825","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00666","Vitvi08g00666","3 x 36","Sangio_accfreeze_r1","Vitvi08g00666","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00057","Vitvi09g00057","11 x 30","CabFra_freeze_r3","Vitvi09g00057","Acting as a marker to identify a membrane and interacting selectively with one or more SNAREs on another membrane to mediate membrane fusion."
"Vitvi11g00659","Vitvi11g00659","8 x 32","CabFra_accfreeze_r2","Vitvi11g00659","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00061","Vitvi13g00061","15 x 35","Sangio_acclim_r3","Vitvi13g00061","Binding to a protein."
"Vitvi13g00954","Vitvi13g00954","10 x 16","Tocai_freeze_r2","Vitvi13g00954","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
