"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00278","Vitvi01g00278","15 x 33","Chard_accfreeze_r1","Vitvi01g00278","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00009","Vitvi02g00009","15 x 33","Tocai_accfreeze_r3","Vitvi02g00009","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00383","Vitvi02g00383","31 x 21","Tocai_warm_r3","Vitvi02g00383","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00470","Vitvi02g00470","12 x 9","Sangio_freeze_r3","Vitvi02g00470","The process of introducing a phosphate group on to an amino acid residue in the C-terminal domain of RNA polymerase II. Typically, this occurs during the transcription cycle and results in production of an RNA polymerase II enzyme where the carboxy-terminal domain (CTD) of the largest subunit is extensively phosphorylated, often referred to as hyperphosphorylated or the II(0) form. Specific types of phosphorylation within the CTD are usually associated with specific regions of genes, though there are exceptions. The phosphorylation state regulates the association of specific complexes such as the capping enzyme or 3'-RNA processing machinery to the elongating RNA polymerase complex."
"Vitvi05g01673","Vitvi05g01673","27 x 3","Sangio_warm_r3","Vitvi05g01673","Binding to a calcium ion (Ca2+)."
"Vitvi06g00314","Vitvi06g00314","27 x 24","Tocai_acclim_r1","Vitvi06g00314","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi06g00576","Vitvi06g00576","40 x 25","Tocai_warm_r3","Vitvi06g00576","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00635","Vitvi06g00635","17 x 21","Sangio_freeze_r2","Vitvi06g00635","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01147","Vitvi06g01147","12 x 31","Tocai_accfreeze_r2","Vitvi06g01147","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01341","Vitvi06g01341","7 x 37","Tocai_accfreeze_r3","Vitvi06g01341","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01435","Vitvi06g01435","26 x 40","CabFra_warm_r2","Vitvi06g01435","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00137","Vitvi07g00137","15 x 24","Riesl_freeze_r3","Vitvi07g00137","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00624","Vitvi07g00624","12 x 8","Sangio_freeze_r3","Vitvi07g00624","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01752","Vitvi07g01752","22 x 4","Tocai_warm_r2","Vitvi07g01752","Binding to a calcium ion (Ca2+)."
"Vitvi08g00160","Vitvi08g00160","28 x 25","Tocai_warm_r3","Vitvi08g00160","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01737","Vitvi08g01737","32 x 24","CabFra_warm_r3","Vitvi08g01737","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00082","Vitvi09g00082","12 x 40","Sangio_accfreeze_r1","Vitvi09g00082","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01250","Vitvi09g01250","29 x 27","Tocai_warm_r3","Vitvi09g01250","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi10g00816","Vitvi10g00816","7 x 26","Sangio_freeze_r2","Vitvi10g00816","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi10g00884","Vitvi10g00884","14 x 36","Sangio_acclim_r1","Vitvi10g00884","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00072","Vitvi11g00072","23 x 23","Riesl_accfreeze_r3","Vitvi11g00072","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00104","Vitvi11g00104","6 x 24","Riesl_freeze_r3","Vitvi11g00104","Binding to a metal ion."
"Vitvi11g01514","Vitvi11g01514","35 x 14","Tocai_acclim_r3","Vitvi11g01514","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi14g00891","Vitvi14g00891","7 x 36","Sangio_acclim_r2","Vitvi14g00891","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g01055","Vitvi14g01055","16 x 25","Riesl_freeze_r3","Vitvi14g01055","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
