"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00037","Vitvi02g00037","10 x 40","Sangio_accfreeze_r1","Vitvi02g00037","Binding to a nucleic acid."
"Vitvi02g00383","Vitvi02g00383","31 x 21","Tocai_warm_r3","Vitvi02g00383","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00175","Vitvi03g00175","40 x 27","Tocai_warm_r3","Vitvi03g00175","The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
"Vitvi03g00226","Vitvi03g00226","25 x 40","Tocai_acclim_r3","Vitvi03g00226","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01252","Vitvi07g01252","31 x 19","CabFra_warm_r3","Vitvi07g01252","Binding to an RNA molecule or a portion thereof."
"Vitvi10g00365","Vitvi10g00365","8 x 19","Sangio_accfreeze_r1","Vitvi10g00365","Binding to a protein."
"Vitvi04g01986","Vitvi04g01986","5 x 25","Riesl_freeze_r1","Vitvi04g01986","A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."
"Vitvi04g02109","Vitvi04g02109","34 x 9","Sangio_warm_r3","Vitvi04g02109","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00009","Vitvi06g00009","25 x 40","CabFra_acclim_r2","Vitvi06g00009","Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II."
"Vitvi06g00102","Vitvi06g00102","40 x 26","Tocai_warm_r3","Vitvi06g00102","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi06g00798","Vitvi06g00798","18 x 20","CabFra_freeze_r1","Vitvi06g00798","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00104","Vitvi07g00104","40 x 18","Sangio_warm_r1","Vitvi07g00104","Binding to a nucleic acid."
"Vitvi07g00145","Vitvi07g00145","26 x 1","Riesl_freeze_r1","Vitvi07g00145","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00337","Vitvi07g00337","38 x 24","Tocai_warm_r3","Vitvi07g00337","Catalysis of the reaction: NAD+ + (ADP-D-ribosyl)(n)-acceptor = nicotinamide + (ADP-D-ribosyl)(n+1)-acceptor."
"Vitvi07g00574","Vitvi07g00574","31 x 37","Riesl_acclim_r3","Vitvi07g00574","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02047","Vitvi07g02047","29 x 4","Riesl_freeze_r2","Vitvi07g02047","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02048","Vitvi07g02048","35 x 25","CabFra_warm_r2","Vitvi07g02048","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00160","Vitvi08g00160","28 x 25","Tocai_warm_r3","Vitvi08g00160","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00958","Vitvi08g00958","40 x 26","Tocai_warm_r3","Vitvi08g00958","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01441","Vitvi08g01441","28 x 16","Tocai_warm_r3","Vitvi08g01441","Binding to an RNA molecule or a portion thereof."
"Vitvi08g01767","Vitvi08g01767","38 x 26","CabFra_warm_r2","Vitvi08g01767","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi08g01813","Vitvi08g01813","31 x 25","Tocai_warm_r3","Vitvi08g01813","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
"Vitvi08g02190","Vitvi08g02190","31 x 24","CabFra_warm_r3","Vitvi08g02190","Binding to an RNA molecule or a portion thereof."
"Vitvi09g00391","Vitvi09g00391","25 x 39","Sangio_acclim_r1","Vitvi09g00391","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00065","Vitvi11g00065","23 x 38","Riesl_acclim_r2","Vitvi11g00065","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00688","Vitvi11g00688","23 x 19","CabFra_freeze_r1","Vitvi11g00688","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g01981","Vitvi12g01981","6 x 40","CabFra_acclim_r3","Vitvi12g01981","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi13g00082","Vitvi13g00082","40 x 27","Tocai_warm_r3","Vitvi13g00082","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01053","Vitvi13g01053","16 x 13","Tocai_freeze_r3","Vitvi13g01053","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00186","Vitvi14g00186","23 x 39","Riesl_acclim_r1","Vitvi14g00186","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g00194","Vitvi14g00194","15 x 4","Tocai_freeze_r2","Vitvi14g00194","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00985","Vitvi15g00985","13 x 6","Tocai_freeze_r2","Vitvi15g00985","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00174","Vitvi16g00174","29 x 40","Tocai_warm_r3","Vitvi16g00174","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi17g00425","Vitvi17g00425","30 x 25","CabFra_warm_r3","Vitvi17g00425","Binding to an RNA molecule or a portion thereof."
"Vitvi17g00813","Vitvi17g00813","17 x 28","Sangio_accfreeze_r1","Vitvi17g00813","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."
"Vitvi17g01034","Vitvi17g01034","23 x 36","Riesl_acclim_r1","Vitvi17g01034","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g01401","Vitvi17g01401","32 x 19","Tocai_warm_r2","Vitvi17g01401","Binding to an RNA molecule or a portion thereof."
"Vitvi18g00098","Vitvi18g00098","30 x 17","Tocai_warm_r3","Vitvi18g00098","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00240","Vitvi18g00240","25 x 22","Riesl_accfreeze_r3","Vitvi18g00240","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00252","Vitvi18g00252","23 x 19","Sangio_accfreeze_r1","Vitvi18g00252","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g01110","Vitvi18g01110","40 x 26","Tocai_warm_r3","Vitvi18g01110","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00766","Vitvi19g00766","30 x 25","Riesl_acclim_r3","Vitvi19g00766","Binding to an RNA molecule or a portion thereof."
