"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00060","Vitvi01g00060","34 x 22","CabFra_warm_r2","Vitvi01g00060","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g00293","Vitvi01g00293","36 x 35","Riesl_acclim_r3","Vitvi01g00293","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g01792","Vitvi01g01792","31 x 25","CabFra_warm_r3","Vitvi01g01792","Binding to a metal ion."
"Vitvi01g01809","Vitvi01g01809","33 x 26","Tocai_warm_r3","Vitvi01g01809","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g01814","Vitvi01g01814","32 x 23","CabFra_warm_r2","Vitvi01g01814","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00261","Vitvi02g00261","38 x 34","Riesl_acclim_r3","Vitvi02g00261","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00599","Vitvi02g00599","36 x 20","CabFra_warm_r3","Vitvi02g00599","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g01585","Vitvi02g01585","34 x 1","Sangio_accfreeze_r1","Vitvi02g01585","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g01664","Vitvi02g01664","18 x 10","CabFra_freeze_r3","Vitvi02g01664","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g00303","Vitvi03g00303","30 x 25","Tocai_warm_r3","Vitvi03g00303","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi03g01190","Vitvi03g01190","35 x 22","CabFra_warm_r2","Vitvi03g01190","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi04g00536","Vitvi04g00536","37 x 22","CabFra_warm_r1","Vitvi04g00536","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi04g01858","Vitvi04g01858","33 x 24","Tocai_warm_r3","Vitvi04g01858","Binding to a metal ion."
"Vitvi07g02548","Vitvi07g02548","26 x 2","CabFra_warm_r1","Vitvi07g02548","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g00053","Vitvi05g00053","32 x 24","Tocai_warm_r3","Vitvi05g00053","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g00254","Vitvi05g00254","30 x 24","CabFra_warm_r2","Vitvi05g00254","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g00279","Vitvi05g00279","40 x 31","Tocai_warm_r2","Vitvi05g00279","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g00504","Vitvi05g00504","10 x 12","Sangio_accfreeze_r1","Vitvi05g00504","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi05g00543","Vitvi05g00543","35 x 25","CabFra_warm_r1","Vitvi05g00543","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00775","Vitvi05g00775","33 x 25","Riesl_acclim_r1","Vitvi05g00775","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g01254","Vitvi05g01254","32 x 21","CabFra_warm_r3","Vitvi05g01254","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g01323","Vitvi05g01323","33 x 21","CabFra_warm_r1","Vitvi05g01323","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi06g00041","Vitvi06g00041","32 x 22","CabFra_warm_r2","Vitvi06g00041","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi06g00701","Vitvi06g00701","34 x 23","CabFra_warm_r3","Vitvi06g00701","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi06g00786","Vitvi06g00786","36 x 22","Tocai_warm_r3","Vitvi06g00786","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi06g01406","Vitvi06g01406","27 x 3","Chard_freeze_r3","Vitvi06g01406","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis."
"Vitvi06g01491","Vitvi06g01491","33 x 18","CabFra_warm_r2","Vitvi06g01491","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi07g00121","Vitvi07g00121","35 x 20","CabFra_warm_r3","Vitvi07g00121","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi07g00346","Vitvi07g00346","34 x 20","Tocai_warm_r3","Vitvi07g00346","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi07g00479","Vitvi07g00479","35 x 22","CabFra_warm_r1","Vitvi07g00479","Binding to a metal ion."
"Vitvi07g01501","Vitvi07g01501","29 x 24","CabFra_warm_r3","Vitvi07g01501","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi07g01802","Vitvi07g01802","31 x 25","CabFra_warm_r3","Vitvi07g01802","Binding to an RNA molecule or a portion thereof."
"Vitvi07g01888","Vitvi07g01888","19 x 11","CabFra_acclim_r3","Vitvi07g01888","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi07g02210","Vitvi07g02210","36 x 20","Tocai_warm_r3","Vitvi07g02210","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g00201","Vitvi08g00201","29 x 12","CabFra_warm_r2","Vitvi08g00201","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g00234","Vitvi08g00234","36 x 20","CabFra_warm_r3","Vitvi08g00234","Binding to a metal ion."
"Vitvi08g00757","Vitvi08g00757","35 x 23","CabFra_warm_r3","Vitvi08g00757","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01147","Vitvi08g01147","33 x 20","CabFra_warm_r2","Vitvi08g01147","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01397","Vitvi08g01397","34 x 23","CabFra_warm_r3","Vitvi08g01397","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01432","Vitvi08g01432","36 x 21","CabFra_warm_r3","Vitvi08g01432","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01508","Vitvi08g01508","27 x 25","Sangio_accfreeze_r1","Vitvi08g01508","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01544","Vitvi08g01544","31 x 21","CabFra_warm_r1","Vitvi08g01544","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01773","Vitvi08g01773","34 x 24","Tocai_warm_r3","Vitvi08g01773","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g01778","Vitvi08g01778","36 x 22","CabFra_warm_r1","Vitvi08g01778","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g02367","Vitvi08g02367","37 x 23","CabFra_warm_r1","Vitvi08g02367","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi09g00370","Vitvi09g00370","35 x 23","CabFra_warm_r1","Vitvi09g00370","Binding to a metal ion."
"Vitvi09g00973","Vitvi09g00973","14 x 33","Chard_acclim_r2","Vitvi09g00973","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi09g00994","Vitvi09g00994","13 x 18","Chard_acclim_r2","Vitvi09g00994","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi09g01600","Vitvi09g01600","37 x 32","Tocai_freeze_r1","Vitvi09g01600","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
