"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00097","Vitvi01g00097","10 x 30","Sangio_accfreeze_r1","Vitvi01g00097","Binding to an RNA molecule or a portion thereof."
"Vitvi01g00447","Vitvi01g00447","22 x 35","Riesl_accfreeze_r3","Vitvi01g00447","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00278","Vitvi03g00278","6 x 38","Tocai_acclim_r2","Vitvi03g00278","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00134","Vitvi04g00134","26 x 15","Sangio_freeze_r3","Vitvi04g00134","Binding to an RNA molecule or a portion thereof."
"Vitvi10g00215","Vitvi10g00215","40 x 4","Chard_warm_r3","Vitvi10g00215","Catalysis of the reaction: S-adenosyl-L-methionine + rRNA = S-adenosyl-L-homocysteine + rRNA containing N3-methyluridine."
"Vitvi04g01332","Vitvi04g01332","40 x 21","CabFra_warm_r3","Vitvi04g01332","Binding to an RNA molecule or a portion thereof."
"Vitvi07g00182","Vitvi07g00182","9 x 36","Tocai_accfreeze_r1","Vitvi07g00182","Binding to GTP, guanosine triphosphate."
"Vitvi08g01933","Vitvi08g01933","1 x 22","Sangio_acclim_r2","Vitvi08g01933","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi11g00133","Vitvi11g00133","7 x 38","Chard_accfreeze_r3","Vitvi11g00133","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g00265","Vitvi11g00265","33 x 20","CabFra_warm_r3","Vitvi11g00265","Binding to an RNA molecule or a portion thereof."
"Vitvi16g00264","Vitvi16g00264","24 x 19","CabFra_freeze_r2","Vitvi16g00264","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi19g02101","Vitvi19g02101","17 x 2","CabFra_freeze_r1","Vitvi19g02101","Catalysis of the reaction: S-adenosyl-L-methionine + rRNA = S-adenosyl-L-homocysteine + rRNA containing N3-methyluridine."
