"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00190","Vitvi01g00190","16 x 30","Sangio_accfreeze_r1","Vitvi01g00190","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00599","Vitvi01g00599","7 x 40","Sangio_accfreeze_r1","Vitvi01g00599","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
"Vitvi01g01552","Vitvi01g01552","16 x 23","Riesl_freeze_r1","Vitvi01g01552","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00590","Vitvi02g00590","16 x 21","CabFra_freeze_r2","Vitvi02g00590","Binding to a metal ion."
"Vitvi02g00722","Vitvi02g00722","8 x 31","Tocai_accfreeze_r2","Vitvi02g00722","Binding to a nucleic acid."
"Vitvi02g00735","Vitvi02g00735","12 x 30","Sangio_accfreeze_r1","Vitvi02g00735","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi02g00954","Vitvi02g00954","12 x 30","Sangio_accfreeze_r1","Vitvi02g00954","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00007","Vitvi03g00007","13 x 13","Tocai_freeze_r2","Vitvi03g00007","Binding to a nucleic acid."
"Vitvi03g00053","Vitvi03g00053","19 x 7","Sangio_freeze_r1","Vitvi03g00053","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi03g00180","Vitvi03g00180","18 x 31","Tocai_warm_r3","Vitvi03g00180","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi03g00308","Vitvi03g00308","12 x 32","Chard_acclim_r3","Vitvi03g00308","The process in which a methyl group is covalently attached to a molecule."
"Vitvi04g00200","Vitvi04g00200","26 x 21","Riesl_acclim_r3","Vitvi04g00200","Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA."
"Vitvi04g00219","Vitvi04g00219","5 x 22","Tocai_accfreeze_r2","Vitvi04g00219","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01225","Vitvi07g01225","19 x 28","CabFra_warm_r3","Vitvi07g01225","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"Vitvi10g00382","Vitvi10g00382","28 x 17","CabFra_warm_r3","Vitvi10g00382","Binding to an RNA molecule or a portion thereof."
"Vitvi04g00949","Vitvi04g00949","21 x 20","Tocai_accfreeze_r3","Vitvi04g00949","Binding to a large ribosomal subunit."
"Vitvi04g01367","Vitvi04g01367","9 x 37","Tocai_accfreeze_r3","Vitvi04g01367","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"Vitvi04g01743","Vitvi04g01743","3 x 21","Riesl_freeze_r1","Vitvi04g01743","Binding to GTP, guanosine triphosphate."
"Vitvi05g00060","Vitvi05g00060","28 x 25","Riesl_accfreeze_r3","Vitvi05g00060","Binding to an RNA molecule or a portion thereof."
"Vitvi05g00168","Vitvi05g00168","3 x 32","Tocai_accfreeze_r3","Vitvi05g00168","Binding to a zinc ion (Zn)."
"Vitvi05g00217","Vitvi05g00217","9 x 14","Sangio_freeze_r2","Vitvi05g00217","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00278","Vitvi05g00278","28 x 32","Sangio_warm_r3","Vitvi05g00278","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00872","Vitvi05g00872","14 x 8","Riesl_freeze_r1","Vitvi05g00872","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01356","Vitvi05g01356","15 x 27","Sangio_accfreeze_r1","Vitvi05g01356","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01845","Vitvi05g01845","35 x 23","CabFra_warm_r3","Vitvi05g01845","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g02271","Vitvi05g02271","25 x 24","Sangio_accfreeze_r1","Vitvi05g02271","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00053","Vitvi06g00053","6 x 35","Tocai_accfreeze_r2","Vitvi06g00053","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
