"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00277","Vitvi01g00277","36 x 5","Riesl_freeze_r1","Vitvi01g00277","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00571","Vitvi01g00571","5 x 13","CabFra_accfreeze_r3","Vitvi01g00571","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00683","Vitvi02g00683","16 x 1","Chard_freeze_r3","Vitvi02g00683","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00354","Vitvi06g00354","15 x 9","Tocai_freeze_r2","Vitvi06g00354","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00590","Vitvi06g00590","9 x 34","Sangio_acclim_r3","Vitvi06g00590","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01667","Vitvi06g01667","17 x 40","Chard_freeze_r2","Vitvi06g01667","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01333","Vitvi08g01333","14 x 40","Sangio_warm_r1","Vitvi08g01333","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01423","Vitvi13g01423","8 x 10","Sangio_accfreeze_r1","Vitvi13g01423","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01832","Vitvi14g01832","7 x 3","CabFra_freeze_r3","Vitvi14g01832","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01995","Vitvi18g01995","32 x 4","Chard_warm_r1","Vitvi18g01995","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g03111","Vitvi18g03111","4 x 40","Riesl_acclim_r2","Vitvi18g03111","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g03112","Vitvi18g03112","30 x 40","Chard_acclim_r2","Vitvi18g03112","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
