"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00101","Vitvi01g00101","36 x 35","Tocai_warm_r3","Vitvi01g00101","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00544","Vitvi01g00544","26 x 31","Tocai_acclim_r2","Vitvi01g00544","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01288","Vitvi03g01288","20 x 2","CabFra_freeze_r2","Vitvi03g01288","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00109","Vitvi04g00109","1 x 13","Sangio_freeze_r1","Vitvi04g00109","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00500","Vitvi06g00500","8 x 32","Sangio_freeze_r1","Vitvi06g00500","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00678","Vitvi06g00678","4 x 3","Sangio_freeze_r2","Vitvi06g00678","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g01726","Vitvi19g01726","8 x 1","Tocai_freeze_r3","Vitvi19g01726","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g02052","Vitvi19g02052","16 x 40","Chard_freeze_r3","Vitvi19g02052","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g02056","Vitvi19g02056","15 x 16","Tocai_freeze_r3","Vitvi19g02056","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g02057","Vitvi19g02057","20 x 3","Sangio_accfreeze_r3","Vitvi19g02057","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
