"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00371","Vitvi01g00371","12 x 22","Sangio_acclim_r2","Vitvi01g00371","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00653","Vitvi01g00653","1 x 10","CabFra_freeze_r2","Vitvi01g00653","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00656","Vitvi01g00656","36 x 36","Sangio_warm_r1","Vitvi01g00656","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00657","Vitvi01g00657","35 x 30","Riesl_warm_r2","Vitvi01g00657","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01962","Vitvi01g01962","1 x 31","Tocai_accfreeze_r2","Vitvi01g01962","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00403","Vitvi02g00403","1 x 16","Tocai_accfreeze_r3","Vitvi02g00403","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00466","Vitvi02g00466","8 x 2","Sangio_freeze_r2","Vitvi02g00466","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00032","Vitvi03g00032","36 x 5","Riesl_warm_r1","Vitvi03g00032","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00033","Vitvi03g00033","40 x 28","Tocai_warm_r1","Vitvi03g00033","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00199","Vitvi03g00199","15 x 5","CabFra_freeze_r1","Vitvi03g00199","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00216","Vitvi06g00216","10 x 1","Sangio_freeze_r2","Vitvi06g00216","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00067","Vitvi08g00067","1 x 12","CabFra_freeze_r3","Vitvi08g00067","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00085","Vitvi08g00085","40 x 19","CabFra_warm_r2","Vitvi08g00085","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00086","Vitvi08g00086","13 x 6","Sangio_freeze_r2","Vitvi08g00086","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00091","Vitvi08g00091","40 x 2","Chard_freeze_r1","Vitvi08g00091","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00092","Vitvi08g00092","40 x 3","Sangio_freeze_r2","Vitvi08g00092","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00099","Vitvi08g00099","38 x 12","Tocai_acclim_r2","Vitvi08g00099","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00777","Vitvi08g00777","30 x 33","Sangio_warm_r1","Vitvi08g00777","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01878","Vitvi08g01878","26 x 15","CabFra_warm_r2","Vitvi08g01878","Binding to a zinc ion (Zn)."
"Vitvi10g00107","Vitvi10g00107","8 x 1","Sangio_freeze_r1","Vitvi10g00107","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01644","Vitvi10g01644","34 x 5","Riesl_warm_r2","Vitvi10g01644","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g01285","Vitvi11g01285","15 x 2","Sangio_warm_r1","Vitvi11g01285","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g01286","Vitvi11g01286","24 x 11","CabFra_acclim_r2","Vitvi11g01286","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g01692","Vitvi11g01692","22 x 11","CabFra_acclim_r3","Vitvi11g01692","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
