"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00077","Vitvi03g00077","37 x 1","Chard_freeze_r2","Vitvi03g00077","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00524","Vitvi03g00524","37 x 1","Sangio_freeze_r1","Vitvi03g00524","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi07g01255","Vitvi07g01255","40 x 36","Sangio_warm_r1","Vitvi07g01255","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi06g00803","Vitvi06g00803","40 x 19","Tocai_freeze_r1","Vitvi06g00803","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi07g01723","Vitvi07g01723","8 x 1","Sangio_freeze_r1","Vitvi07g01723","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi08g00940","Vitvi08g00940","40 x 2","Tocai_freeze_r1","Vitvi08g00940","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01229","Vitvi09g01229","18 x 4","Sangio_freeze_r1","Vitvi09g01229","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00217","Vitvi11g00217","22 x 40","Chard_acclim_r3","Vitvi11g00217","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi11g00720","Vitvi11g00720","2 x 14","Riesl_freeze_r3","Vitvi11g00720","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00730","Vitvi11g00730","40 x 34","Chard_warm_r2","Vitvi11g00730","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00924","Vitvi11g00924","5 x 8","Sangio_freeze_r3","Vitvi11g00924","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi12g00261","Vitvi12g00261","9 x 1","Chard_freeze_r3","Vitvi12g00261","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi12g02241","Vitvi12g02241","21 x 1","Tocai_accfreeze_r3","Vitvi12g02241","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi12g02245","Vitvi12g02245","20 x 1","CabFra_freeze_r2","Vitvi12g02245","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi16g01485","Vitvi16g01485","2 x 8","Tocai_accfreeze_r3","Vitvi16g01485","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
