"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi06g01850","Vitvi06g01850","18 x 11","CabFra_freeze_r1","Vitvi06g01850","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g01852","Vitvi06g01852","9 x 14","Sangio_accfreeze_r1","Vitvi06g01852","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi08g01917","Vitvi08g01917","5 x 34","Sangio_freeze_r2","Vitvi08g01917","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi13g01833","Vitvi13g01833","8 x 19","Sangio_freeze_r3","Vitvi13g01833","Binding to a metal ion."
"Vitvi15g00761","Vitvi15g00761","22 x 20","Sangio_acclim_r2","Vitvi15g00761","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00951","Vitvi15g00951","4 x 22","Sangio_accfreeze_r1","Vitvi15g00951","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi17g01399","Vitvi17g01399","31 x 12","Chard_warm_r1","Vitvi17g01399","Binding to a metal ion."
"Vitvi18g00134","Vitvi18g00134","9 x 28","Sangio_accfreeze_r1","Vitvi18g00134","The process in which a uridine in position 34 of a tRNA is post-transcriptionally modified."
"Vitvi19g00551","Vitvi19g00551","29 x 15","Riesl_freeze_r1","Vitvi19g00551","Binding to a metal ion."
"Vitvi19g01681","Vitvi19g01681","30 x 17","CabFra_warm_r2","Vitvi19g01681","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
