"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00363","Vitvi02g00363","20 x 8","CabFra_freeze_r3","Vitvi02g00363","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00065","Vitvi03g00065","6 x 39","Riesl_acclim_r2","Vitvi03g00065","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00373","Vitvi04g00373","14 x 8","Riesl_freeze_r3","Vitvi04g00373","The synthesis of an RNA transcript from a DNA template."
"Vitvi04g00513","Vitvi04g00513","15 x 32","Tocai_accfreeze_r2","Vitvi04g00513","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00176","Vitvi10g00176","7 x 34","CabFra_accfreeze_r2","Vitvi10g00176","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01266","Vitvi04g01266","15 x 8","Sangio_freeze_r2","Vitvi04g01266","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01442","Vitvi04g01442","31 x 29","Tocai_warm_r3","Vitvi04g01442","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi06g00072","Vitvi06g00072","21 x 22","Sangio_accfreeze_r1","Vitvi06g00072","A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters."
"Vitvi06g00314","Vitvi06g00314","27 x 24","Tocai_acclim_r1","Vitvi06g00314","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi06g00328","Vitvi06g00328","30 x 25","CabFra_warm_r1","Vitvi06g00328","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00515","Vitvi06g00515","9 x 35","Sangio_acclim_r2","Vitvi06g00515","A transcription initiation process that takes place at a RNA polymerase II gene promoter. Messenger RNAs (mRNA) genes, as well as some non-coding RNAs, are transcribed by RNA polymerase II."
"Vitvi06g01286","Vitvi06g01286","5 x 40","Tocai_accfreeze_r2","Vitvi06g01286","Binding to a metal ion."
"Vitvi06g01573","Vitvi06g01573","11 x 33","Tocai_accfreeze_r3","Vitvi06g01573","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02218","Vitvi07g02218","9 x 34","CabFra_accfreeze_r1","Vitvi07g02218","Binding to a nonidentical protein to form a heterodimer."
