"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi00g00859","Vitvi00g00859","31 x 40","Tocai_acclim_r2","Vitvi00g00859","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00244","Vitvi01g00244","1 x 3","Sangio_freeze_r1","Vitvi01g00244","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00934","Vitvi01g00934","6 x 12","Tocai_accfreeze_r2","Vitvi01g00934","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01826","Vitvi01g01826","8 x 6","Tocai_accfreeze_r2","Vitvi01g01826","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01827","Vitvi01g01827","23 x 36","Sangio_accfreeze_r1","Vitvi01g01827","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00121","Vitvi02g00121","15 x 1","Tocai_freeze_r3","Vitvi02g00121","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00286","Vitvi02g00286","7 x 12","Sangio_accfreeze_r1","Vitvi02g00286","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00407","Vitvi02g00407","1 x 1","Sangio_freeze_r2","Vitvi02g00407","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00500","Vitvi03g00500","1 x 1","Sangio_freeze_r2","Vitvi03g00500","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00300","Vitvi04g00300","35 x 8","CabFra_accfreeze_r2","Vitvi04g00300","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
