"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi10g00251","Vitvi10g00251","13 x 19","Tocai_warm_r1","Vitvi10g00251","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00435","Vitvi05g00435","5 x 18","CabFra_freeze_r2","Vitvi05g00435","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00224","Vitvi06g00224","17 x 6","CabFra_freeze_r1","Vitvi06g00224","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi06g01109","Vitvi06g01109","10 x 12","CabFra_freeze_r1","Vitvi06g01109","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01492","Vitvi06g01492","5 x 38","Chard_acclim_r3","Vitvi06g01492","Binding to a nonidentical protein to form a heterodimer."
"Vitvi06g01659","Vitvi06g01659","14 x 13","CabFra_freeze_r1","Vitvi06g01659","Binding to a nonidentical protein to form a heterodimer."
"Vitvi07g01823","Vitvi07g01823","33 x 4","Chard_freeze_r3","Vitvi07g01823","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00292","Vitvi08g00292","22 x 31","Riesl_acclim_r3","Vitvi08g00292","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g01154","Vitvi08g01154","6 x 36","Tocai_accfreeze_r3","Vitvi08g01154","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01883","Vitvi08g01883","34 x 6","Chard_freeze_r2","Vitvi08g01883","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00133","Vitvi09g00133","5 x 38","Chard_accfreeze_r3","Vitvi09g00133","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00911","Vitvi10g00911","32 x 11","Tocai_freeze_r3","Vitvi10g00911","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g00109","Vitvi11g00109","34 x 36","Tocai_warm_r1","Vitvi11g00109","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi12g00719","Vitvi12g00719","17 x 6","Chard_warm_r1","Vitvi12g00719","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00535","Vitvi13g00535","9 x 32","Tocai_accfreeze_r2","Vitvi13g00535","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01402","Vitvi13g01402","25 x 1","Sangio_freeze_r1","Vitvi13g01402","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01729","Vitvi13g01729","29 x 7","Chard_freeze_r2","Vitvi13g01729","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi14g00264","Vitvi14g00264","19 x 19","CabFra_freeze_r1","Vitvi14g00264","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi17g00088","Vitvi17g00088","32 x 15","Tocai_warm_r3","Vitvi17g00088","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi17g01421","Vitvi17g01421","32 x 14","Tocai_warm_r2","Vitvi17g01421","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00673","Vitvi19g00673","29 x 40","CabFra_acclim_r2","Vitvi19g00673","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g01705","Vitvi19g01705","31 x 12","Tocai_warm_r3","Vitvi19g01705","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
