"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00818","Vitvi01g00818","7 x 28","Riesl_freeze_r2","Vitvi01g00818","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi04g00414","Vitvi04g00414","40 x 2","CabFra_warm_r1","Vitvi04g00414","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00523","Vitvi05g00523","5 x 5","Sangio_freeze_r1","Vitvi05g00523","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi05g00524","Vitvi05g00524","1 x 7","Sangio_freeze_r3","Vitvi05g00524","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi05g01893","Vitvi05g01893","2 x 5","CabFra_accfreeze_r2","Vitvi05g01893","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi06g00679","Vitvi06g00679","40 x 21","Chard_warm_r2","Vitvi06g00679","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi06g01092","Vitvi06g01092","3 x 36","Chard_acclim_r2","Vitvi06g01092","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi07g00052","Vitvi07g00052","18 x 31","Tocai_acclim_r1","Vitvi07g00052","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00126","Vitvi07g00126","25 x 2","CabFra_freeze_r3","Vitvi07g00126","Catalysis of the reaction: acetyl-CoA + peptide = CoA + N-alpha-acetylpeptide. This reaction is the acetylation of the N-terminal amino acid residue of a peptide or protein."
"Vitvi07g01604","Vitvi07g01604","19 x 40","Tocai_acclim_r1","Vitvi07g01604","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi08g00051","Vitvi08g00051","34 x 12","Chard_freeze_r2","Vitvi08g00051","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi08g01460","Vitvi08g01460","7 x 11","Tocai_freeze_r2","Vitvi08g01460","Catalysis of the reaction: D-glucosamine 6-phosphate + acetyl-CoA = N-acetyl-D-glucosamine 6-phosphate + CoA + H(+)."
"Vitvi11g00083","Vitvi11g00083","36 x 30","Tocai_warm_r3","Vitvi11g00083","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi11g00847","Vitvi11g00847","32 x 7","Sangio_warm_r1","Vitvi11g00847","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi12g00340","Vitvi12g00340","30 x 8","CabFra_freeze_r2","Vitvi12g00340","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi12g00651","Vitvi12g00651","5 x 22","Sangio_accfreeze_r1","Vitvi12g00651","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi13g00612","Vitvi13g00612","14 x 1","CabFra_freeze_r2","Vitvi13g00612","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi13g00631","Vitvi13g00631","20 x 10","Sangio_freeze_r2","Vitvi13g00631","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi13g01641","Vitvi13g01641","31 x 16","Tocai_freeze_r1","Vitvi13g01641","Catalysis of the reaction: acetyl-CoA + peptide = CoA + N-alpha-acetylpeptide. This reaction is the acetylation of the N-terminal amino acid residue of a peptide or protein."
"Vitvi13g01879","Vitvi13g01879","36 x 13","Chard_warm_r1","Vitvi13g01879","Catalysis of the reaction: D-glucosamine 6-phosphate + acetyl-CoA = N-acetyl-D-glucosamine 6-phosphate + CoA + H(+)."
"Vitvi14g01459","Vitvi14g01459","12 x 32","Chard_acclim_r2","Vitvi14g01459","Catalysis of the reaction: acetyl-CoA + peptide = CoA + N-alpha-acetylpeptide. This reaction is the acetylation of the N-terminal amino acid residue of a peptide or protein."
"Vitvi16g00111","Vitvi16g00111","25 x 6","CabFra_freeze_r1","Vitvi16g00111","Catalysis of the reaction: acetyl-CoA + peptide = CoA + N-alpha-acetylpeptide. This reaction is the acetylation of the N-terminal amino acid residue of a peptide or protein."
"Vitvi17g01026","Vitvi17g01026","4 x 23","Sangio_accfreeze_r1","Vitvi17g01026","Binding to a metal ion."
"Vitvi17g01073","Vitvi17g01073","11 x 32","Sangio_acclim_r2","Vitvi17g01073","Catalysis of the transfer of an acetyl group to an acceptor molecule."
"Vitvi18g02063","Vitvi18g02063","38 x 6","Riesl_warm_r1","Vitvi18g02063","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
