"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01488","Vitvi01g01488","11 x 29","Sangio_accfreeze_r1","Vitvi01g01488","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00003","Vitvi03g00003","10 x 35","Tocai_acclim_r2","Vitvi03g00003","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00493","Vitvi03g00493","20 x 12","CabFra_freeze_r3","Vitvi03g00493","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01275","Vitvi04g01275","40 x 27","CabFra_warm_r2","Vitvi04g01275","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01734","Vitvi04g01734","27 x 40","Tocai_warm_r3","Vitvi04g01734","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00265","Vitvi05g00265","10 x 38","Tocai_accfreeze_r2","Vitvi05g00265","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00345","Vitvi05g00345","15 x 29","Riesl_accfreeze_r3","Vitvi05g00345","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00453","Vitvi05g00453","1 x 23","Sangio_accfreeze_r1","Vitvi05g00453","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00688","Vitvi05g00688","39 x 24","Tocai_warm_r3","Vitvi05g00688","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01864","Vitvi05g01864","2 x 23","Tocai_accfreeze_r2","Vitvi05g01864","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00848","Vitvi06g00848","26 x 37","CabFra_acclim_r2","Vitvi06g00848","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01262","Vitvi06g01262","11 x 25","Riesl_freeze_r3","Vitvi06g01262","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01395","Vitvi06g01395","24 x 37","Riesl_acclim_r2","Vitvi06g01395","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00624","Vitvi07g00624","12 x 8","Sangio_freeze_r3","Vitvi07g00624","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00967","Vitvi08g00967","6 x 32","Riesl_accfreeze_r1","Vitvi08g00967","Binding to a metal ion."
"Vitvi08g01729","Vitvi08g01729","12 x 26","Tocai_accfreeze_r2","Vitvi08g01729","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
