"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01533","Vitvi01g01533","11 x 13","CabFra_freeze_r3","Vitvi01g01533","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g02298","Vitvi01g02298","1 x 34","Sangio_accfreeze_r1","Vitvi01g02298",""
"Vitvi02g00291","Vitvi02g00291","14 x 37","CabFra_acclim_r1","Vitvi02g00291","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g01203","Vitvi02g01203","19 x 6","CabFra_freeze_r2","Vitvi02g01203",""
"Vitvi04g00253","Vitvi04g00253","31 x 11","Chard_warm_r3","Vitvi04g00253","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01808","Vitvi04g01808","37 x 40","Chard_acclim_r1","Vitvi04g01808",""
"Vitvi04g01604","Vitvi04g01604","3 x 14","Tocai_accfreeze_r3","Vitvi04g01604","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01645","Vitvi04g01645","31 x 25","CabFra_warm_r2","Vitvi04g01645","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00941","Vitvi07g00941","15 x 13","Sangio_freeze_r3","Vitvi07g00941","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01957","Vitvi07g01957","38 x 1","Chard_warm_r1","Vitvi07g01957",""
"Vitvi08g00658","Vitvi08g00658","3 x 5","CabFra_freeze_r3","Vitvi08g00658",""
"Vitvi08g00730","Vitvi08g00730","1 x 33","Tocai_accfreeze_r2","Vitvi08g00730","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01505","Vitvi08g01505","11 x 35","Tocai_acclim_r1","Vitvi08g01505",""
"Vitvi08g01538","Vitvi08g01538","13 x 34","Sangio_acclim_r3","Vitvi08g01538","Catalysis of the reaction: ATP + (d)UMP = ADP + (d)UDP."
"Vitvi09g00393","Vitvi09g00393","7 x 30","CabFra_freeze_r1","Vitvi09g00393","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01306","Vitvi09g01306","12 x 7","Chard_freeze_r2","Vitvi09g01306",""
"Vitvi09g01496","Vitvi09g01496","25 x 1","CabFra_freeze_r1","Vitvi09g01496","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01388","Vitvi10g01388","40 x 26","Tocai_warm_r3","Vitvi10g01388",""
"Vitvi11g00354","Vitvi11g00354","17 x 12","Sangio_freeze_r3","Vitvi11g00354","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00182","Vitvi12g00182","19 x 10","Sangio_freeze_r3","Vitvi12g00182","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g00728","Vitvi13g00728","18 x 22","Sangio_freeze_r2","Vitvi13g00728","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
