"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi04g00290","Vitvi04g00290","21 x 29","Chard_warm_r1","Vitvi04g00290","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01201","Vitvi04g01201","12 x 36","Sangio_accfreeze_r1","Vitvi04g01201","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00058","Vitvi06g00058","4 x 21","Sangio_freeze_r1","Vitvi06g00058","Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA."
"Vitvi07g00132","Vitvi07g00132","38 x 12","Chard_freeze_r2","Vitvi07g00132","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g00264","Vitvi07g00264","24 x 34","Riesl_acclim_r3","Vitvi07g00264","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"Vitvi07g00539","Vitvi07g00539","6 x 24","Tocai_accfreeze_r3","Vitvi07g00539","A translation release factor that is specific for one or more particular termination codons; acts at the ribosomal A-site and require polypeptidyl-tRNA at the P-site."
"Vitvi14g00099","Vitvi14g00099","15 x 10","Tocai_freeze_r2","Vitvi14g00099","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01160","Vitvi14g01160","9 x 40","Riesl_acclim_r3","Vitvi14g01160","Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA."
"Vitvi14g01582","Vitvi14g01582","29 x 26","Tocai_warm_r3","Vitvi14g01582","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi16g00135","Vitvi16g00135","37 x 16","Tocai_warm_r3","Vitvi16g00135","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g00349","Vitvi17g00349","8 x 29","Sangio_freeze_r1","Vitvi17g00349","Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA."
"Vitvi19g01501","Vitvi19g01501","38 x 14","Chard_warm_r1","Vitvi19g01501","The process in which a methyl group is covalently attached to a molecule."
