"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00190","Vitvi01g00190","16 x 30","Sangio_accfreeze_r1","Vitvi01g00190","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00488","Vitvi01g00488","25 x 18","CabFra_warm_r2","Vitvi01g00488","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi01g00591","Vitvi01g00591","8 x 14","Tocai_accfreeze_r3","Vitvi01g00591",""
"Vitvi01g00915","Vitvi01g00915","28 x 3","CabFra_freeze_r3","Vitvi01g00915",""
"Vitvi01g00977","Vitvi01g00977","8 x 35","CabFra_acclim_r3","Vitvi01g00977","Binding to a metal ion."
"Vitvi02g00284","Vitvi02g00284","1 x 21","CabFra_accfreeze_r3","Vitvi02g00284","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi03g00180","Vitvi03g00180","18 x 31","Tocai_warm_r3","Vitvi03g00180","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi03g00283","Vitvi03g00283","17 x 24","Sangio_accfreeze_r1","Vitvi03g00283","The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxy-terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein."
"Vitvi03g01304","Vitvi03g01304","7 x 39","Sangio_accfreeze_r1","Vitvi03g01304","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00293","Vitvi04g00293","24 x 38","Tocai_accfreeze_r3","Vitvi04g00293","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00838","Vitvi04g00838","19 x 25","Sangio_freeze_r2","Vitvi04g00838","Binding to a metal ion."
"Vitvi05g00454","Vitvi05g00454","34 x 27","CabFra_warm_r2","Vitvi05g00454","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01356","Vitvi05g01356","15 x 27","Sangio_accfreeze_r1","Vitvi05g01356","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01765","Vitvi05g01765","5 x 40","Tocai_accfreeze_r2","Vitvi05g01765","The directed movement of a protein from the cytoplasm to the nucleus."
"Vitvi06g01245","Vitvi06g01245","31 x 8","Riesl_freeze_r1","Vitvi06g01245","Binding to a metal ion."
"Vitvi07g00179","Vitvi07g00179","36 x 20","Tocai_warm_r3","Vitvi07g00179","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi07g00382","Vitvi07g00382","23 x 21","Riesl_acclim_r1","Vitvi07g00382","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00173","Vitvi08g00173","6 x 32","Tocai_accfreeze_r3","Vitvi08g00173","Binding to a protein."
"Vitvi08g00739","Vitvi08g00739","37 x 23","CabFra_warm_r2","Vitvi08g00739","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00892","Vitvi08g00892","8 x 15","Tocai_accfreeze_r3","Vitvi08g00892","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi08g01946","Vitvi08g01946","28 x 25","Sangio_accfreeze_r1","Vitvi08g01946","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g02205","Vitvi08g02205","34 x 5","Riesl_freeze_r3","Vitvi08g02205",""
"Vitvi09g00089","Vitvi09g00089","18 x 30","Tocai_acclim_r1","Vitvi09g00089","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00513","Vitvi09g00513","24 x 5","CabFra_freeze_r3","Vitvi09g00513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00481","Vitvi11g00481","26 x 7","Riesl_freeze_r2","Vitvi11g00481","The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space)."
"Vitvi12g00671","Vitvi12g00671","20 x 25","Riesl_freeze_r1","Vitvi12g00671","The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules."
"Vitvi12g00779","Vitvi12g00779","17 x 22","Sangio_freeze_r2","Vitvi12g00779","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi12g01897","Vitvi12g01897","17 x 31","Sangio_accfreeze_r1","Vitvi12g01897","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
