"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00253","Vitvi01g00253","35 x 33","Sangio_warm_r1","Vitvi01g00253","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00326","Vitvi01g00326","10 x 26","Riesl_freeze_r2","Vitvi01g00326","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00343","Vitvi01g00343","20 x 2","Sangio_freeze_r3","Vitvi01g00343","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01019","Vitvi01g01019","1 x 33","Sangio_acclim_r2","Vitvi01g01019","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01049","Vitvi01g01049","18 x 27","Sangio_acclim_r2","Vitvi01g01049","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00103","Vitvi02g00103","26 x 4","Tocai_freeze_r3","Vitvi02g00103","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00109","Vitvi02g00109","2 x 27","Tocai_accfreeze_r2","Vitvi02g00109","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00320","Vitvi02g00320","28 x 35","Sangio_warm_r1","Vitvi02g00320","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi02g00693","Vitvi02g00693","35 x 35","Sangio_warm_r3","Vitvi02g00693","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01164","Vitvi02g01164","16 x 1","Sangio_freeze_r1","Vitvi02g01164","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01167","Vitvi02g01167","17 x 1","Chard_freeze_r3","Vitvi02g01167","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g01179","Vitvi02g01179","1 x 12","Sangio_freeze_r1","Vitvi02g01179","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
