"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00161","Vitvi01g00161","29 x 10","Chard_warm_r1","Vitvi01g00161","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi01g01815","Vitvi01g01815","33 x 20","CabFra_warm_r3","Vitvi01g01815","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00953","Vitvi02g00953","16 x 21","Tocai_accfreeze_r3","Vitvi02g00953","Binding to a nucleic acid."
"Vitvi03g00226","Vitvi03g00226","25 x 40","Tocai_acclim_r3","Vitvi03g00226","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01252","Vitvi07g01252","31 x 19","CabFra_warm_r3","Vitvi07g01252","Binding to an RNA molecule or a portion thereof."
"Vitvi13g00236","Vitvi13g00236","17 x 22","Tocai_freeze_r2","Vitvi13g00236","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01260","Vitvi04g01260","16 x 10","Sangio_freeze_r1","Vitvi04g01260","Binding to a nucleic acid."
"Vitvi06g00658","Vitvi06g00658","30 x 21","Chard_warm_r2","Vitvi06g00658","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi06g00743","Vitvi06g00743","19 x 8","CabFra_freeze_r2","Vitvi06g00743","Binding to a nucleic acid."
"Vitvi06g01168","Vitvi06g01168","11 x 15","Tocai_freeze_r2","Vitvi06g01168","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00145","Vitvi07g00145","26 x 1","Riesl_freeze_r1","Vitvi07g00145","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00425","Vitvi07g00425","7 x 29","Tocai_accfreeze_r3","Vitvi07g00425","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00895","Vitvi08g00895","11 x 20","Chard_acclim_r1","Vitvi08g00895","The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."
"Vitvi08g01441","Vitvi08g01441","28 x 16","Tocai_warm_r3","Vitvi08g01441","Binding to an RNA molecule or a portion thereof."
"Vitvi08g01591","Vitvi08g01591","7 x 34","CabFra_acclim_r1","Vitvi08g01591","The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."
"Vitvi08g01790","Vitvi08g01790","17 x 31","Sangio_accfreeze_r1","Vitvi08g01790","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01053","Vitvi13g01053","16 x 13","Tocai_freeze_r3","Vitvi13g01053","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01284","Vitvi16g01284","12 x 30","Tocai_accfreeze_r2","Vitvi16g01284","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g01401","Vitvi17g01401","32 x 19","Tocai_warm_r2","Vitvi17g01401","Binding to an RNA molecule or a portion thereof."
"Vitvi18g00098","Vitvi18g00098","30 x 17","Tocai_warm_r3","Vitvi18g00098","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g01654","Vitvi18g01654","32 x 17","Tocai_warm_r3","Vitvi18g01654","Binding to an RNA molecule or a portion thereof."
"Vitvi18g02346","Vitvi18g02346","14 x 20","Chard_accfreeze_r3","Vitvi18g02346","Binding to a nucleic acid."
"Vitvi19g00766","Vitvi19g00766","30 x 25","Riesl_acclim_r3","Vitvi19g00766","Binding to an RNA molecule or a portion thereof."
