"gene set","p-value","fdr"
"Transcription factors - C2H2","0.0019819291036396      .","0.238830168471849      ."
"Hormone signaling - ABA signaling","0.00220999463237753      .","0.238830168471849      ."
"Amino acid metabolism - Glutamate metabolism","0.0033793310548187      .","0.238830168471849      ."
"Transcription factors - Other zf-C3HC4","0.0033793310548187      .","0.238830168471849      ."
"GTP-binding proteins - Arf/Sar Family","0.00459374669684048      .","0.238830168471849      ."
"Minor spliceosome components","0.00459374669684048      .","0.238830168471849      ."
"Zeatin biosynthesis","0.00507767623790656      .","0.238830168471849      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.00560648190154704      .","0.238830168471849      ."
"Transcription factors - Trihelix","0.00560648190154704      .","0.238830168471849      ."
"Inner mambrane","0.00618363774330392      .","0.25380076762766      ."
"Peptidases and inhibitors - Family C1: papain family","0.00749788712479853      .","0.287758021804622      ."
"Transcription factors - GRAS","0.00749788712479853      .","0.287758021804622      ."
"Ubiquitin system - Single Ring-finger type E3","0.00824293176298429      .","0.516323278394695      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.00993029407135899      .","0.516323278394695      ."
"Carotenoid biosynthesis","0.0142274105006364      .","0.516323278394695      ."
"Kinase - CAMKL family","0.0169209015375587      .","0.516323278394695      ."
"Other components","0.0169209015375587      .","0.516323278394695      ."
"Protein - Other autophagy associated proteins","0.0200389541064011      .","0.516323278394695      ."
"Transcription factors - AP2 EREBP","0.0200389541064011      .","0.516323278394695      ."
"Primary active transporters [TC:3]","0.0217726369020214      .","0.516323278394695      ."
"Hormone signaling - Ethylene signaling","0.0217726369020214      .","0.516323278394695      ."
"Transcription factors - CCAAT","0.0217726369020214      .","0.516323278394695      ."
"Transcription factors - Orphans zf-b box","0.0236313490947351      .","0.516323278394695      ."
"Endocytosis","0.0256217368452469      .","0.552254658649445      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.0256217368452469      .","0.552254658649445      ."
"GTP-binding proteins - Rab Family","0.0256217368452469      .","0.552254658649445      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.0277505927510355      .","0.999999999999999      ."
"Transcription factors - Other zf","0.0277505927510355      .","0.999999999999999      ."
"Transport system - Tethering factors","0.0300248410427652      .","0.999999999999999      ."
"Transcription factors - C2C2-CO","0.0350377692966706      .","0.999999999999999      ."
"Transcription factors - G2-like","0.0377907990995178      .","0.999999999999999      ."
"Transcription - Basal transcription factors","0.0438263120463228      .","0.999999999999999      ."
"Transcription factors - AS2","0.0506164498649696      .","0.999999999999999      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.0543126883661862      .","0.999999999999999      ."
"Transcription factors - NAC","0.0543126883661862      .","0.999999999999999      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.058219287984645      .","0.999999999999999      ."
"Tryptophan metabolism","0.0623433088526888      .","0.999999999999999      ."
"Protein - SNAP-25[C] (Qc)","0.0623433088526888      .","0.999999999999999      ."
"Other amino acids metabolism - Selenoamino acid metabolism","0.0666916723275726      .","0.999999999999999      ."
"Transcription factors - HB","0.0666916723275726      .","0.999999999999999      ."
"Alanine aspartate and glutamate metabolism","0.0712711279846311      .","0.999999999999999      ."
"Enzyme - 2.4  Glycosyltransferases","0.0712711279846311      .","0.999999999999999      ."
"SNARE interactions in vesicular transport","0.0760882196548612      .","0.999999999999999      ."
"Kinase - CDPK family","0.0760882196548612      .","0.999999999999999      ."
"Proteasome","0.0811492506628545      .","0.999999999999999      ."
"Kinase - IRAK family","0.0811492506628545      .","0.999999999999999      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.0811492506628545      .","0.999999999999999      ."
"Proteasome - Regulatory particles","0.0864602484351567      .","0.999999999999999      ."
