"gene set","p-value","fdr"
"Transcription factors - Orphans FAR-RED","0.00507767623790656      .","0.54152182707784      ."
"Sphingolipid metabolism","0.00560648190154704      .","0.54152182707784      ."
"Chromosome and associated proteins - Gene silencing","0.00618363774330392      .","0.54152182707784      ."
"Hormone signaling - Brassinosteroids signaling","0.00824293176298429      .","0.54152182707784      ."
"Kinase - IRAK family","0.00993029407135899      .","0.54152182707784      ."
"Proteasome - Regulatory particles","0.00993029407135899      .","0.54152182707784      ."
"Circadian rhythm - plant","0.0119117206769826      .","0.54152182707784      ."
"Transcription factors - ARF","0.0130251388459607      .","0.54152182707784      ."
"Transcription factors - PHD","0.0142274105006364      .","0.54152182707784      ."
"Thiamine metabolism","0.0155240819434818      .","0.555602070131174      ."
"Enzyme - 2.3  Acyltransferases","0.0217726369020214      .","0.555602070131174      ."
"Transporter catalog - Group translocators","0.0217726369020214      .","0.555602070131174      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.0256217368452469      .","0.555602070131174      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.0277505927510355      .","0.555602070131174      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.0277505927510355      .","0.555602070131174      ."
"Enzyme - Class II (C/G)","0.0277505927510355      .","0.555602070131174      ."
"Steroid biosynthesis","0.0300248410427652      .","0.555602070131174      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.0300248410427652      .","0.555602070131174      ."
"Spliceosome associated proteins (SAPs)","0.0324515211035261      .","0.555602070131174      ."
"Transcription factors - SNF2","0.0324515211035261      .","0.555602070131174      ."
"U1 snRNP components","0.0350377692966706      .","0.555602070131174      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.0377907990995178      .","0.555602070131174      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.0407178795524944      .","0.555602070131174      ."
"Ribosome biogenesis - 90S particles","0.0471234054835504      .","0.555602070131174      ."
"Other glycan degradation","0.0506164498649696      .","0.555602070131174      ."
"Transcription factors - MADS","0.0506164498649696      .","0.555602070131174      ."
"Transcription factors - Zinc finger","0.0543126883661862      .","0.555602070131174      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.0543126883661862      .","0.555602070131174      ."
"Translation - Ribosome biogenesis in Eukaryotes","0.0543126883661862      .","0.555602070131174      ."
"Proteasome","0.058219287984645      .","0.555602070131174      ."
"Chaperone - HSP60 / Chaperonin","0.058219287984645      .","0.555602070131174      ."
"Transcription factors - TCP","0.058219287984645      .","0.555602070131174      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.0623433088526888      .","0.555602070131174      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.0623433088526888      .","0.555602070131174      ."
"Folding sorting degradation - Proteasome","0.0623433088526888      .","0.555602070131174      ."
