"gene set","p-value","fdr"
"Transcription factors - Basic helix-loop-helix (bHLH)","0.00897799089641979      .","0.457263699837008      ."
"Transcription factors - AUXIAA","0.0100456306713735      .","0.457263699837008      ."
"Transcription factors - BHLH","0.01122243737086      .","0.457263699837008      ."
"Transcription factors - Other zf-DHHC","0.01122243737086      .","0.457263699837008      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.0125173000401305      .","0.457263699837008      ."
"Hormone signaling - Auxin signaling","0.0125173000401305      .","0.457263699837008      ."
"Glycosyltransferase - Structural polysaccharide","0.0139395648995243      .","0.457263699837008      ."
"Cell growth and death - Cell wall","0.0154990292115588      .","0.457263699837008      ."
"Pentose and glucuronate interconversions","0.0172059312314194      .","0.457263699837008      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.0172059312314194      .","0.457263699837008      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.0172059312314194      .","0.457263699837008      ."
"Glycerophospholipid metabolism","0.0190709359517744      .","0.592589698102193      ."
"One carbon pool by folate","0.0190709359517744      .","0.592589698102193      ."
"Plant hormone signal transduction","0.0190709359517744      .","0.592589698102193      ."
"Transcription factors - C2C2-DOF","0.0190709359517744      .","0.592589698102193      ."
"Transcription factors - MYBrelated","0.0190709359517744      .","0.592589698102193      ."
"Ether lipid metabolism","0.025727190661302      .","0.592589698102193      ."
"Nitrogen metabolism","0.025727190661302      .","0.592589698102193      ."
"Cofactors and vitamin metabolism - Ubiquinone biosynthesis","0.025727190661302      .","0.592589698102193      ."
"Fructose and mannose metabolism","0.0283390345748035      .","0.601431616188494      ."
"Sulfur metabolism","0.0283390345748035      .","0.601431616188494      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.0283390345748035      .","0.601431616188494      ."
"Inositol phosphate metabolism","0.0311678819626075      .","0.601431616188494      ."
"Lipid metabolism - Sphingolipid metabolism","0.0342263926949875      .","0.601431616188494      ."
"Protein - Calcium ion-dependent exocytosis","0.0375274167586619      .","0.601431616188494      ."
"Transporter catalog - Group translocators","0.0375274167586619      .","0.601431616188494      ."
"Photosynthesis","0.041083939277896      .","0.601431616188494      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.041083939277896      .","0.601431616188494      ."
"Energy metabolism - Methane metabolism","0.041083939277896      .","0.601431616188494      ."
"Transporter catalog - Channels and pores","0.041083939277896      .","0.601431616188494      ."
"Protein - Actin-binding proteins","0.0449090201949109      .","0.601431616188494      ."
"Linoleic acid metabolism","0.0490157287401047      .","0.601431616188494      ."
"Hormone signaling - Cytokinin signaling","0.0490157287401047      .","0.601431616188494      ."
"Transcription factors - HB","0.0490157287401047      .","0.601431616188494      ."
