"gene set","p-value","fdr"
"Cyanoamino acid metabolism","0.0019819291036396      .","0.07465073772598      ."
"Fructose and mannose metabolism","0.0019819291036396      .","0.07465073772598      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.0019819291036396      .","0.07465073772598      ."
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.0019819291036396      .","0.07465073772598      ."
"Transporter catalog - Channels and pores","0.0019819291036396      .","0.07465073772598      ."
"Lipid metabolism - Biosynthesis of steroids","0.00220999463237753      .","0.07465073772598      ."
"Glycerophospholipid metabolism","0.00273882505596267      .","0.07465073772598      ."
"Lipid metabolism - Ether lipid metabolism","0.00273882505596267      .","0.07465073772598      ."
"Pentose and glucuronate interconversions","0.00304393602779934      .","0.07465073772598      ."
"ABCG (White) subfamily","0.00304393602779934      .","0.07465073772598      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.00304393602779934      .","0.07465073772598      ."
"Lipid metabolism - Sphingolipid metabolism","0.00304393602779934      .","0.07465073772598      ."
"ABC transporters","0.0033793310548187      .","0.07465073772598      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.0033793310548187      .","0.07465073772598      ."
"Membrane transport - ABC transporters","0.00374757740125249      .","0.07465073772598      ."
"Linoleic acid metabolism","0.00415141179898393      .","0.07465073772598      ."
"Glycosyltransferase - Structural polysaccharide","0.00459374669684048      .","0.07465073772598      ."
"Hormone signaling - Cytokinin signaling","0.00459374669684048      .","0.07465073772598      ."
"Biosynthesis of unsaturated fatty acids","0.00507767623790656      .","0.07465073772598      ."
"Ether lipid metabolism","0.00507767623790656      .","0.07465073772598      ."
"Nitrogen metabolism","0.00507767623790656      .","0.07465073772598      ."
"Exosome - Exosomal proteins of breast milk","0.00507767623790656      .","0.07465073772598      ."
"Protein - Actin-binding proteins","0.00507767623790656      .","0.07465073772598      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.00618363774330392      .","0.07465073772598      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.00618363774330392      .","0.07465073772598      ."
"One carbon pool by folate","0.00681281516254892      .","0.116352411658833      ."
"Terpenoid backbone biosynthesis","0.00681281516254892      .","0.116352411658833      ."
"ABCB (MDR/TAP) subfamily","0.00681281516254892      .","0.116352411658833      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.00681281516254892      .","0.116352411658833      ."
"Cell growth and death - Cell wall","0.00681281516254892      .","0.116352411658833      ."
"Transporter catalog - Porters cat 30 to 64","0.00681281516254892      .","0.116352411658833      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.00749788712479853      .","0.187749346941842      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.00749788712479853      .","0.187749346941842      ."
"Glycerolipid metabolism","0.00824293176298429      .","0.187749346941842      ."
"Energy metabolism - Methane metabolism","0.00905223527977801      .","0.187749346941842      ."
"Lipid metabolism - Fatty acid metabolism","0.00993029407135899      .","0.187749346941842      ."
"alpha-Linolenic acid metabolism","0.0108818159918384      .","0.187749346941842      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.0108818159918384      .","0.187749346941842      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.0119117206769826      .","0.187749346941842      ."
"Amino sugar and nucleotide sugar metabolism","0.0130251388459607      .","0.204193448570306      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.0130251388459607      .","0.204193448570306      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.0130251388459607      .","0.204193448570306      ."
"Other metabolism - Single reactions","0.0130251388459607      .","0.204193448570306      ."
"Enzyme - 1.11  Acting on a peroxide as acceptor","0.0142274105006364      .","0.228730845222629      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.0142274105006364      .","0.228730845222629      ."
"Biosynthesis of various plant secondary metabolites","0.0155240819434818      .","0.228730845222629      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.0169209015375587      .","0.255254213991872      ."
"Enzyme - 3.2  Glycosylases","0.0169209015375587      .","0.255254213991872      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.0169209015375587      .","0.255254213991872      ."
"Inositol phosphate metabolism","0.0184238141352334      .","0.274314876636955      ."
"Lipid metabolism - Glycerolipid metabolism","0.0184238141352334      .","0.274314876636955      ."
"Glyoxylate and dicarboxylate metabolism","0.0200389541064011      .","0.294448153533332      ."
"SLC15: Proton oligopeptide cotransporter","0.0200389541064011      .","0.294448153533332      ."
"Carbohydrate metabolism - Galactose metabolism","0.0217726369020214      .","0.418541499674315      ."
"Hormone signaling - Auxin signaling","0.0217726369020214      .","0.418541499674315      ."
