"gene set","p-value","fdr"
"Hormone signaling - Brassinosteroids signaling","0.00273882505596267      .","0.290161014681825      ."
"Transcription factors - MTERF","0.00374757740125249      .","0.290161014681825      ."
"Lipid metabolism - Glycerophospholipid metabolism","0.00507767623790656      .","0.290161014681825      ."
"Energy metabolism - Photosynthesis antenna proteins","0.00560648190154704      .","0.290161014681825      ."
"Biosynthesis of unsaturated fatty acids","0.00618363774330392      .","0.290161014681825      ."
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.00618363774330392      .","0.290161014681825      ."
"Photosynthesis - antenna proteins","0.00749788712479853      .","0.290161014681825      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.00749788712479853      .","0.290161014681825      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.00749788712479853      .","0.290161014681825      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.00905223527977801      .","0.290161014681825      ."
"RNA polymerase","0.0108818159918384      .","0.290161014681825      ."
"Protein - Calcium ion-dependent exocytosis","0.0108818159918384      .","0.290161014681825      ."
"Lipid metabolism - Sphingolipid metabolism","0.0130251388459607      .","0.290161014681825      ."
"Transcription - RNA polymerase","0.0130251388459607      .","0.290161014681825      ."
"Transcription factors - ARF","0.0130251388459607      .","0.290161014681825      ."
"Cutin suberine and wax biosynthesis","0.0142274105006364      .","0.290161014681825      ."
"Chromosome and associated proteins - Gene silencing","0.0142274105006364      .","0.290161014681825      ."
"Aminoacyl-tRNA biosynthesis","0.0155240819434818      .","0.290161014681825      ."
"Glycerophospholipid metabolism","0.0184238141352334      .","0.290161014681825      ."
"Transcription factors - SET PCG","0.0184238141352334      .","0.290161014681825      ."
"Propanoate metabolism","0.0200389541064011      .","0.290161014681825      ."
"Mitochondrial transcription and translation factors","0.0200389541064011      .","0.290161014681825      ."
"Lipid metabolism - Ether lipid metabolism","0.0200389541064011      .","0.290161014681825      ."
"Arginine biosynthesis","0.0236313490947351      .","0.290161014681825      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.0236313490947351      .","0.290161014681825      ."
"Proteins involved in snRNP biogenesis","0.0236313490947351      .","0.290161014681825      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.0256217368452469      .","0.290161014681825      ."
"Kinase - IRAK family","0.0256217368452469      .","0.290161014681825      ."
"Protein - Tethering complex","0.0256217368452469      .","0.290161014681825      ."
"RNA polymerase III system","0.0256217368452469      .","0.290161014681825      ."
"Transporter catalog - Transport electron carriers","0.0256217368452469      .","0.290161014681825      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.0277505927510355      .","0.416606674020167      ."
"Enzyme - Class II (C/G)","0.0277505927510355      .","0.416606674020167      ."
"Transport system - Protein coat","0.0277505927510355      .","0.416606674020167      ."
"tRNA modification factors","0.0324515211035261      .","0.416606674020167      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.0350377692966706      .","0.416606674020167      ."
"Enzyme - 2.8  Transferring sulfur-containing groups","0.0377907990995178      .","0.416606674020167      ."
"Exosome - Exosomal proteins of breast cancer cells","0.0377907990995178      .","0.416606674020167      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.0377907990995178      .","0.416606674020167      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.0377907990995178      .","0.416606674020167      ."
"Circadian rhythm - plant","0.0407178795524944      .","0.416606674020167      ."
"Hormone transport - Auxin transport","0.0407178795524944      .","0.416606674020167      ."
"Signal transduction - Phosphatidylinositol signaling system","0.0407178795524944      .","0.416606674020167      ."
"Outer membrane","0.0438263120463228      .","0.416606674020167      ."
