"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01929",1,"Vitvi14g01929","Vitvi14g01929",3.29421001368168,1.86592724530512,4.4062722774345,-3.19110535149669,0.808121045139838,10.3582507954956,"5.10702591327572e-15      .","40 x 39","14 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g01282",2,"Vitvi09g01282","Vitvi09g01282",2.105166697328,1.83140696572457,4.30566701695698,-2.10291874951837,0.60255718021468,5.70021975499145,"2.21557302282349e-07      .","40 x 36","9 ","Functions in the storage of nutritious substrates."
"Vitvi13g00172",3,"Vitvi13g00172","Vitvi13g00172",3.4290369099911,2.11069385171343,3.7389402441763,-3.41638259697609,0.850509379484429,12.2085452607052,"0      .","40 x 40","13 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi17g01251",4,"Vitvi17g01251","Vitvi17g01251",2.79749367758614,1.83597107519462,3.61334003669884,-2.79749367758614,0.80838043265964,10.3678425507505,"4.88498130835069e-15      .","40 x 39","17 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g01337",5,"Vitvi13g01337","Vitvi13g01337",2.83864320313028,1.74945317898214,3.54858168382215,-2.68469643372284,0.89331002753517,15.0060699936388,"0      .","40 x 40","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi06g01346",6,"Vitvi06g01346","Vitvi06g01346",4.31046051604748,2.33041495035127,3.25952355845989,-4.19393380073977,0.958463051773194,25.3710136906845,"0      .","40 x 40","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00680",7,"Vitvi19g00680","Vitvi19g00680",1.82756020862031,1.59982071620205,3.20986880273576,-1.82756020862031,0.799666852777951,10.0548143531193,"1.53210777398272e-14      .","40 x 39","19 ","Binding to a metal ion."
"Vitvi10g01636",8,"Vitvi10g01636","",3.07156901202139,2.19170431113569,3.18702452431031,-3.05663839520639,0.863010215025508,12.8973846992496,"0      .","40 x 40"," ",""
"Vitvi17g00601",9,"Vitvi17g00601","Vitvi17g00601",3.77544993231672,2.16022896936492,3.17716013230076,-3.77544993231672,0.922500427254043,18.0435142607966,"0      .","40 x 40","17 ",""
"Vitvi00g02243",10,"Vitvi00g02243","",3.05153051382741,1.94343954846205,3.16453348378689,-2.86395284134068,0.756471384925297,8.73241553226458,"2.11775041947249e-12      .","40 x 40"," ",""
"Vitvi17g00977",11,"Vitvi17g00977","Vitvi17g00977",1.63086515277839,1.28807079528008,3.06889209145518,-1.63086515277839,0.743647363485758,8.39762055942327,"7.54019069404421e-12      .","40 x 36","17 ","Binding to a metal ion."
"Vitvi01g00816",12,"Vitvi01g00816","Vitvi01g00816",4.35465193059081,2.06270845046687,3.02587552342909,-3.81530091168756,0.880116147586423,13.9960257252024,"0      .","40 x 40","1 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi07g01844",13,"Vitvi07g01844","Vitvi07g01844",2.30575309727635,1.37726831361784,3.01765346261433,-2.22678882061846,0.775162219893828,9.26352670953412,"2.87325718772991e-13      .","38 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00008",14,"Vitvi19g00008","Vitvi19g00008",1.91099891536267,1.42337048851559,2.96131180683313,-1.91099891536267,0.88084238446031,14.0474834224034,"0      .","40 x 39","19 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g01788",15,"Vitvi13g01788","",2.43233362646315,1.65245848451915,2.96063770815151,-2.43233362646315,0.659429864606972,6.62252044550076,"6.75319888898684e-09      .","40 x 36"," ",""
"Vitvi01g00593",16,"Vitvi01g00593","Vitvi01g00593",2.39766473563293,1.44986753649401,2.95416622567569,-2.2573344135766,0.833268202449966,11.3788931205683,"1.11022302462516e-16      .","40 x 38","1 ","Binding to a metal ion."
"Vitvi12g02394",17,"Vitvi12g02394","Vitvi12g02394",5.10287673420743,2.52612616588073,2.92340535719332,-4.90832090287611,0.941250465236948,21.0426111280419,"0      .","40 x 40","12 ",""
"Vitvi14g03084",18,"Vitvi14g03084","Vitvi14g03084",4.09106082011499,2.08645377804157,2.91947820949221,-3.98795615793,0.971867295899013,31.1529956620914,"0      .","40 x 40","14 ",""
"Vitvi01g01030",19,"Vitvi01g01030","Vitvi01g01030",2.63507743079631,1.79419067443974,2.89952652421103,-2.43139790671769,0.805203439356448,10.2515451943958,"7.54951656745106e-15      .","40 x 39","1 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi05g00067",20,"Vitvi05g00067","Vitvi05g00067",3.73157094016338,1.55826159057495,2.86098445584013,-3.21761826128261,0.813785642741237,10.5717744844572,"2.33146835171283e-15      .","40 x 38","5 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
